contract_used,source_file,roll_window_start_inclusive,roll_window_end_inclusive,next_contract_boundary_exclusive,rows_used,first_open,last_close,previous_contract,previous_last_close,roll_gap_points,roll_gap_pct
ES 06-23,C:\Users\Valued Customer\NT8_Regimes\MacroRegime\data\raw\ES\ES 06-23.Last.txt,2023-06-01 04:01:00,2023-06-08 04:00:00,2023-06-08 04:01:00,6890,4193.0,4270.0,,,,
ES 09-23,C:\Users\Valued Customer\NT8_Regimes\MacroRegime\data\raw\ES\ES 09-23.Last.txt,2023-06-08 04:01:00,2023-09-07 04:01:00,2023-09-07 04:02:00,88646,4312.75,4468.5,ES 06-23,4270.0,42.75,0.010011709601873536
ES 12-23,C:\Users\Valued Customer\NT8_Regimes\MacroRegime\data\raw\ES\ES 12-23.Last.txt,2023-09-07 04:02:00,2023-12-07 05:00:00,2023-12-07 05:01:00,89143,4518.0,4554.0,ES 09-23,4468.5,49.5,0.011077542799597181
ES 03-24,C:\Users\Valued Customer\NT8_Regimes\MacroRegime\data\raw\ES\ES 03-24.Last.txt,2023-12-07 05:01:00,2024-03-07 05:00:00,2024-03-07 05:01:00,86367,4604.0,5101.0,ES 12-23,4554.0,50.0,0.010979358805445762
ES 06-24,C:\Users\Valued Customer\NT8_Regimes\MacroRegime\data\raw\ES\ES 06-24.Last.txt,2024-03-07 05:01:00,2024-06-13 04:00:00,2024-06-13 04:01:00,94910,5163.25,5440.75,ES 03-24,5101.0,62.25,0.01220348951186042
ES 09-24,C:\Users\Valued Customer\NT8_Regimes\MacroRegime\data\raw\ES\ES 09-24.Last.txt,2024-06-13 04:01:00,2024-09-12 04:00:00,2024-09-12 04:01:00,88631,5505.75,5567.5,ES 06-24,5440.75,65.0,0.011946882323209116
ES 12-24,C:\Users\Valued Customer\NT8_Regimes\MacroRegime\data\raw\ES\ES 12-24.Last.txt,2024-09-12 04:01:00,2024-12-12 05:00:00,2024-12-12 05:01:00,89206,5627.0,6085.0,ES 09-24,5567.5,59.5,0.010687022900763359
ES 03-25,C:\Users\Valued Customer\NT8_Regimes\MacroRegime\data\raw\ES\ES 03-25.Last.txt,2024-12-12 05:01:00,2025-03-13 04:00:00,2025-03-13 04:01:00,85711,6152.5,5588.5,ES 12-24,6085.0,67.5,0.011092851273623664
ES 06-25,C:\Users\Valued Customer\NT8_Regimes\MacroRegime\data\raw\ES\ES 06-25.Last.txt,2025-03-13 04:01:00,2025-06-12 04:00:00,2025-06-12 04:01:00,88108,5640.0,6008.75,ES 03-25,5588.5,51.5,0.009215352956965196
ES 09-25,C:\Users\Valued Customer\NT8_Regimes\MacroRegime\data\raw\ES\ES 09-25.Last.txt,2025-06-12 04:01:00,2025-09-11 04:00:00,2025-09-11 04:01:00,88754,6062.25,6546.25,ES 06-25,6008.75,53.5,0.008903682130226753
ES 12-25,C:\Users\Valued Customer\NT8_Regimes\MacroRegime\data\raw\ES\ES 12-25.Last.txt,2025-09-11 04:01:00,2025-12-11 05:00:00,2025-12-11 05:01:00,88476,6601.0,6837.25,ES 09-25,6546.25,54.75,0.008363566927630323
ES 03-26,C:\Users\Valued Customer\NT8_Regimes\MacroRegime\data\raw\ES\ES 03-26.Last.txt,2025-12-11 05:01:00,2026-03-12 04:00:00,2026-03-12 04:01:00,85088,6895.25,6713.0,ES 12-25,6837.25,58.0,0.008482942703572343
ES 06-26,C:\Users\Valued Customer\NT8_Regimes\MacroRegime\data\raw\ES\ES 06-26.Last.txt,2026-03-12 04:01:00,2026-04-24 21:00:00,,43316,6762.5,7195.5,ES 03-26,6713.0,49.5,0.0073737524206763
