contract,source_file,contract_sequence,original_rows,rows_after_date_filter,bad_timestamps_removed,bad_ohlc_removed,duplicate_timestamps_within_file_removed,first_timestamp,last_timestamp
NQ 06-23,C:\Users\Valued Customer\NT8_Regimes\MacroRegime\data\raw\NQ\NQ 06-23.Last.txt,0,9652,9652,0,0,0,2023-06-01 04:01:00,2023-06-12 04:00:00
NQ 09-23,C:\Users\Valued Customer\NT8_Regimes\MacroRegime\data\raw\NQ\NQ 09-23.Last.txt,1,91333,91333,0,0,0,2023-06-08 04:03:00,2023-09-11 04:00:00
NQ 12-23,C:\Users\Valued Customer\NT8_Regimes\MacroRegime\data\raw\NQ\NQ 12-23.Last.txt,2,91794,91794,0,0,0,2023-09-07 04:05:00,2023-12-11 05:00:00
NQ 03-24,C:\Users\Valued Customer\NT8_Regimes\MacroRegime\data\raw\NQ\NQ 03-24.Last.txt,3,88989,88989,0,0,0,2023-12-07 05:01:00,2024-03-11 04:00:00
NQ 06-24,C:\Users\Valued Customer\NT8_Regimes\MacroRegime\data\raw\NQ\NQ 06-24.Last.txt,4,102891,102891,0,0,0,2024-03-07 05:08:00,2024-06-21 13:30:00
NQ 09-24,C:\Users\Valued Customer\NT8_Regimes\MacroRegime\data\raw\NQ\NQ 09-24.Last.txt,5,91444,91444,0,0,0,2024-06-13 04:01:00,2024-09-16 04:00:00
NQ 12-24,C:\Users\Valued Customer\NT8_Regimes\MacroRegime\data\raw\NQ\NQ 12-24.Last.txt,6,91854,91854,0,0,0,2024-09-12 04:02:00,2024-12-16 05:00:00
NQ 03-25,C:\Users\Valued Customer\NT8_Regimes\MacroRegime\data\raw\NQ\NQ 03-25.Last.txt,7,88240,88240,0,0,0,2024-12-12 05:01:00,2025-03-17 04:00:00
NQ 06-25,C:\Users\Valued Customer\NT8_Regimes\MacroRegime\data\raw\NQ\NQ 06-25.Last.txt,8,90560,90560,0,0,0,2025-03-13 04:01:00,2025-06-16 04:00:00
NQ 09-25,C:\Users\Valued Customer\NT8_Regimes\MacroRegime\data\raw\NQ\NQ 09-25.Last.txt,9,96834,96834,0,0,0,2025-06-12 04:02:00,2025-09-21 21:16:00
NQ 12-25,C:\Users\Valued Customer\NT8_Regimes\MacroRegime\data\raw\NQ\NQ 12-25.Last.txt,10,90737,90737,0,0,0,2025-09-11 04:17:00,2025-12-15 05:00:00
NQ 03-26,C:\Users\Valued Customer\NT8_Regimes\MacroRegime\data\raw\NQ\NQ 03-26.Last.txt,11,92876,92876,0,0,0,2025-12-11 05:01:00,2026-03-20 13:30:00
NQ 06-26,C:\Users\Valued Customer\NT8_Regimes\MacroRegime\data\raw\NQ\NQ 06-26.Last.txt,12,42875,42875,0,0,0,2026-03-12 04:01:00,2026-04-24 21:00:00
