contract_used,source_file,roll_window_start_inclusive,roll_window_end_inclusive,next_contract_boundary_exclusive,rows_used,first_open,last_close,previous_contract,previous_last_close,roll_gap_points,roll_gap_pct
NQ 06-23,C:\Users\Valued Customer\NT8_Regimes\MacroRegime\data\raw\NQ\NQ 06-23.Last.txt,2023-06-01 04:01:00,2023-06-08 04:02:00,2023-06-08 04:03:00,6897,14280.0,14307.75,,,,
NQ 09-23,C:\Users\Valued Customer\NT8_Regimes\MacroRegime\data\raw\NQ\NQ 09-23.Last.txt,2023-06-08 04:03:00,2023-09-07 04:04:00,2023-09-07 04:05:00,88573,14478.5,15386.25,NQ 06-23,14307.75,170.75,0.011934091663608884
NQ 12-23,C:\Users\Valued Customer\NT8_Regimes\MacroRegime\data\raw\NQ\NQ 12-23.Last.txt,2023-09-07 04:05:00,2023-12-07 05:00:00,2023-12-07 05:01:00,89034,15581.5,15813.75,NQ 09-23,15386.25,195.25,0.012689901697944593
NQ 03-24,C:\Users\Valued Customer\NT8_Regimes\MacroRegime\data\raw\NQ\NQ 03-24.Last.txt,2023-12-07 05:01:00,2024-03-07 05:07:00,2024-03-07 05:08:00,86223,16016.5,17976.0,NQ 12-23,15813.75,202.75,0.012821120860011066
NQ 06-24,C:\Users\Valued Customer\NT8_Regimes\MacroRegime\data\raw\NQ\NQ 06-24.Last.txt,2024-03-07 05:08:00,2024-06-13 04:00:00,2024-06-13 04:01:00,94730,18223.0,19637.25,NQ 03-24,17976.0,247.0,0.013740542946150423
NQ 09-24,C:\Users\Valued Customer\NT8_Regimes\MacroRegime\data\raw\NQ\NQ 09-24.Last.txt,2024-06-13 04:01:00,2024-09-12 04:01:00,2024-09-12 04:02:00,88688,19898.5,19302.5,NQ 06-24,19637.25,261.25,0.01330379762950515
NQ 12-24,C:\Users\Valued Customer\NT8_Regimes\MacroRegime\data\raw\NQ\NQ 12-24.Last.txt,2024-09-12 04:02:00,2024-12-12 05:00:00,2024-12-12 05:01:00,89094,19538.25,21761.0,NQ 09-24,19302.5,235.75,0.012213443854423002
NQ 03-25,C:\Users\Valued Customer\NT8_Regimes\MacroRegime\data\raw\NQ\NQ 03-25.Last.txt,2024-12-12 05:01:00,2025-03-13 04:00:00,2025-03-13 04:01:00,85480,22033.5,19520.25,NQ 12-24,21761.0,272.5,0.0125224024631221
NQ 06-25,C:\Users\Valued Customer\NT8_Regimes\MacroRegime\data\raw\NQ\NQ 06-25.Last.txt,2025-03-13 04:01:00,2025-06-12 04:01:00,2025-06-12 04:02:00,87799,19725.0,21811.25,NQ 03-25,19520.25,204.75,0.010489107465324471
NQ 09-25,C:\Users\Valued Customer\NT8_Regimes\MacroRegime\data\raw\NQ\NQ 09-25.Last.txt,2025-06-12 04:02:00,2025-09-11 04:16:00,2025-09-11 04:17:00,88482,22037.0,23907.25,NQ 06-25,21811.25,225.75,0.010350163333142301
NQ 12-25,C:\Users\Valued Customer\NT8_Regimes\MacroRegime\data\raw\NQ\NQ 12-25.Last.txt,2025-09-11 04:17:00,2025-12-11 05:00:00,2025-12-11 05:01:00,87976,24140.0,25509.5,NQ 09-25,23907.25,232.75,0.009735540474123958
NQ 03-26,C:\Users\Valued Customer\NT8_Regimes\MacroRegime\data\raw\NQ\NQ 03-26.Last.txt,2025-12-11 05:01:00,2026-03-12 04:00:00,2026-03-12 04:01:00,85815,25762.75,24729.5,NQ 12-25,25509.5,253.25,0.009927674003802504
NQ 06-26,C:\Users\Valued Customer\NT8_Regimes\MacroRegime\data\raw\NQ\NQ 06-26.Last.txt,2026-03-12 04:01:00,2026-04-24 21:00:00,,42875,24939.0,27440.25,NQ 03-26,24729.5,209.5,0.008471663397965993
