Instrument,Action,Type,Quantity,Limit,Stop,State,Filled,Name,Strategy,Account display name,Account name,Time,
NQ JUN26,Sell,Market,15,0,0,Filled,15,EnvelopeBreakExit,KalmanPulse_Fader,SimV1A- Kalman Fader 1,SimV1A- Kalman Fader 1,5/4/2026 10:36:45 AM,
NQ JUN26,Sell,Limit,6,27893.00,0,Cancelled,0,Profit target,KalmanPulse_Fader,SimV1A- Kalman Fader 1,SimV1A- Kalman Fader 1,5/4/2026 10:36:45 AM,
NQ JUN26,Sell,Stop Market,6,0,27879.50,Cancelled,0,Stop loss,KalmanPulse_Fader,SimV1A- Kalman Fader 1,SimV1A- Kalman Fader 1,5/4/2026 10:36:45 AM,
NQ JUN26,Sell,Limit,2,27893.00,0,Cancelled,0,Profit target,KalmanPulse_Fader,SimV1A- Kalman Fader 1,SimV1A- Kalman Fader 1,5/4/2026 10:36:45 AM,
NQ JUN26,Sell,Stop Market,2,0,27879.50,Cancelled,0,Stop loss,KalmanPulse_Fader,SimV1A- Kalman Fader 1,SimV1A- Kalman Fader 1,5/4/2026 10:36:45 AM,
NQ JUN26,Sell,Limit,6,27889.25,0,Cancelled,0,Profit target,KalmanPulse_Fader,SimV1A- Kalman Fader 1,SimV1A- Kalman Fader 1,5/4/2026 10:36:45 AM,
NQ JUN26,Sell,Stop Market,6,0,27879.50,Cancelled,0,Stop loss,KalmanPulse_Fader,SimV1A- Kalman Fader 1,SimV1A- Kalman Fader 1,5/4/2026 10:36:45 AM,
NQ JUN26,Sell,Limit,1,27889.25,0,Cancelled,0,Profit target,KalmanPulse_Fader,SimV1A- Kalman Fader 1,SimV1A- Kalman Fader 1,5/4/2026 10:36:45 AM,
NQ JUN26,Sell,Stop Market,1,0,27879.50,Cancelled,0,Stop loss,KalmanPulse_Fader,SimV1A- Kalman Fader 1,SimV1A- Kalman Fader 1,5/4/2026 10:36:45 AM,
NQ JUN26,Buy,Market,8,0,0,Filled,8,KPF_Long2,KalmanPulse_Fader,SimV1A- Kalman Fader 1,SimV1A- Kalman Fader 1,5/4/2026 10:36:44 AM,
NQ JUN26,Buy,Market,7,0,0,Filled,7,KPF_Long1,KalmanPulse_Fader,SimV1A- Kalman Fader 1,SimV1A- Kalman Fader 1,5/4/2026 10:36:44 AM,
NQ JUN26,Sell,Market,16,0,0,Filled,16,EnvelopeBreakExit,KalmanPulse_Fader,SimV1A- Kalman Fader 1,SimV1A- Kalman Fader 1,5/4/2026 10:36:15 AM,
NQ JUN26,Sell,Limit,7,27891.50,0,Cancelled,0,Profit target,KalmanPulse_Fader,SimV1A- Kalman Fader 1,SimV1A- Kalman Fader 1,5/4/2026 10:36:15 AM,
NQ JUN26,Sell,Stop Market,7,0,27883.00,Cancelled,0,Stop loss,KalmanPulse_Fader,SimV1A- Kalman Fader 1,SimV1A- Kalman Fader 1,5/4/2026 10:36:15 AM,
NQ JUN26,Sell,Limit,1,27891.50,0,Cancelled,0,Profit target,KalmanPulse_Fader,SimV1A- Kalman Fader 1,SimV1A- Kalman Fader 1,5/4/2026 10:36:15 AM,
NQ JUN26,Sell,Stop Market,1,0,27883.00,Cancelled,0,Stop loss,KalmanPulse_Fader,SimV1A- Kalman Fader 1,SimV1A- Kalman Fader 1,5/4/2026 10:36:15 AM,
NQ JUN26,Sell,Limit,6,27895.00,0,Cancelled,0,Profit target,KalmanPulse_Fader,SimV1A- Kalman Fader 1,SimV1A- Kalman Fader 1,5/4/2026 10:36:15 AM,
NQ JUN26,Sell,Stop Market,6,0,27883.00,Cancelled,0,Stop loss,KalmanPulse_Fader,SimV1A- Kalman Fader 1,SimV1A- Kalman Fader 1,5/4/2026 10:36:15 AM,
NQ JUN26,Sell,Limit,1,27895.00,0,Cancelled,0,Profit target,KalmanPulse_Fader,SimV1A- Kalman Fader 1,SimV1A- Kalman Fader 1,5/4/2026 10:36:15 AM,
NQ JUN26,Sell,Stop Market,1,0,27883.00,Cancelled,0,Stop loss,KalmanPulse_Fader,SimV1A- Kalman Fader 1,SimV1A- Kalman Fader 1,5/4/2026 10:36:15 AM,
NQ JUN26,Buy,Market,8,0,0,Filled,8,KPF_Long2,KalmanPulse_Fader,SimV1A- Kalman Fader 1,SimV1A- Kalman Fader 1,5/4/2026 10:36:07 AM,
NQ JUN26,Buy,Market,8,0,0,Filled,8,KPF_Long1,KalmanPulse_Fader,SimV1A- Kalman Fader 1,SimV1A- Kalman Fader 1,5/4/2026 10:36:07 AM,
NQ JUN26,Sell,Market,15,0,0,Filled,15,EnvelopeBreakExit,KalmanPulse_Fader,SimV1A- Kalman Fader 1,SimV1A- Kalman Fader 1,5/4/2026 10:35:57 AM,
NQ JUN26,Sell,Limit,6,27895.50,0,Cancelled,0,Profit target,KalmanPulse_Fader,SimV1A- Kalman Fader 1,SimV1A- Kalman Fader 1,5/4/2026 10:35:57 AM,
NQ JUN26,Sell,Stop Market,6,0,27882.75,Cancelled,0,Stop loss,KalmanPulse_Fader,SimV1A- Kalman Fader 1,SimV1A- Kalman Fader 1,5/4/2026 10:35:57 AM,
NQ JUN26,Sell,Limit,2,27895.50,0,Cancelled,0,Profit target,KalmanPulse_Fader,SimV1A- Kalman Fader 1,SimV1A- Kalman Fader 1,5/4/2026 10:35:57 AM,
NQ JUN26,Sell,Stop Market,2,0,27882.75,Cancelled,0,Stop loss,KalmanPulse_Fader,SimV1A- Kalman Fader 1,SimV1A- Kalman Fader 1,5/4/2026 10:35:57 AM,
NQ JUN26,Sell,Limit,4,27892.00,0,Cancelled,0,Profit target,KalmanPulse_Fader,SimV1A- Kalman Fader 1,SimV1A- Kalman Fader 1,5/4/2026 10:35:57 AM,
NQ JUN26,Sell,Stop Market,4,0,27882.75,Cancelled,0,Stop loss,KalmanPulse_Fader,SimV1A- Kalman Fader 1,SimV1A- Kalman Fader 1,5/4/2026 10:35:57 AM,
NQ JUN26,Sell,Limit,2,27892.00,0,Cancelled,0,Profit target,KalmanPulse_Fader,SimV1A- Kalman Fader 1,SimV1A- Kalman Fader 1,5/4/2026 10:35:57 AM,
NQ JUN26,Sell,Stop Market,2,0,27882.75,Cancelled,0,Stop loss,KalmanPulse_Fader,SimV1A- Kalman Fader 1,SimV1A- Kalman Fader 1,5/4/2026 10:35:57 AM,
NQ JUN26,Buy,Market,8,0,0,Filled,8,KPF_Long2,KalmanPulse_Fader,SimV1A- Kalman Fader 1,SimV1A- Kalman Fader 1,5/4/2026 10:35:46 AM,
NQ JUN26,Buy,Market,7,0,0,Filled,7,KPF_Long1,KalmanPulse_Fader,SimV1A- Kalman Fader 1,SimV1A- Kalman Fader 1,5/4/2026 10:35:46 AM,
NQ JUN26,Sell,Market,14,0,0,Filled,14,EnvelopeBreakExit,KalmanPulse_Fader,SimV1A- Kalman Fader 1,SimV1A- Kalman Fader 1,5/4/2026 10:35:43 AM,
NQ JUN26,Sell,Limit,5,27895.75,0,Cancelled,0,Profit target,KalmanPulse_Fader,SimV1A- Kalman Fader 1,SimV1A- Kalman Fader 1,5/4/2026 10:35:43 AM,
NQ JUN26,Sell,Stop Market,5,0,27883.00,Cancelled,0,Stop loss,KalmanPulse_Fader,SimV1A- Kalman Fader 1,SimV1A- Kalman Fader 1,5/4/2026 10:35:43 AM,
NQ JUN26,Sell,Limit,2,27895.75,0,Cancelled,0,Profit target,KalmanPulse_Fader,SimV1A- Kalman Fader 1,SimV1A- Kalman Fader 1,5/4/2026 10:35:43 AM,
NQ JUN26,Sell,Stop Market,2,0,27883.00,Cancelled,0,Stop loss,KalmanPulse_Fader,SimV1A- Kalman Fader 1,SimV1A- Kalman Fader 1,5/4/2026 10:35:43 AM,
NQ JUN26,Sell,Limit,4,27892.00,0,Cancelled,0,Profit target,KalmanPulse_Fader,SimV1A- Kalman Fader 1,SimV1A- Kalman Fader 1,5/4/2026 10:35:43 AM,
NQ JUN26,Sell,Stop Market,4,0,27883.00,Cancelled,0,Stop loss,KalmanPulse_Fader,SimV1A- Kalman Fader 1,SimV1A- Kalman Fader 1,5/4/2026 10:35:43 AM,
NQ JUN26,Sell,Limit,2,27892.00,0,Cancelled,0,Profit target,KalmanPulse_Fader,SimV1A- Kalman Fader 1,SimV1A- Kalman Fader 1,5/4/2026 10:35:43 AM,
NQ JUN26,Sell,Stop Market,2,0,27883.00,Cancelled,0,Stop loss,KalmanPulse_Fader,SimV1A- Kalman Fader 1,SimV1A- Kalman Fader 1,5/4/2026 10:35:43 AM,
NQ JUN26,Buy,Market,7,0,0,Filled,7,KPF_Long2,KalmanPulse_Fader,SimV1A- Kalman Fader 1,SimV1A- Kalman Fader 1,5/4/2026 10:35:42 AM,
NQ JUN26,Buy,Market,7,0,0,Filled,7,KPF_Long1,KalmanPulse_Fader,SimV1A- Kalman Fader 1,SimV1A- Kalman Fader 1,5/4/2026 10:35:42 AM,
NQ JUN26,Buy to cover,Limit,9,27890.25,0,Filled,9,Profit target,KalmanPulse_Fader,SimV1A- Kalman Fader 1,SimV1A- Kalman Fader 1,5/4/2026 10:35:38 AM,
NQ JUN26,Buy to cover,Stop Market,1,0,27898.25,Cancelled,0,Stop loss,KalmanPulse_Fader,SimV1A- Kalman Fader 1,SimV1A- Kalman Fader 1,5/4/2026 10:35:38 AM,
NQ JUN26,Buy to cover,Limit,3,27890.25,0,Filled,3,Profit target,KalmanPulse_Fader,SimV1A- Kalman Fader 1,SimV1A- Kalman Fader 1,5/4/2026 10:35:38 AM,
NQ JUN26,Buy to cover,Stop Market,2,0,27898.25,Cancelled,0,Stop loss,KalmanPulse_Fader,SimV1A- Kalman Fader 1,SimV1A- Kalman Fader 1,5/4/2026 10:35:38 AM,
NQ JUN26,Buy to cover,Limit,10,27892.50,0,Filled,10,Profit target,KalmanPulse_Fader,SimV1A- Kalman Fader 1,SimV1A- Kalman Fader 1,5/4/2026 10:35:35 AM,
NQ JUN26,Buy to cover,Stop Market,1,0,27898.25,Cancelled,0,Stop loss,KalmanPulse_Fader,SimV1A- Kalman Fader 1,SimV1A- Kalman Fader 1,5/4/2026 10:35:36 AM,
NQ JUN26,Buy to cover,Limit,2,27892.50,0,Filled,2,Profit target,KalmanPulse_Fader,SimV1A- Kalman Fader 1,SimV1A- Kalman Fader 1,5/4/2026 10:35:35 AM,
NQ JUN26,Buy to cover,Stop Market,2,0,27898.25,Cancelled,0,Stop loss,KalmanPulse_Fader,SimV1A- Kalman Fader 1,SimV1A- Kalman Fader 1,5/4/2026 10:35:35 AM,
NQ JUN26,Sell short,Market,12,0,0,Filled,12,KPF_Short2,KalmanPulse_Fader,SimV1A- Kalman Fader 1,SimV1A- Kalman Fader 1,5/4/2026 10:35:29 AM,
NQ JUN26,Sell short,Market,12,0,0,Filled,12,KPF_Short1,KalmanPulse_Fader,SimV1A- Kalman Fader 1,SimV1A- Kalman Fader 1,5/4/2026 10:35:29 AM,
NQ JUN26,Buy to cover,Limit,9,27890.50,0,Cancelled,0,Profit target,KalmanPulse_Fader,SimV1A- Kalman Fader 1,SimV1A- Kalman Fader 1,5/4/2026 10:35:24 AM,
NQ JUN26,Buy to cover,Stop Market,12,0,27893.50,Filled,12,Stop loss,KalmanPulse_Fader,SimV1A- Kalman Fader 1,SimV1A- Kalman Fader 1,5/4/2026 10:35:24 AM,
NQ JUN26,Buy to cover,Limit,2,27890.50,0,Cancelled,0,Profit target,KalmanPulse_Fader,SimV1A- Kalman Fader 1,SimV1A- Kalman Fader 1,5/4/2026 10:35:24 AM,
NQ JUN26,Buy to cover,Stop Market,2,0,27893.50,Filled,2,Stop loss,KalmanPulse_Fader,SimV1A- Kalman Fader 1,SimV1A- Kalman Fader 1,5/4/2026 10:35:24 AM,
