"Instrument","Action","Type","Quantity","Limit","Stop","State","Filled","Name","Strategy","Account name","Time"
"NQ JUN26","Sell","Limit","1","28571.50","0","Cancelled","0","Profit target","KalmanPulse_Fader_V1B","SimV1A Kalman Fader 3","5/6/2026 12:45:09 PM"
"NQ JUN26","Sell","Stop Market","1","0","28565.50","Cancelled","0","Stop loss","KalmanPulse_Fader_V1B","SimV1A Kalman Fader 3","5/6/2026 12:45:09 PM"
"NQ JUN26","Sell","Limit","1","28570.00","0","Cancelled","0","Profit target","KalmanPulse_Fader_V1B","SimV1A Kalman Fader 3","5/6/2026 12:45:09 PM"
"NQ JUN26","Sell","Stop Market","1","0","28565.50","Cancelled","0","Stop loss","KalmanPulse_Fader_V1B","SimV1A Kalman Fader 3","5/6/2026 12:45:09 PM"
"NQ JUN26","Sell","Market","2","0","0","Filled","2","EnvelopeBreakExit","KalmanPulse_Fader_V1B","SimV1A Kalman Fader 3","5/6/2026 12:45:09 PM"
"NQ JUN26","Buy","Market","1","0","0","Filled","1","KPF_Long2","KalmanPulse_Fader_V1B","SimV1A Kalman Fader 3","5/6/2026 12:45:09 PM"
"NQ JUN26","Buy","Market","1","0","0","Filled","1","KPF_Long1","KalmanPulse_Fader_V1B","SimV1A Kalman Fader 3","5/6/2026 12:45:09 PM"
"NQ JUN26","Buy to cover","Limit","1","28570.50","0","Cancelled","0","Profit target","KalmanPulse_Fader_V1B","SimV1A Kalman Fader 3","5/6/2026 12:30:06 PM"
"NQ JUN26","Buy to cover","Limit","1","28572.75","0","Cancelled","0","Profit target","KalmanPulse_Fader_V1B","SimV1A Kalman Fader 3","5/6/2026 12:30:06 PM"
"NQ JUN26","Buy to cover","Stop Market","1","0","28581.00","Cancelled","0","Stop loss","KalmanPulse_Fader_V1B","SimV1A Kalman Fader 3","5/6/2026 12:30:06 PM"
"NQ JUN26","Buy to cover","Stop Market","1","0","28581.00","Cancelled","0","Stop loss","KalmanPulse_Fader_V1B","SimV1A Kalman Fader 3","5/6/2026 12:30:06 PM"
"NQ JUN26","Buy to cover","Market","2","0","0","Filled","2","EnvelopeBreakExit","KalmanPulse_Fader_V1B","SimV1A Kalman Fader 3","5/6/2026 12:30:06 PM"
"NQ JUN26","Sell short","Market","1","0","0","Submitted","1","KPF_Short2","KalmanPulse_Fader_V1B","SimV1A Kalman Fader 3","5/6/2026 12:30:05 PM"
"NQ JUN26","Sell short","Market","1","0","0","Submitted","1","KPF_Short1","KalmanPulse_Fader_V1B","SimV1A Kalman Fader 3","5/6/2026 12:30:05 PM"
"NQ JUN26","Sell","Limit","1","28580.25","0","Submitted","0","Profit target","KalmanPulse Fader Mode A+","SimV1A - Kalman Fader 2","5/6/2026 12:24:02 PM"
"NQ JUN26","Sell","Stop Market","1","0","28574.50","Submitted","1","Stop loss","KalmanPulse Fader Mode A+","SimV1A - Kalman Fader 2","5/6/2026 12:24:02 PM"
"NQ JUN26","Sell","Limit","1","28578.75","0","Submitted","0","Profit target","KalmanPulse Fader Mode A+","SimV1A - Kalman Fader 2","5/6/2026 12:24:02 PM"
"NQ JUN26","Sell","Stop Market","1","0","28574.50","Submitted","1","Stop loss","KalmanPulse Fader Mode A+","SimV1A - Kalman Fader 2","5/6/2026 12:24:02 PM"
"NQ JUN26","Buy","Market","1","0","0","Submitted","1","KPF_Long2","KalmanPulse Fader Mode A+","SimV1A - Kalman Fader 2","5/6/2026 12:24:01 PM"
"NQ JUN26","Buy","Market","1","0","0","Submitted","1","KPF_Long1","KalmanPulse Fader Mode A+","SimV1A - Kalman Fader 2","5/6/2026 12:24:01 PM"
