Trade number,Instrument,Account,Strategy,Market pos.,Qty,Entry price,Exit price,Entry time,Exit time,Entry name,Exit name,Profit,Cum. net profit,Commission,MAE,MFE,ETD,Bars,
1,NQ JUN26,SimMomo1,,Long,1,27050.75,27044.75,4/28/2026 11:41:07 AM,4/28/2026 11:43:00 AM,LE,SlopeX,($124.36),($124.36),$4.36,$320.00,$75.00,$199.36,3,
2,NQ JUN26,SimMomo1,,Short,1,27059.25,27060.75,4/28/2026 1:03:53 PM,4/28/2026 1:05:00 PM,SE,SlopeX,($34.36),($158.72),$4.36,$80.00,$90.00,$124.36,3,
3,NQ JUN26,Sim1,,Long,1,27099.25,27114.75,4/28/2026 1:33:02 PM,4/28/2026 1:40:01 PM,LE,SlopeX,$305.64,$146.92,$4.36,$75.00,$320.00,$14.36,3,
4,NQ JUN26,SimV3C-NQ-2B,,Long,1,27165.25,27175.00,4/28/2026 2:38:47 PM,4/28/2026 2:42:19 PM,SnipeL,Profit target,$195.00,$341.92,$0.00,$85.00,$205.00,$10.00,3,
5,NQ JUN26,SimMomo1,,Short,1,27188.00,27185.25,4/28/2026 3:18:08 PM,4/28/2026 3:20:00 PM,SE,SlopeX,$50.64,$392.56,$4.36,$165.00,$65.00,$14.36,3,
6,NQ JUN26,SimMomo1,,Long,1,27189.75,27187.00,4/28/2026 3:29:51 PM,4/28/2026 3:31:00 PM,LE,SlopeX,($59.36),$333.20,$4.36,$125.00,$15.00,$74.36,3,
7,NQ JUN26,SimV3C-NQ-2A,,Long,1,27191.75,27176.00,4/28/2026 3:24:00 PM,4/28/2026 3:34:06 PM,SnipeL,Stop loss,($315.00),$18.20,$0.00,$315.00,$5.00,$320.00,1,
8,NQ JUN26,SimV3C-NQ-2B,,Long,1,27181.00,27190.50,4/28/2026 3:40:02 PM,4/28/2026 3:41:29 PM,SnipeL,Profit target,$190.00,$208.20,$0.00,$50.00,$205.00,$15.00,3,
9,NQ JUN26,SimMomo1,,Long,1,27188.50,27179.00,4/28/2026 3:41:01 PM,4/28/2026 3:43:01 PM,LE,SlopeX,($194.36),$13.84,$4.36,$190.00,$65.00,$259.36,3,
10,NQ JUN26,SimV3C-NQ-2B,,Long,1,27181.00,27168.25,4/28/2026 3:50:00 PM,4/28/2026 3:54:00 PM,SnipeL,Stop loss,($255.00),($241.16),$0.00,$285.00,$150.00,$405.00,3,
11,NQ JUN26,SimV3C-NQ-2A,,Long,1,27181.00,27165.25,4/28/2026 3:40:02 PM,4/28/2026 3:54:06 PM,SnipeL,Stop loss,($315.00),($556.16),$0.00,$320.00,$215.00,$530.00,8,
12,NQ JUN26,SimV3C-NQ-2B,,Long,1,27169.75,27179.25,4/28/2026 3:55:20 PM,4/28/2026 3:58:44 PM,SnipeL,Profit target,$190.00,($366.16),$0.00,$130.00,$190.00,$0.00,3,
13,NQ JUN26,SimV3C-NQ-2A,,Long,1,27171.25,27183.00,4/28/2026 3:55:51 PM,4/28/2026 3:58:59 PM,SnipeL,Profit target,$235.00,($131.16),$0.00,$160.00,$235.00,$0.00,3,
14,NQ JUN26,Sim1,,Short,1,27158.50,27170.50,4/28/2026 3:54:12 PM,4/28/2026 4:00:01 PM,SE,Close,($244.36),($375.52),$4.36,$490.00,$80.00,$324.36,0,
15,NQ JUN26,SimV3C-NQ-5A,,Long,1,27259.75,27272.25,4/29/2026 10:28:18 AM,4/29/2026 10:28:35 AM,LE,Profit target,$250.00,($125.52),$0.00,$115.00,$290.00,$40.00,1,
16,NQ JUN26,SimV3C-NQ-5A,,Long,1,27268.50,27281.25,4/29/2026 10:28:35 AM,4/29/2026 10:32:32 AM,LE,Profit target,$255.00,$129.48,$0.00,$400.00,$260.00,$5.00,2,
17,NQ JUN26,Sim101,1 NQ,Short,1,27298.50,27294.25,4/29/2026 10:38:26 AM,4/29/2026 10:40:52 AM,Entry,Stop1,$80.64,$210.12,$4.36,$235.00,$185.00,$104.36,0,
18,NQ JUN26,Sim101,1 NQ,Short,1,27303.00,27294.25,4/29/2026 10:39:56 AM,4/29/2026 10:40:53 AM,Entry,Stop1,$170.64,$380.76,$4.36,$25.00,$275.00,$104.36,0,
19,NQ JUN26,Sim101,1 NQ,Short,1,27292.50,27287.25,4/29/2026 10:42:48 AM,4/29/2026 10:43:19 AM,Entry,Close,$100.64,$481.40,$4.36,$20.00,$190.00,$89.36,0,
20,NQ JUN26,SimV3D-NQ-3A,,Short,1,27303.50,27260.00,4/29/2026 11:00:00 AM,4/29/2026 11:09:07 AM,FadeS1,Profit target,$870.00,$1351.40,$0.00,$120.00,$1675.00,$805.00,2,
21,NQ JUN26,SimV3D-NQ-3B,,Short,1,27303.50,27260.00,4/29/2026 11:00:00 AM,4/29/2026 11:09:07 AM,FadeBS1,Profit target,$870.00,$2221.40,$0.00,$120.00,$1635.00,$765.00,2,
22,NQ JUN26,SimV3C-NQ-5A,,Short,1,27251.50,27238.50,4/29/2026 11:09:55 AM,4/29/2026 11:12:35 AM,SE,Profit target,$260.00,$2481.40,$0.00,$55.00,$595.00,$335.00,2,
23,NQ JUN26,SimV3D-NQ-3B,,Short,1,27303.50,27223.25,4/29/2026 11:00:00 AM,4/29/2026 11:14:54 AM,FadeBS2,Profit target,$1605.00,$4086.40,$0.00,$120.00,$1635.00,$30.00,3,
24,NQ JUN26,Sim1,,Short,1,27251.50,27257.75,4/29/2026 11:09:55 AM,4/29/2026 11:17:13 AM,SE,SlopeX,($129.36),$3957.04,$4.36,$150.00,$635.00,$764.36,3,
25,NQ JUN26,SimMomo1,,Long,1,27283.00,27284.75,4/29/2026 11:29:43 AM,4/29/2026 11:31:00 AM,LE,SlopeX,$30.64,$3987.68,$4.36,$180.00,$115.00,$84.36,3,
26,NQ JUN26,SimV3C-NQ-2A,,Long,1,27278.00,27289.75,4/29/2026 11:29:42 AM,4/29/2026 11:31:05 AM,SnipeL,Profit target,$235.00,$4222.68,$0.00,$80.00,$240.00,$5.00,3,
27,NQ JUN26,SimV3C-NQ-2B,,Long,1,27278.75,27288.25,4/29/2026 11:32:27 AM,4/29/2026 11:35:00 AM,SnipeL,Profit target,$190.00,$4412.68,$0.00,$135.00,$200.00,$10.00,3,
28,NQ JUN26,SimV3C-NQ-2B,,Long,1,27283.00,27293.00,4/29/2026 11:43:09 AM,4/29/2026 11:45:50 AM,SnipeL,Profit target,$200.00,$4612.68,$0.00,$250.00,$210.00,$10.00,7,
29,NQ JUN26,SimV3C-NQ-2A,,Long,1,27282.25,27294.25,4/29/2026 11:32:49 AM,4/29/2026 11:45:55 AM,SnipeL,Profit target,$240.00,$4852.68,$0.00,$270.00,$245.00,$5.00,9,
30,NQ JUN26,SimV3C-NQ-2B,,Long,1,27290.75,27277.75,4/29/2026 11:50:19 AM,4/29/2026 11:51:11 AM,SnipeL,Stop loss,($260.00),$4592.68,$0.00,$445.00,$10.00,$270.00,2,
31,NQ JUN26,SimV3C-NQ-2B,,Long,1,27262.00,27249.00,4/29/2026 11:51:12 AM,4/29/2026 11:51:13 AM,SnipeL,Stop loss,($260.00),$4332.68,$0.00,$310.00,$30.00,$290.00,4,
32,NQ JUN26,SimV3C-NQ-2B,,Long,1,27263.25,27272.75,4/29/2026 11:51:16 AM,4/29/2026 11:51:21 AM,SnipeL,Profit target,$190.00,$4522.68,$0.00,$160.00,$190.00,$0.00,2,
33,NQ JUN26,SimV3C-NQ-2A,,Long,1,27267.25,27251.00,4/29/2026 11:51:19 AM,4/29/2026 11:52:34 AM,SnipeL,Stop loss,($325.00),$4197.68,$0.00,$325.00,$215.00,$540.00,6,
34,NQ JUN26,SimV3D-NQ-3A,,Short,1,27303.50,27259.75,4/29/2026 11:00:00 AM,4/29/2026 11:53:03 AM,FadeS2,Close,$875.00,$5072.68,$0.00,$120.00,$1675.00,$800.00,0,
35,NQ JUN26,SimV3C-NQ-2B,,Long,1,27259.75,27247.00,4/29/2026 11:52:53 AM,4/29/2026 11:53:14 AM,SnipeL,Stop loss,($255.00),$4817.68,$0.00,$265.00,$70.00,$325.00,3,
36,NQ JUN26,SimV3C-NQ-2A,,Long,1,27261.75,27246.00,4/29/2026 11:52:58 AM,4/29/2026 11:53:14 AM,SnipeL,Stop loss,($315.00),$4502.68,$0.00,$360.00,$30.00,$345.00,2,
37,NQ JUN26,SimV3C-NQ-2B,,Long,1,27219.00,27206.25,4/29/2026 11:54:22 AM,4/29/2026 11:54:47 AM,SnipeL,Stop loss,($255.00),$4247.68,$0.00,$260.00,$40.00,$295.00,2,
38,NQ JUN26,SimV3C-NQ-2A,,Long,1,27224.50,27208.75,4/29/2026 11:55:01 AM,4/29/2026 11:55:13 AM,SnipeL,Stop loss,($315.00),$3932.68,$0.00,$330.00,$55.00,$370.00,3,
39,NQ JUN26,SimV3C-NQ-2B,,Long,1,27219.00,27206.25,4/29/2026 11:54:56 AM,4/29/2026 11:55:14 AM,SnipeL,Stop loss,($255.00),$3677.68,$0.00,$255.00,$165.00,$420.00,6,
40,NQ JUN26,SimV3C-NQ-2B,,Long,1,27219.75,27229.25,4/29/2026 11:55:42 AM,4/29/2026 11:55:55 AM,SnipeL,Profit target,$190.00,$3867.68,$0.00,$60.00,$200.00,$10.00,3,
41,NQ JUN26,SimV3C-NQ-2A,,Long,1,27226.75,27238.50,4/29/2026 11:55:44 AM,4/29/2026 11:56:01 AM,SnipeL,Profit target,$235.00,$4102.68,$0.00,$130.00,$255.00,$20.00,3,
42,NQ JUN26,SimV3C-NQ-2B,,Long,1,27222.75,27232.00,4/29/2026 11:57:32 AM,4/29/2026 11:58:03 AM,SnipeL,Profit target,$185.00,$4287.68,$0.00,$210.00,$200.00,$15.00,3,
43,NQ JUN26,SimV3C-NQ-2A,,Long,1,27232.25,27244.00,4/29/2026 11:58:03 AM,4/29/2026 11:59:49 AM,SnipeL,Profit target,$235.00,$4522.68,$0.00,$230.00,$235.00,$0.00,6,
44,NQ JUN26,SimV3C-NQ-2B,,Long,1,27235.75,27245.25,4/29/2026 11:59:11 AM,4/29/2026 11:59:49 AM,SnipeL,Profit target,$190.00,$4712.68,$0.00,$80.00,$190.00,$0.00,3,
45,NQ JUN26,SimMomo1,,Long,1,27265.75,27262.00,4/29/2026 12:06:11 PM,4/29/2026 12:08:00 PM,LE,SlopeX,($79.36),$4633.32,$4.36,$370.00,$40.00,$119.36,3,
46,NQ JUN26,SimMomo1,,Long,1,27269.25,27257.25,4/29/2026 12:08:47 PM,4/29/2026 12:10:00 PM,LE,SlopeX,($244.36),$4388.96,$4.36,$285.00,$20.00,$264.36,3,
47,NQ JUN26,SimV3C-NQ-2B,,Long,1,27222.75,27210.50,4/29/2026 12:21:22 PM,4/29/2026 12:23:00 PM,SnipeL,Stop loss,($245.00),$4143.96,$0.00,$250.00,$50.00,$295.00,2,
48,NQ JUN26,SimV3C-NQ-2A,,Long,1,27227.25,27211.50,4/29/2026 12:24:12 PM,4/29/2026 12:25:48 PM,SnipeL,Stop loss,($315.00),$3828.96,$0.00,$315.00,$45.00,$360.00,2,
49,NQ JUN26,SimV3C-NQ-2B,,Long,1,27223.00,27210.25,4/29/2026 12:23:12 PM,4/29/2026 12:25:48 PM,SnipeL,Stop loss,($255.00),$3573.96,$0.00,$255.00,$130.00,$385.00,4,
50,NQ JUN26,SimV3C-NQ-2A,,Long,1,27183.25,27167.50,4/29/2026 12:33:04 PM,4/29/2026 12:33:50 PM,SnipeL,Stop loss,($315.00),$3258.96,$0.00,$315.00,$55.00,$370.00,1,
