trade_date,entry_time,exit_time,model_version,account,strategy_name,bot_name,ab_mode,symbol,instrument,direction,contracts,entry_price,exit_price,gross_pnl,net_pnl,ticks,win_loss,exit_reason,initial_stop_price,initial_stop_distance,export_timestamp,source_path,entry_dt,family,design_lane,SnapshotTimestamp,FinalRegime,CandidateRegime,MacroRegime,MacroPlaybook,HMM_Micro,Phase,RegimeConfidence,ReasonCode,AllowCompressionBot,AllowFadeBot,AllowMomo,AllowLong,AllowShort,StaleDataFlag,AsymHysteresisGateOpen,AsymHysteresisReason,join_lag_min,retro_regime,lane_bucket,hypothesis_bucket
2026-05-01,2026-05-01 09:44:00,2026-05-01 09:44:18,V3C,SimV3C-NQ-2A,NQ VC3-A Compression Fast ,NQ VC3-A Compression Fast ,,NQ,NQ JUN26,LONG,1,27767.0,27783.0,320.0,320.0,64.0,WIN,Profit target,,,2026-05-06 10:03:09,C:\Users\Valued Customer\NT8_Regimes\V3C\TradeLog\SimV3C_NQ_2A_TradeLog.csv,2026-05-01 09:44:00,V3C Compression,TREND_COMPRESSION,2026-05-01 09:40:44,TRANSITION,TRANSITION,BALANCE_STRUCTURE,ROTATION_ILLIQUID,TrendDown,EARLY_TEST,50,NO_CLEAR_STAGE_C_ALIGNMENT,False,False,False,False,False,False,,,3.2666666666666666,TRANSITION,OUT_OF_LANE,OUT_LEADIN_TRANSITION_ROT_ILLIQUID
2026-05-01,2026-05-01 09:46:01,2026-05-01 09:46:01,V3C,SimV3C-NQ-2B,NQ V3C Compression Clean B,NQ V3C Compression Clean B,,NQ,NQ JUN26,LONG,1,27764.0,27773.75,195.0,195.0,39.0,WIN,Profit target,,,2026-05-06 10:03:06,C:\Users\Valued Customer\NT8_Regimes\V3C\TradeLog\SimV3C_NQ_2B_TradeLog.csv,2026-05-01 09:46:01,V3C Compression,TREND_COMPRESSION,2026-05-01 09:40:44,TRANSITION,TRANSITION,BALANCE_STRUCTURE,ROTATION_ILLIQUID,TrendDown,EARLY_TEST,50,NO_CLEAR_STAGE_C_ALIGNMENT,False,False,False,False,False,False,,,5.283333333333333,TRANSITION,OUT_OF_LANE,OUT_LEADIN_TRANSITION_ROT_ILLIQUID
2026-05-01,2026-05-01 09:46:03,2026-05-01 09:48:38,V3C,SimV3C-NQ-2A,NQ VC3-A Compression Fast ,NQ VC3-A Compression Fast ,,NQ,NQ JUN26,LONG,1,27767.0,27783.25,325.0,325.0,65.0,WIN,Profit target,,,2026-05-06 10:03:09,C:\Users\Valued Customer\NT8_Regimes\V3C\TradeLog\SimV3C_NQ_2A_TradeLog.csv,2026-05-01 09:46:03,V3C Compression,TREND_COMPRESSION,2026-05-01 09:40:44,TRANSITION,TRANSITION,BALANCE_STRUCTURE,ROTATION_ILLIQUID,TrendDown,EARLY_TEST,50,NO_CLEAR_STAGE_C_ALIGNMENT,False,False,False,False,False,False,,,5.316666666666666,TRANSITION,OUT_OF_LANE,OUT_LEADIN_TRANSITION_ROT_ILLIQUID
2026-05-01,2026-05-01 09:47:09,2026-05-01 09:47:09,V3C,SimV3C-NQ-2B,NQ V3C Compression Clean B,NQ V3C Compression Clean B,,NQ,NQ JUN26,LONG,1,27768.0,27778.0,200.0,200.0,40.0,WIN,Profit target,,,2026-05-06 10:03:06,C:\Users\Valued Customer\NT8_Regimes\V3C\TradeLog\SimV3C_NQ_2B_TradeLog.csv,2026-05-01 09:47:09,V3C Compression,TREND_COMPRESSION,2026-05-01 09:46:53,TREND_COMPRESSION,TREND_COMPRESSION,BALANCE_STRUCTURE,ROTATION_ILLIQUID,TrendUp,FIRST_ACCEPTANCE,66,MICRO_TREND_INSIDE_MACRO_STRUCTURE,True,False,True,True,False,False,,,0.26666666666666666,TREND_COMPRESSION,IN_LANE,IN_LANE
2026-05-01,2026-05-01 09:48:03,2026-05-01 09:48:03,V3C,SimV3C-NQ-2B,NQ V3C Compression Clean B,NQ V3C Compression Clean B,,NQ,NQ JUN26,LONG,1,27760.0,27769.75,195.0,195.0,39.0,WIN,Profit target,,,2026-05-06 10:03:06,C:\Users\Valued Customer\NT8_Regimes\V3C\TradeLog\SimV3C_NQ_2B_TradeLog.csv,2026-05-01 09:48:03,V3C Compression,TREND_COMPRESSION,2026-05-01 09:46:53,TREND_COMPRESSION,TREND_COMPRESSION,BALANCE_STRUCTURE,ROTATION_ILLIQUID,TrendUp,FIRST_ACCEPTANCE,66,MICRO_TREND_INSIDE_MACRO_STRUCTURE,True,False,True,True,False,False,,,1.1666666666666667,TREND_COMPRESSION,IN_LANE,IN_LANE
2026-05-01,2026-05-01 09:50:40,2026-05-01 09:50:40,V3C,SimV3C-NQ-2B,NQ V3C Compression Clean B,NQ V3C Compression Clean B,,NQ,NQ JUN26,LONG,1,27768.0,27777.75,195.0,195.0,39.0,WIN,Profit target,,,2026-05-06 10:03:06,C:\Users\Valued Customer\NT8_Regimes\V3C\TradeLog\SimV3C_NQ_2B_TradeLog.csv,2026-05-01 09:50:40,V3C Compression,TREND_COMPRESSION,2026-05-01 09:50:07,TRANSITION,TRANSITION,BALANCE_STRUCTURE,ROTATION_ILLIQUID,TrendDown,FIRST_ACCEPTANCE,50,NO_CLEAR_STAGE_C_ALIGNMENT,False,False,False,False,False,False,,,0.55,TRANSITION,OUT_OF_LANE,OUT_LEADIN_TRANSITION_ROT_ILLIQUID
2026-05-01,2026-05-01 09:50:40,2026-05-01 09:50:40,V3C,SimV3C-NQ-2A,NQ VC3-A Compression Fast ,NQ VC3-A Compression Fast ,,NQ,NQ JUN26,LONG,1,27767.0,27783.25,325.0,325.0,65.0,WIN,Profit target,,,2026-05-06 10:03:09,C:\Users\Valued Customer\NT8_Regimes\V3C\TradeLog\SimV3C_NQ_2A_TradeLog.csv,2026-05-01 09:50:40,V3C Compression,TREND_COMPRESSION,2026-05-01 09:50:07,TRANSITION,TRANSITION,BALANCE_STRUCTURE,ROTATION_ILLIQUID,TrendDown,FIRST_ACCEPTANCE,50,NO_CLEAR_STAGE_C_ALIGNMENT,False,False,False,False,False,False,,,0.55,TRANSITION,OUT_OF_LANE,OUT_LEADIN_TRANSITION_ROT_ILLIQUID
2026-05-01,2026-05-01 09:50:40,2026-05-01 09:50:40,V3C,SimV3C-NQ-2B,NQ V3C Compression Clean B,NQ V3C Compression Clean B,,NQ,NQ JUN26,LONG,1,27772.0,27781.75,195.0,195.0,39.0,WIN,Profit target,,,2026-05-06 10:03:06,C:\Users\Valued Customer\NT8_Regimes\V3C\TradeLog\SimV3C_NQ_2B_TradeLog.csv,2026-05-01 09:50:40,V3C Compression,TREND_COMPRESSION,2026-05-01 09:50:07,TRANSITION,TRANSITION,BALANCE_STRUCTURE,ROTATION_ILLIQUID,TrendDown,FIRST_ACCEPTANCE,50,NO_CLEAR_STAGE_C_ALIGNMENT,False,False,False,False,False,False,,,0.55,TRANSITION,OUT_OF_LANE,OUT_LEADIN_TRANSITION_ROT_ILLIQUID
2026-05-01,2026-05-01 09:52:15,2026-05-01 09:52:15,V3C,SimV3C-NQ-2B,NQ V3C Compression Clean B,NQ V3C Compression Clean B,,NQ,NQ JUN26,LONG,1,27784.0,27793.5,190.0,190.0,38.0,WIN,Profit target,,,2026-05-06 10:03:06,C:\Users\Valued Customer\NT8_Regimes\V3C\TradeLog\SimV3C_NQ_2B_TradeLog.csv,2026-05-01 09:52:15,V3C Compression,TREND_COMPRESSION,2026-05-01 09:51:42,TREND_COMPRESSION,TREND_COMPRESSION,BALANCE_STRUCTURE,ROTATION_ILLIQUID,TrendUp,EARLY_CONTINUATION,64,DEVELOPING_INITIATIVE_PHASE_AWARE,True,False,True,True,False,False,,,0.55,TREND_COMPRESSION,IN_LANE,IN_LANE
2026-05-01,2026-05-01 09:52:22,2026-05-01 09:54:20,V3C,SimV3C-NQ-2A,NQ VC3-A Compression Fast ,NQ VC3-A Compression Fast ,,NQ,NQ JUN26,LONG,1,27787.0,27803.25,325.0,325.0,65.0,WIN,Profit target,,,2026-05-06 10:03:09,C:\Users\Valued Customer\NT8_Regimes\V3C\TradeLog\SimV3C_NQ_2A_TradeLog.csv,2026-05-01 09:52:22,V3C Compression,TREND_COMPRESSION,2026-05-01 09:51:42,TREND_COMPRESSION,TREND_COMPRESSION,BALANCE_STRUCTURE,ROTATION_ILLIQUID,TrendUp,EARLY_CONTINUATION,64,DEVELOPING_INITIATIVE_PHASE_AWARE,True,False,True,True,False,False,,,0.6666666666666666,TREND_COMPRESSION,IN_LANE,IN_LANE
