family,trade_date,lane_bucket,trades,wins,losses,win_rate,net_pnl,avg_pnl,gross_pnl,ticks
Kalman Faders,2026-05-01,OUT_OF_LANE,67,21,46,31.3,-720.0,-10.75,-720.0,-144.0
Kalman Faders,2026-05-04,OUT_OF_LANE,32,6,26,18.8,-7530.0,-235.31,-7530.0,-1506.0
Kalman Faders,2026-05-05,OUT_OF_LANE,11,0,11,0.0,-2885.0,-262.27,-2885.0,-577.0
Kalman Faders,2026-05-06,OUT_OF_LANE,21,6,15,28.6,-870.0,-41.43,-870.0,-174.0
V3C Compression,2026-05-01,IN_LANE,62,50,12,80.6,9205.0,148.47,9205.0,1841.0
V3C Compression,2026-05-01,OUT_OF_LANE,40,39,1,97.5,10830.0,270.75,10830.0,2166.0
V3C Compression,2026-05-04,IN_LANE,69,62,7,89.9,17380.0,251.88,17380.0,3476.0
V3C Compression,2026-05-04,OUT_OF_LANE,124,108,16,87.1,23390.0,188.63,23390.0,4678.0
V3C Compression,2026-05-05,IN_LANE,48,36,12,75.0,6175.0,128.65,6175.0,1235.0
V3C Compression,2026-05-05,OUT_OF_LANE,28,26,2,92.9,8680.0,310.0,8680.0,1736.0
V3C Compression,2026-05-06,IN_LANE,29,15,14,51.7,165.0,5.69,165.0,33.0
V3C Compression,2026-05-06,OUT_OF_LANE,20,15,5,75.0,3305.0,165.25,3305.0,661.0
