trade_date,entry_time,exit_time,model_version,account,strategy_name,bot_name,ab_mode,symbol,instrument,direction,contracts,entry_price,exit_price,gross_pnl,net_pnl,ticks,win_loss,exit_reason,initial_stop_price,initial_stop_distance,entry_regime,entry_macro,entry_hmm,entry_phase,entry_confidence,entry_reason_code,broad_agree,v3c_regime_at_entry,trade_duration_min,r_multiple,risk_reward_actual,session_trade_rank,daily_pnl_running,export_timestamp,data_quality_flag
2026-05-01,2026-05-01 11:12:15,2026-05-01 11:14:10,V3D,SimADX1,NQ_Momo_5m_OG,NQ Fader A,N/A,NQ,NQ JUN26,LONG,1,27820.0,27833.5,270.0,270.0,54.0,WIN,STOP_HIT,,,ROTATION_LIQUID,ROTATION,Transition,MID_MORNING_DISCOVERY,70,TWO_SIDED_CONFIRMED,1,ROTATION_ILLIQUID,1.92,,,1,270.0,2026-05-02 19:39:27,OK
2026-05-01,2026-05-01 11:01:27,2026-05-01 11:10:00,V3D,SimMomo1,Momo_5M_OG,NQ Fader A,N/A,NQ,NQ JUN26,SHORT,1,27782.0,27800.75,-375.0,-375.0,-75.0,LOSS,SLOPE_EXIT,,,ROTATION_LIQUID,ROTATION,TrendDown,MID_MORNING_DISCOVERY,70,TWO_SIDED_CONFIRMED,1,ROTATION_ILLIQUID,8.55,,,1,-375.0,2026-05-02 19:39:27,OK
2026-05-01,2026-05-01 11:14:50,2026-05-01 11:20:00,V3D,SimMomo1,Momo_5M_OG,NQ Fader A,N/A,NQ,NQ JUN26,LONG,1,27836.25,27851.25,300.0,300.0,60.0,WIN,SLOPE_EXIT,,,ROTATION_LIQUID,ROTATION,Transition,MID_MORNING_DISCOVERY,70,TWO_SIDED_CONFIRMED,1,ROTATION_ILLIQUID,5.17,,,2,-75.0,2026-05-02 19:39:27,OK
2026-05-01,2026-05-01 12:07:43,2026-05-01 12:15:00,V3D,SimMomo1,Momo_5M_OG,NQ Fader A,N/A,NQ,NQ JUN26,SHORT,1,27867.75,27842.75,500.0,500.0,100.0,WIN,SLOPE_EXIT,,,ROTATION_LIQUID,ROTATION,TrendUp,LUNCH_AUCTION,70,TWO_SIDED_CONFIRMED,0,TREND_COMPRESSION,7.28,,,3,425.0,2026-05-02 19:39:27,OK
2026-05-01,2026-05-01 10:35:01,2026-05-01 10:35:01,V1B,SimV1A Kalman Fader 3,KalmanPulse_Fader_V1B,NQ Fader A,B,NQ,NQ JUN26,SHORT,1,27811.0,27811.25,-5.0,-5.0,-1.0,LOSS,STOP_HIT,,,ROTATION_LIQUID,ROTATION,TrendDown,POST_IB_MACRO,70,TWO_SIDED_CONFIRMED,0,TREND_COMPRESSION,0.0,,,1,-5.0,2026-05-02 19:39:27,OK
2026-05-01,2026-05-01 10:35:01,2026-05-01 10:35:01,V1A,SimV1A- Kalman Fader 1,KalmanPulse_Fader,Kalman Fader Mode A,A,NQ,NQ JUN26,SHORT,1,27811.0,27812.25,-25.0,-25.0,-5.0,LOSS,EnvelopeBreakExit,,,ROTATION_LIQUID,ROTATION,TrendDown,POST_IB_MACRO,70,TWO_SIDED_CONFIRMED,0,TREND_COMPRESSION,0.0,,,1,-25.0,2026-05-02 19:39:27,OK
2026-05-01,2026-05-01 10:35:02,2026-05-01 10:35:02,V1A,SimV1A- Kalman Fader 1,KalmanPulse_Fader,Kalman Fader Mode A,A,NQ,NQ JUN26,SHORT,1,27812.0,27814.75,-55.0,-55.0,-11.0,LOSS,EnvelopeBreakExit,,,ROTATION_LIQUID,ROTATION,TrendDown,POST_IB_MACRO,70,TWO_SIDED_CONFIRMED,0,TREND_COMPRESSION,0.0,,,2,-80.0,2026-05-02 19:39:27,OK
2026-05-01,2026-05-01 11:14:11,2026-05-01 11:14:50,V3C,SimV3C-NQ-5A,NQ.ADX.DI.5m.DefaultOG,NQ Fader A,N/A,NQ,NQ JUN26,LONG,1,27834.75,27837.25,50.0,50.0,10.0,WIN,TARGET_HIT,,,ROTATION_ILLIQUID,BRACKET_MACRO,TrendUp,MID_MORNING_DISCOVERY,62,COMPRESSED_BALANCE_LOW_EDGE,1,ROTATION_ILLIQUID,0.65,,,1,50.0,2026-05-02 19:39:27,OK
2026-05-01,2026-05-01 10:37:53,2026-05-01 10:38:52,V3D,SimV3D-NQ-5B,ADX_DI_V3D,NQ Fader A,N/A,NQ,NQ JUN26,SHORT,1,27752.0,27786.75,-695.0,-695.0,-139.0,LOSS,STOP_HIT,,,ROTATION_LIQUID,ROTATION,TrendDown,POST_IB_MACRO,70,TWO_SIDED_CONFIRMED,0,TREND_COMPRESSION,0.98,,,1,-695.0,2026-05-02 19:39:27,OK
2026-05-01,2026-05-01 10:38:52,2026-05-01 10:39:20,V3D,SimV3D-NQ-5B,ADX_DI_V3D,NQ Fader A,N/A,NQ,NQ JUN26,SHORT,1,27786.25,27793.25,-140.0,-140.0,-28.0,LOSS,STOP_HIT,,,ROTATION_LIQUID,ROTATION,TrendDown,POST_IB_MACRO,70,TWO_SIDED_CONFIRMED,0,TREND_COMPRESSION,0.47,,,2,-835.0,2026-05-02 19:39:27,OK
