Data Quality Report 20260430
Generated: 2026-04-30 18:15:19
Rows: 454

Flag counts:
  UNMAPPED_ACCOUNT: 216
  OK: 160
  UNMAPPED_ACCOUNT;UNMAPPED_BOT: 36
  UNMAPPED_BOT: 28
  UNMAPPED_ACCOUNT;MISSING_EXITREASON: 12
  UNMAPPED_ACCOUNT;MISSING_EXITREASON;UNMAPPED_BOT: 2

Non-OK rows:
  2026-04-30 | 2026-04-30 09:42:05 | DEMO1419193 | UNKNOWN | UNKNOWN | NQ Fader A | UNMAPPED_ACCOUNT
  2026-04-30 | 2026-04-30 09:42:05 | DEMO1419193 | UNKNOWN | UNKNOWN | NQ_Sniper_B | UNMAPPED_ACCOUNT
  2026-04-30 | 2026-04-30 09:42:05 | DEMO1419193 | UNKNOWN | UNKNOWN | NQ Fader B | UNMAPPED_ACCOUNT
  2026-04-30 | 2026-04-30 09:42:05 | DEMO1419193 | UNKNOWN | UNKNOWN | NQ Expansion B | UNMAPPED_ACCOUNT
  2026-04-30 | 2026-04-30 09:42:05 | DEMO1419193 | UNKNOWN | UNKNOWN | NQ_ADX_A | UNMAPPED_ACCOUNT
  2026-04-30 | 2026-04-30 09:42:05 | DEMO1419193 | UNKNOWN | UNKNOWN | NQ Expansion A | UNMAPPED_ACCOUNT
  2026-04-30 | 2026-04-30 09:42:05 | DEMO1419193 | UNKNOWN | UNKNOWN | NQ Momentum A | UNMAPPED_ACCOUNT
  2026-04-30 | 2026-04-30 09:42:05 | DEMO1419193 | UNKNOWN | UNKNOWN | NQ_Sniper_A | UNMAPPED_ACCOUNT
  2026-04-30 | 2026-04-30 09:42:05 | DEMO1419193 | UNKNOWN | UNKNOWN | UNMAPPED | UNMAPPED_ACCOUNT;UNMAPPED_BOT
  2026-04-30 | 2026-04-30 09:42:05 | DEMO1419193 | UNKNOWN | UNKNOWN | UNMAPPED | UNMAPPED_ACCOUNT;UNMAPPED_BOT
  2026-04-30 | 2026-04-30 09:42:05 | DEMO1419193 | UNKNOWN | UNKNOWN | NQ Momentum A | UNMAPPED_ACCOUNT
  2026-04-30 | 2026-04-30 09:42:05 | DEMO1419193 | UNKNOWN | UNKNOWN | NQ_ADX_C | UNMAPPED_ACCOUNT
  2026-04-30 | 2026-04-30 09:42:05 | DEMO1419193 | UNKNOWN | UNKNOWN | NQ Momentum B | UNMAPPED_ACCOUNT
  2026-04-30 | 2026-04-30 09:42:05 | DEMO1419193 | UNKNOWN | UNKNOWN | NQ_ADX_B | UNMAPPED_ACCOUNT
  2026-04-30 | 2026-04-30 09:42:44 | DEMO1419193 | UNKNOWN | UNKNOWN | UNMAPPED | UNMAPPED_ACCOUNT;UNMAPPED_BOT
  2026-04-30 | 2026-04-30 09:42:44 | DEMO1419193 | UNKNOWN | UNKNOWN | UNMAPPED | UNMAPPED_ACCOUNT;UNMAPPED_BOT
  2026-04-30 | 2026-04-30 09:42:44 | DEMO1419193 | UNKNOWN | UNKNOWN | NQ Fader A | UNMAPPED_ACCOUNT
  2026-04-30 | 2026-04-30 09:42:44 | DEMO1419193 | UNKNOWN | UNKNOWN | NQ_Sniper_A | UNMAPPED_ACCOUNT
  2026-04-30 | 2026-04-30 09:42:44 | DEMO1419193 | UNKNOWN | UNKNOWN | NQ Expansion A | UNMAPPED_ACCOUNT
  2026-04-30 | 2026-04-30 09:42:44 | DEMO1419193 | UNKNOWN | UNKNOWN | NQ_Sniper_B | UNMAPPED_ACCOUNT
  2026-04-30 | 2026-04-30 09:42:44 | DEMO1419193 | UNKNOWN | UNKNOWN | NQ Expansion B | UNMAPPED_ACCOUNT
  2026-04-30 | 2026-04-30 09:42:44 | DEMO1419193 | UNKNOWN | UNKNOWN | NQ Fader B | UNMAPPED_ACCOUNT
  2026-04-30 | 2026-04-30 09:42:44 | DEMO1419193 | UNKNOWN | UNKNOWN | NQ_ADX_B | UNMAPPED_ACCOUNT
  2026-04-30 | 2026-04-30 09:42:44 | DEMO1419193 | UNKNOWN | UNKNOWN | NQ Momentum B | UNMAPPED_ACCOUNT
  2026-04-30 | 2026-04-30 09:42:44 | DEMO1419193 | UNKNOWN | UNKNOWN | NQ_ADX_C | UNMAPPED_ACCOUNT
  2026-04-30 | 2026-04-30 09:42:44 | DEMO1419193 | UNKNOWN | UNKNOWN | NQ Momentum A | UNMAPPED_ACCOUNT
  2026-04-30 | 2026-04-30 09:42:44 | DEMO1419193 | UNKNOWN | UNKNOWN | NQ Momentum A | UNMAPPED_ACCOUNT
  2026-04-30 | 2026-04-30 09:42:44 | DEMO1419193 | UNKNOWN | UNKNOWN | NQ_ADX_A | UNMAPPED_ACCOUNT
  2026-04-30 | 2026-04-30 09:43:23 | DEMO1419193 | UNKNOWN | UNKNOWN | NQ_ADX_A | UNMAPPED_ACCOUNT
  2026-04-30 | 2026-04-30 09:43:23 | DEMO1419193 | UNKNOWN | UNKNOWN | NQ Momentum A | UNMAPPED_ACCOUNT
  2026-04-30 | 2026-04-30 09:43:23 | DEMO1419193 | UNKNOWN | UNKNOWN | UNMAPPED | UNMAPPED_ACCOUNT;UNMAPPED_BOT
  2026-04-30 | 2026-04-30 09:43:23 | DEMO1419193 | UNKNOWN | UNKNOWN | UNMAPPED | UNMAPPED_ACCOUNT;UNMAPPED_BOT
  2026-04-30 | 2026-04-30 09:43:23 | DEMO1419193 | UNKNOWN | UNKNOWN | NQ Fader A | UNMAPPED_ACCOUNT
  2026-04-30 | 2026-04-30 09:43:23 | DEMO1419193 | UNKNOWN | UNKNOWN | NQ_Sniper_A | UNMAPPED_ACCOUNT
  2026-04-30 | 2026-04-30 09:43:23 | DEMO1419193 | UNKNOWN | UNKNOWN | NQ Expansion A | UNMAPPED_ACCOUNT
  2026-04-30 | 2026-04-30 09:43:23 | DEMO1419193 | UNKNOWN | UNKNOWN | NQ_ADX_B | UNMAPPED_ACCOUNT
  2026-04-30 | 2026-04-30 09:43:23 | DEMO1419193 | UNKNOWN | UNKNOWN | NQ Expansion B | UNMAPPED_ACCOUNT
