trade_date,entry_time,exit_time,model_version,account,strategy_name,bot_name,ab_mode,symbol,instrument,direction,contracts,entry_price,exit_price,gross_pnl,net_pnl,ticks,win_loss,exit_reason,entry_regime,entry_macro,entry_hmm,entry_phase,entry_confidence,entry_reason_code,broad_agree,v3c_regime_at_entry,trade_duration_min,risk_reward_actual,session_trade_rank,daily_pnl_running,export_timestamp,data_quality_flag
2026-04-30,2026-04-30 11:10:03,2026-04-30 11:10:03,V1A,SimPine2,KalmanPulse_Fader,NQ Fader B,UNKNOWN,NQ,NQ JUN26,SHORT,18,27400.75,27399.75,360.0,360.0,4.0,WIN,TARGET_HIT,TREND_EMERGING,TREND,TrendUp,MID_MORNING_DISCOVERY,33,EMERGING_SIGNAL,0,TRANSITION,0.0,,1,360.0,2026-04-30 18:15:19,OK
2026-04-30,2026-04-30 11:10:03,2026-04-30 11:10:03,V1A,SimPine2,KalmanPulse_Fader,NQ_ADX_C,UNKNOWN,NQ,NQ JUN26,SHORT,18,27400.75,27399.75,360.0,360.0,4.0,WIN,TARGET_HIT,TREND_EMERGING,TREND,TrendUp,MID_MORNING_DISCOVERY,33,EMERGING_SIGNAL,0,TRANSITION,0.0,,2,720.0,2026-04-30 18:15:19,OK
2026-04-30,2026-04-30 11:10:03,2026-04-30 11:10:03,V1A,SimPine2,KalmanPulse_Fader,UNMAPPED,UNKNOWN,NQ,NQ JUN26,SHORT,18,27400.75,27399.75,360.0,360.0,4.0,WIN,TARGET_HIT,TREND_EMERGING,TREND,TrendUp,MID_MORNING_DISCOVERY,33,EMERGING_SIGNAL,0,TRANSITION,0.0,,3,1080.0,2026-04-30 18:15:19,UNMAPPED_BOT
2026-04-30,2026-04-30 11:10:03,2026-04-30 11:10:03,V1A,SimPine2,KalmanPulse_Fader,NQ Fader A,UNKNOWN,NQ,NQ JUN26,SHORT,18,27400.75,27399.75,360.0,360.0,4.0,WIN,TARGET_HIT,TREND_EMERGING,TREND,TrendUp,MID_MORNING_DISCOVERY,33,EMERGING_SIGNAL,0,TRANSITION,0.0,,4,1440.0,2026-04-30 18:15:19,OK
2026-04-30,2026-04-30 11:10:03,2026-04-30 11:10:03,V1A,SimPine2,KalmanPulse_Fader,NQ_Sniper_A,UNKNOWN,NQ,NQ JUN26,SHORT,18,27400.75,27399.75,360.0,360.0,4.0,WIN,TARGET_HIT,TREND_EMERGING,TREND,TrendUp,MID_MORNING_DISCOVERY,33,EMERGING_SIGNAL,0,TRANSITION,0.0,,5,1800.0,2026-04-30 18:15:19,OK
2026-04-30,2026-04-30 11:10:03,2026-04-30 11:10:03,V1A,SimPine2,KalmanPulse_Fader,NQ Momentum A,UNKNOWN,NQ,NQ JUN26,SHORT,18,27400.75,27399.75,360.0,360.0,4.0,WIN,TARGET_HIT,TREND_EMERGING,TREND,TrendUp,MID_MORNING_DISCOVERY,33,EMERGING_SIGNAL,0,TRANSITION,0.0,,6,2160.0,2026-04-30 18:15:19,OK
2026-04-30,2026-04-30 11:10:03,2026-04-30 11:10:03,V1A,SimPine2,KalmanPulse_Fader,NQ Expansion A,UNKNOWN,NQ,NQ JUN26,SHORT,18,27400.75,27399.75,360.0,360.0,4.0,WIN,TARGET_HIT,TREND_EMERGING,TREND,TrendUp,MID_MORNING_DISCOVERY,33,EMERGING_SIGNAL,0,TRANSITION,0.0,,7,2520.0,2026-04-30 18:15:19,OK
2026-04-30,2026-04-30 11:10:03,2026-04-30 11:10:03,V1A,SimPine2,KalmanPulse_Fader,UNMAPPED,UNKNOWN,NQ,NQ JUN26,SHORT,18,27400.75,27399.75,360.0,360.0,4.0,WIN,TARGET_HIT,TREND_EMERGING,TREND,TrendUp,MID_MORNING_DISCOVERY,33,EMERGING_SIGNAL,0,TRANSITION,0.0,,8,2880.0,2026-04-30 18:15:19,UNMAPPED_BOT
2026-04-30,2026-04-30 11:10:03,2026-04-30 11:10:03,V1A,SimPine2,KalmanPulse_Fader,NQ Expansion B,UNKNOWN,NQ,NQ JUN26,SHORT,18,27400.75,27399.75,360.0,360.0,4.0,WIN,TARGET_HIT,TREND_EMERGING,TREND,TrendUp,MID_MORNING_DISCOVERY,33,EMERGING_SIGNAL,0,TRANSITION,0.0,,9,3240.0,2026-04-30 18:15:19,OK
2026-04-30,2026-04-30 11:10:03,2026-04-30 11:10:03,V1A,SimPine2,KalmanPulse_Fader,NQ_Sniper_B,UNKNOWN,NQ,NQ JUN26,SHORT,18,27400.75,27399.75,360.0,360.0,4.0,WIN,TARGET_HIT,TREND_EMERGING,TREND,TrendUp,MID_MORNING_DISCOVERY,33,EMERGING_SIGNAL,0,TRANSITION,0.0,,10,3600.0,2026-04-30 18:15:19,OK
