trade_date,entry_time,exit_time,model_version,account,strategy_name,bot_name,ab_mode,symbol,instrument,direction,contracts,entry_price,exit_price,gross_pnl,net_pnl,ticks,win_loss,exit_reason,entry_regime,entry_macro,entry_hmm,entry_phase,entry_confidence,entry_reason_code,broad_agree,v3c_regime_at_entry,trade_duration_min,risk_reward_actual,session_trade_rank,daily_pnl_running,export_timestamp,data_quality_flag
2026-04-30,2026-04-30 09:43:42,2026-04-30 09:43:44,V3D,SimV3D-NQ-3B,Fader_V3D_B,NQ_ADX_C,N/A,NQ,NQ JUN26,LONG,1,27318.25,27329.25,220.0,220.0,44.0,WIN,STOP_HIT,TREND_COMPRESSION,TREND,TrendDown,OPENING_AUCTION,49,DIRECTIONAL_MODERATE,0,TRANSITION,0.03,,1,220.0,2026-04-30 18:15:19,OK
2026-04-30,2026-04-30 09:43:42,2026-04-30 09:43:44,V3D,SimV3D-NQ-3B,Fader_V3D_B,NQ Momentum B,N/A,NQ,NQ JUN26,LONG,1,27318.25,27329.25,220.0,220.0,44.0,WIN,STOP_HIT,TREND_COMPRESSION,TREND,TrendDown,OPENING_AUCTION,49,DIRECTIONAL_MODERATE,0,TRANSITION,0.03,,2,440.0,2026-04-30 18:15:19,OK
2026-04-30,2026-04-30 09:43:42,2026-04-30 09:43:44,V3D,SimV3D-NQ-3B,Fader_V3D_B,NQ_ADX_A,N/A,NQ,NQ JUN26,LONG,1,27318.25,27329.25,220.0,220.0,44.0,WIN,STOP_HIT,TREND_COMPRESSION,TREND,TrendDown,OPENING_AUCTION,49,DIRECTIONAL_MODERATE,0,TRANSITION,0.03,,3,660.0,2026-04-30 18:15:19,OK
2026-04-30,2026-04-30 09:43:42,2026-04-30 09:43:44,V3D,SimV3D-NQ-3B,Fader_V3D_B,UNMAPPED,N/A,NQ,NQ JUN26,LONG,1,27318.25,27329.25,220.0,220.0,44.0,WIN,STOP_HIT,TREND_COMPRESSION,TREND,TrendDown,OPENING_AUCTION,49,DIRECTIONAL_MODERATE,0,TRANSITION,0.03,,4,880.0,2026-04-30 18:15:19,UNMAPPED_BOT
2026-04-30,2026-04-30 09:43:42,2026-04-30 09:43:44,V3D,SimV3D-NQ-3B,Fader_V3D_B,UNMAPPED,N/A,NQ,NQ JUN26,LONG,1,27318.25,27329.25,220.0,220.0,44.0,WIN,STOP_HIT,TREND_COMPRESSION,TREND,TrendDown,OPENING_AUCTION,49,DIRECTIONAL_MODERATE,0,TRANSITION,0.03,,5,1100.0,2026-04-30 18:15:19,UNMAPPED_BOT
2026-04-30,2026-04-30 09:43:42,2026-04-30 09:43:44,V3D,SimV3D-NQ-3B,Fader_V3D_B,NQ_Sniper_A,N/A,NQ,NQ JUN26,LONG,1,27318.25,27329.25,220.0,220.0,44.0,WIN,STOP_HIT,TREND_COMPRESSION,TREND,TrendDown,OPENING_AUCTION,49,DIRECTIONAL_MODERATE,0,TRANSITION,0.03,,6,1320.0,2026-04-30 18:15:19,OK
2026-04-30,2026-04-30 09:43:42,2026-04-30 09:43:44,V3D,SimV3D-NQ-3B,Fader_V3D_B,NQ Momentum A,N/A,NQ,NQ JUN26,LONG,1,27318.25,27329.25,220.0,220.0,44.0,WIN,STOP_HIT,TREND_COMPRESSION,TREND,TrendDown,OPENING_AUCTION,49,DIRECTIONAL_MODERATE,0,TRANSITION,0.03,,7,1540.0,2026-04-30 18:15:19,OK
2026-04-30,2026-04-30 09:43:42,2026-04-30 09:43:44,V3D,SimV3D-NQ-3B,Fader_V3D_B,NQ Expansion A,N/A,NQ,NQ JUN26,LONG,1,27318.25,27329.25,220.0,220.0,44.0,WIN,STOP_HIT,TREND_COMPRESSION,TREND,TrendDown,OPENING_AUCTION,49,DIRECTIONAL_MODERATE,0,TRANSITION,0.03,,8,1760.0,2026-04-30 18:15:19,OK
2026-04-30,2026-04-30 09:43:42,2026-04-30 09:43:44,V3D,SimV3D-NQ-3B,Fader_V3D_B,NQ Momentum A,N/A,NQ,NQ JUN26,LONG,1,27318.25,27329.25,220.0,220.0,44.0,WIN,STOP_HIT,TREND_COMPRESSION,TREND,TrendDown,OPENING_AUCTION,49,DIRECTIONAL_MODERATE,0,TRANSITION,0.03,,9,1980.0,2026-04-30 18:15:19,OK
2026-04-30,2026-04-30 09:43:42,2026-04-30 09:43:44,V3D,SimV3D-NQ-3B,Fader_V3D_B,NQ Fader A,N/A,NQ,NQ JUN26,LONG,1,27318.25,27329.25,220.0,220.0,44.0,WIN,STOP_HIT,TREND_COMPRESSION,TREND,TrendDown,OPENING_AUCTION,49,DIRECTIONAL_MODERATE,0,TRANSITION,0.03,,10,2200.0,2026-04-30 18:15:19,OK
