"Category","SourcePath","CopiedPath","Bytes","LastWriteTime","Lines","HeaderOrFirstLine","Note"
"01_Regime_Matrices","Backtest\ES_RegimeMatrix_Full.csv","01_Regime_Matrices\Backtest\ES_RegimeMatrix_Full.csv","3206510","2026-04-27 08:21:39","14934","session_key,TimestampET,Symbol,MacroRegime,MacroPlaybook,MacroCheckpointState,HMMRegime,HMMDirection,Velocity3P_ATR,VelocityConfirmed,TrendExpansionScore,KalmanSmoothedScore,ConflictScore,Phase,PhaseMultiplier,FinalRegime,FinalDirection,RegimeConfidence,AllowExpansion,AllowMomo,AllowPine,AllowADX_DI,AllowSniper,ExpansionSizePct,MomoSizePct,PineSizePct,ADX_DISizePct,SniperSizePct,AllowLong,AllowShort,AllowFadeLong,AllowFadeShort,ReasonCode,StateAgeBars,StaleDataFlag","Combined macro/HMM output, permissions, reason codes, and SHADOW comparison where present."
"01_Regime_Matrices","Backtest\ES_RegimeMatrix_Full_SHADOW.csv","01_Regime_Matrices\Backtest\ES_RegimeMatrix_Full_SHADOW.csv","517495","2026-05-01 17:17:58","1195","session_key,TimestampET,Symbol,MacroRegime,MacroPlaybook,MacroCheckpointState,HMMRegime,HMMDirection,HMMAsOfTimestampET,HMMJoinLagMinutes,SuggestedAdxMin,SuggestedCiMax,SuggestedSlopeGate,SuggestedStopBucket,SessionVWAP,IBHigh,IBLow,IBExtensionPct,IBWidthATR,PDVAH,PDVAL,TwoSidedFlag,Velocity3P_ATR,VelocityConfirmed,TrendExpansionScore,KalmanSmoothedScore,ConflictScore,Phase,PhaseMultiplier,FinalRegime,FinalDirection,RegimeConfidence,AllowExpansion,AllowMomo,AllowPine,AllowADX_DI,AllowSniper,ExpansionSizePct,AllowExpansion_SizePct,MomoSizePct,AllowMomo_SizePct,PineSizePct,AllowPine_SizePct,ADX_DISizePct,AllowADX_DI_SizePct,SniperSizePct,AllowSniper_SizePct,AllowLong,AllowShort,AllowFadeLong,AllowFadeShort,ReasonCode,OverrideSource,BlockedReason,BotPermissionGateReason,BotPermissionSummary,AnyDirectionalBotAllowed,AnySizePctPositive,SimTestingMode,StateAgeBars,RegimeFlipCount10Bar,StaleDataFlag","Combined macro/HMM output, permissions, reason codes, and SHADOW comparison where present."
"01_Regime_Matrices","Backtest\NQ_RegimeMatrix_Full.csv","01_Regime_Matrices\Backtest\NQ_RegimeMatrix_Full.csv","3207805","2026-04-27 08:21:35","14951","session_key,TimestampET,Symbol,MacroRegime,MacroPlaybook,MacroCheckpointState,HMMRegime,HMMDirection,Velocity3P_ATR,VelocityConfirmed,TrendExpansionScore,KalmanSmoothedScore,ConflictScore,Phase,PhaseMultiplier,FinalRegime,FinalDirection,RegimeConfidence,AllowExpansion,AllowMomo,AllowPine,AllowADX_DI,AllowSniper,ExpansionSizePct,MomoSizePct,PineSizePct,ADX_DISizePct,SniperSizePct,AllowLong,AllowShort,AllowFadeLong,AllowFadeShort,ReasonCode,StateAgeBars,StaleDataFlag","Combined macro/HMM output, permissions, reason codes, and SHADOW comparison where present."
"01_Regime_Matrices","Backtest\NQ_RegimeMatrix_Full_SHADOW.csv","01_Regime_Matrices\Backtest\NQ_RegimeMatrix_Full_SHADOW.csv","483954","2026-05-01 11:16:14","1185","session_key,TimestampET,Symbol,MacroRegime,MacroPlaybook,MacroCheckpointState,HMMRegime,HMMDirection,HMMAsOfTimestampET,HMMJoinLagMinutes,SuggestedAdxMin,SuggestedCiMax,SuggestedSlopeGate,SuggestedStopBucket,SessionVWAP,IBHigh,IBLow,IBExtensionPct,IBWidthATR,PDVAH,PDVAL,TwoSidedFlag,Velocity3P_ATR,VelocityConfirmed,TrendExpansionScore,KalmanSmoothedScore,ConflictScore,Phase,PhaseMultiplier,FinalRegime,FinalDirection,RegimeConfidence,AllowExpansion,AllowMomo,AllowPine,AllowADX_DI,AllowSniper,ExpansionSizePct,AllowExpansion_SizePct,MomoSizePct,AllowMomo_SizePct,PineSizePct,AllowPine_SizePct,ADX_DISizePct,AllowADX_DI_SizePct,SniperSizePct,AllowSniper_SizePct,AllowLong,AllowShort,AllowFadeLong,AllowFadeShort,ReasonCode,OverrideSource,BlockedReason,BotPermissionSummary,AnyDirectionalBotAllowed,AnySizePctPositive,SimTestingMode,StateAgeBars,StaleDataFlag","Combined macro/HMM output, permissions, reason codes, and SHADOW comparison where present."
"01_Regime_Matrices","V3D\ES_RegimeMatrix_Latest.csv","01_Regime_Matrices\V3D\ES_RegimeMatrix_Latest.csv","1259","2026-05-01 16:37:16","2","session_key,TimestampET,Symbol,MacroRegime,MacroPlaybook,MacroCheckpointState,HMMRegime,HMMDirection,HMMAsOfTimestampET,HMMJoinLagMinutes,SuggestedAdxMin,SuggestedCiMax,SuggestedSlopeGate,SuggestedStopBucket,SessionVWAP,IBHigh,IBLow,IBExtensionPct,IBWidthATR,PDVAH,PDVAL,TwoSidedFlag,Velocity3P_ATR,VelocityConfirmed,TrendExpansionScore,KalmanSmoothedScore,ConflictScore,Phase,PhaseMultiplier,FinalRegime,FinalDirection,RegimeConfidence,AllowExpansion,AllowMomo,AllowPine,AllowADX_DI,AllowSniper,ExpansionSizePct,AllowExpansion_SizePct,MomoSizePct,AllowMomo_SizePct,PineSizePct,AllowPine_SizePct,ADX_DISizePct,AllowADX_DI_SizePct,SniperSizePct,AllowSniper_SizePct,AllowLong,AllowShort,AllowFadeLong,AllowFadeShort,ReasonCode,OverrideSource,BlockedReason,BotPermissionSummary,AnyDirectionalBotAllowed,AnySizePctPositive,SimTestingMode,StateAgeBars,StaleDataFlag","Combined macro/HMM output, permissions, reason codes, and SHADOW comparison where present."
"01_Regime_Matrices","V3D\History\ES_RegimeMatrix_History.csv","01_Regime_Matrices\V3D\History\ES_RegimeMatrix_History.csv","5166943","2026-05-01 16:37:16","19300","session_key,TimestampET,Symbol,MacroRegime,MacroPlaybook,MacroCheckpointState,HMMRegime,HMMDirection,HMMAsOfTimestampET,HMMJoinLagMinutes,SuggestedAdxMin,SuggestedCiMax,SuggestedSlopeGate,SuggestedStopBucket,SessionVWAP,IBHigh,IBLow,IBExtensionPct,IBWidthATR,PDVAH,PDVAL,TwoSidedFlag,Velocity3P_ATR,VelocityConfirmed,TrendExpansionScore,KalmanSmoothedScore,ConflictScore,Phase,PhaseMultiplier,FinalRegime,FinalDirection,RegimeConfidence,AllowExpansion,AllowMomo,AllowPine,AllowADX_DI,AllowSniper,ExpansionSizePct,AllowExpansion_SizePct,MomoSizePct,AllowMomo_SizePct,PineSizePct,AllowPine_SizePct,ADX_DISizePct,AllowADX_DI_SizePct,SniperSizePct,AllowSniper_SizePct,AllowLong,AllowShort,AllowFadeLong,AllowFadeShort,ReasonCode,OverrideSource,BlockedReason,BotPermissionSummary,AnyDirectionalBotAllowed,AnySizePctPositive,SimTestingMode,StateAgeBars,StaleDataFlag","Combined macro/HMM output, permissions, reason codes, and SHADOW comparison where present."
"01_Regime_Matrices","V3D\History\ES_RegimeMatrix_History_SHADOW.csv","01_Regime_Matrices\V3D\History\ES_RegimeMatrix_History_SHADOW.csv","517495","2026-05-01 17:17:58","1195","session_key,TimestampET,Symbol,MacroRegime,MacroPlaybook,MacroCheckpointState,HMMRegime,HMMDirection,HMMAsOfTimestampET,HMMJoinLagMinutes,SuggestedAdxMin,SuggestedCiMax,SuggestedSlopeGate,SuggestedStopBucket,SessionVWAP,IBHigh,IBLow,IBExtensionPct,IBWidthATR,PDVAH,PDVAL,TwoSidedFlag,Velocity3P_ATR,VelocityConfirmed,TrendExpansionScore,KalmanSmoothedScore,ConflictScore,Phase,PhaseMultiplier,FinalRegime,FinalDirection,RegimeConfidence,AllowExpansion,AllowMomo,AllowPine,AllowADX_DI,AllowSniper,ExpansionSizePct,AllowExpansion_SizePct,MomoSizePct,AllowMomo_SizePct,PineSizePct,AllowPine_SizePct,ADX_DISizePct,AllowADX_DI_SizePct,SniperSizePct,AllowSniper_SizePct,AllowLong,AllowShort,AllowFadeLong,AllowFadeShort,ReasonCode,OverrideSource,BlockedReason,BotPermissionGateReason,BotPermissionSummary,AnyDirectionalBotAllowed,AnySizePctPositive,SimTestingMode,StateAgeBars,RegimeFlipCount10Bar,StaleDataFlag","Combined macro/HMM output, permissions, reason codes, and SHADOW comparison where present."
"01_Regime_Matrices","V3D\History\NQ_RegimeMatrix_History.csv","01_Regime_Matrices\V3D\History\NQ_RegimeMatrix_History.csv","5167312","2026-05-01 16:37:15","19316","session_key,TimestampET,Symbol,MacroRegime,MacroPlaybook,MacroCheckpointState,HMMRegime,HMMDirection,HMMAsOfTimestampET,HMMJoinLagMinutes,SuggestedAdxMin,SuggestedCiMax,SuggestedSlopeGate,SuggestedStopBucket,SessionVWAP,IBHigh,IBLow,IBExtensionPct,IBWidthATR,PDVAH,PDVAL,TwoSidedFlag,Velocity3P_ATR,VelocityConfirmed,TrendExpansionScore,KalmanSmoothedScore,ConflictScore,Phase,PhaseMultiplier,FinalRegime,FinalDirection,RegimeConfidence,AllowExpansion,AllowMomo,AllowPine,AllowADX_DI,AllowSniper,ExpansionSizePct,AllowExpansion_SizePct,MomoSizePct,AllowMomo_SizePct,PineSizePct,AllowPine_SizePct,ADX_DISizePct,AllowADX_DI_SizePct,SniperSizePct,AllowSniper_SizePct,AllowLong,AllowShort,AllowFadeLong,AllowFadeShort,ReasonCode,OverrideSource,BlockedReason,BotPermissionSummary,AnyDirectionalBotAllowed,AnySizePctPositive,SimTestingMode,StateAgeBars,StaleDataFlag","Combined macro/HMM output, permissions, reason codes, and SHADOW comparison where present."
"01_Regime_Matrices","V3D\History\NQ_RegimeMatrix_History_SHADOW.csv","01_Regime_Matrices\V3D\History\NQ_RegimeMatrix_History_SHADOW.csv","483954","2026-05-01 11:16:14","1185","session_key,TimestampET,Symbol,MacroRegime,MacroPlaybook,MacroCheckpointState,HMMRegime,HMMDirection,HMMAsOfTimestampET,HMMJoinLagMinutes,SuggestedAdxMin,SuggestedCiMax,SuggestedSlopeGate,SuggestedStopBucket,SessionVWAP,IBHigh,IBLow,IBExtensionPct,IBWidthATR,PDVAH,PDVAL,TwoSidedFlag,Velocity3P_ATR,VelocityConfirmed,TrendExpansionScore,KalmanSmoothedScore,ConflictScore,Phase,PhaseMultiplier,FinalRegime,FinalDirection,RegimeConfidence,AllowExpansion,AllowMomo,AllowPine,AllowADX_DI,AllowSniper,ExpansionSizePct,AllowExpansion_SizePct,MomoSizePct,AllowMomo_SizePct,PineSizePct,AllowPine_SizePct,ADX_DISizePct,AllowADX_DI_SizePct,SniperSizePct,AllowSniper_SizePct,AllowLong,AllowShort,AllowFadeLong,AllowFadeShort,ReasonCode,OverrideSource,BlockedReason,BotPermissionSummary,AnyDirectionalBotAllowed,AnySizePctPositive,SimTestingMode,StateAgeBars,StaleDataFlag","Combined macro/HMM output, permissions, reason codes, and SHADOW comparison where present."
"01_Regime_Matrices","V3D\History\V3C_V3D_Intraday_Comparison.csv","01_Regime_Matrices\V3D\History\V3C_V3D_Intraday_Comparison.csv","56383","2026-05-01 16:37:48","201","trade_date,symbol,checkpoint_time,generated_at,v3c_snapshot_time,v3d_snapshot_time,v3c_final_regime,v3d_final_regime,v3c_broad_regime,v3d_broad_regime,broad_agree,v3c_hmm_regime,v3d_hmm_regime,hmm_agree,v3c_direction,v3d_direction,direction_agree,v3c_confidence,v3d_confidence,confidence_delta,v3c_phase,v3d_phase,v3c_reason,v3d_reason,v3c_stale,v3d_stale,v3d_allow_expansion,v3d_allow_momo,v3d_allow_pine,v3d_allow_adx_di,v3d_allow_sniper","Combined macro/HMM output, permissions, reason codes, and SHADOW comparison where present."
