,Chart Location,Tab,Tab Name,,Chart,Strategy,Account,,,Time,Template Name
,Far Left 1,1,15 Range Momentum Range,NQ,15 Range VOL,MomentumRange_RangeBar,Sim1,RTH,935,1545,MomentumRange_RangeBar
V1A,Left 2,1,VOL FADER Mode A- Pure V1A,NQ,3 min candle,VolState Fader,SimV1A Vol Fader 1,RTH,1035,1545,VolState Fader V1B Mode A(Pure V1A)
,Left 2,2,VOL FADER Mode A+(Context),NQ,3 min candle,VolState Fader,SimV1A Vol Fader 2,RTH,1035,1545,V1B - Mode A+(Context)
,Left 2,3,VolState Mode B(Full V1B),NQ,3 min candle,VolState Fader,SimV1A Vol Fader 3,RTH,1035,1545,Mode B(Full V1B) all true
,Middle 3,1,Kalman Fader Mode A,NQ,12 Range,KalmanPulse_Fader_V2,SimV1A Kalman Fader 1,ETH,1035,1545,KalmanPulse Fader 1  A
,Middle 3,1,Kalman Fade Mode A+,NQ,12 Range,KalmanPulse_Fader,SimV1A Kalman Fader 2,ETH,1035,1545,Mode A+ kill switch & bias true
,Middle 3,1,Kalman Fade Mode B,NQ,12 Range,KalmanPulse_Fader,SimV1A Kalman Fader 3,ETH,1035,1545,Mode B footprint +kill switch + bias = true 
,Right 4,1,Composite Momo Mode A,NQ,5 min candle,CompositeEdge_Momentum ,SimV1A Composite Momentum 1,RTH,1035,1545,Mode A all false
,Right 4,2,Composite Momo Mode A+,NQ,5 min candle,CompositeEdge_Momentum (B?),SimV1A Composite Momentum 2,RTH,1035,1545,Mode A+ kill + bias = true
,Right 4,3,Composite Momo Mode B,NQ,5 min candle,CompositeEdge_Momentum (B?),SimV1A Composite Momentum 3,RTH,1035,1545,Mode B all = true
,,,,NQ,,,,,,,
V3C,Top left,1,Expansion V1A ,NQ,Uni 40-80-120,V3_Expansion_Rider_V3C,SimV3C-NQ-1A,RTH,,,NQ Fast 40-80-120
,Top left,2,Expansion B 60,NQ,Uni 60-120-180,V3_Expansion_Rider_V3C,SimV3C-NQ-1B,RTH,,,NQ Clean 60-120-180
,Top Middle,1,Compression Sniper A,NQ,Uni 20-40-60,NQ VC3-A Compression Fast ,SimV3C-NQ-2A,RTH,,,NQ VC3-A Compression Fast 20-40-60
,Top Middle,2,Compression Sniper B,NQ,Uni 16-32-48,NQ V3C Compression Clean B,SimV3C-NQ-2B,RTH,,,NQ V3C Compression Clean B 16-32-48
,Top Middle,3,Compression Sniper C 20-40-60,NQ,Uni 20-40-60,V3_Compression_Sniper_V3C,SimV3C-NQ-2C,RTH,,,NQ V3C Compression Sniper C 20-40-60
,Top Right,1,Value Fader A,NQ,5 min candle,V3_Value_Fader,SimV3C-NQ-3A,RTH,,,Value Fader A 5m
,Top Right,2,Value Fader B,NQ,3 min candle,V3_Value_Fader_V3C 3m,SimV3C-NQ-3B,RTH,,,Value Fader B 3m
,Bottom Left,1,Momentum Slope A,NQ,5 min candle,Momo_V3C,SimV3C-NQ-4A,RTH,,,Momo V3C 5m Hysteresis
,Bottom Left,2,Momentum Slope B,NQ,5 min candle,Momo_V3C,SimV3C-NQ-4B,RTH,,,Momo V3C 5m Simple
,Bottom Middle,1,Momo 1mHA OG,NQ,1 min Heiken Ashi,MomentumSlopeStrategy v1.2,SimMomo1,RTH,,,--- Momentum OG 1m HEIKEN ASHI
,Bottom Middle,2,Momo 5mHA OG,NQ,5 min Heiken Ashi,MomentumSlopeStrategy v1.3,SimMomo2,RTH,,,NQ.5m.Momov1.2.RTHV1001
,Bottom Right,1,ADX 5m Trinity OFF,NQ,5 min candle,ADX_DI_V3C,SimV3C-NQ-5A,RTH,,,NQ.ADX.DI.5m.V3C - 5A
,Bottom Right,2,ADX 5m Trinity ON,NQ,5 min candle,ADX_DI_V3C,SimV3C-NQ-5B,RTH,,,NQ.ADX.DI.5m.V3C - 5B Trinitiy ON
,,,,NQ,,,,,,,
