trade_date,entry_time,exit_time,model_version,account,strategy_name,bot_name,ab_mode,symbol,instrument,direction,contracts,entry_price,exit_price,gross_pnl,net_pnl,ticks,win_loss,exit_reason,initial_stop_price,initial_stop_distance,entry_regime,entry_macro,entry_hmm,entry_phase,entry_confidence,entry_reason_code,broad_agree,v3c_regime_at_entry,trade_duration_min,r_multiple,risk_reward_actual,session_trade_rank,daily_pnl_running,export_timestamp,data_quality_flag
2026-05-04,2026-05-04 22:08:21,2026-05-04 22:08:36,OG,Sim101,MomentumRange_RangeBar,15 Range Momentum V1A,OG,NQ,NQ JUN26,LONG,1,27823.75,27822.5,-25.0,-25.0,-5.0,LOSS,SESSION_CLOSE,,,,,,,0,,,,0.25,,,1,-25.0,2026-05-04 22:22:41,UNAVAILABLE_REGIME
2026-05-04,2026-05-04 13:57:11,2026-05-04 14:10:00,OG,SimADX1,NQ_Momo_5m_OG,OG_MomentumSlope_v1_2,OG,NQ,NQ JUN26,LONG,1,27798.5,27795.75,-55.0,-55.0,-11.0,LOSS,SLOPE_EXIT,27755.75,855.0,TRANSITION,TREND,Balance,POST_LUNCH_ROTATION,0.0,HIGH_CONFLICT,1.0,TRANSITION,12.82,-0.06,-0.06,1,-55.0,2026-05-04 22:22:41,OK
2026-05-04,2026-05-04 10:07:52,2026-05-04 10:08:18,V3C,SimMomo1,MomentumSlopeStrategy v1.2,NQ Expansion A,N/A,NQ,NQ JUN26,LONG,1,27884.5,27864.25,-405.0,-405.0,-81.0,LOSS,STOP_HIT,,,TREND_COMPRESSION,BALANCE_STRUCTURE,TrendUp,END_FIRST_WINDOW,62,COMPRESSED_BALANCE_LOW_EDGE,0.0,TREND_COMPRESSION,0.43,,,1,-405.0,2026-05-04 22:22:41,OK
2026-05-04,2026-05-04 10:07:52,2026-05-04 10:08:18,V3C,SimMomo1,MomentumSlopeStrategy v1.2,OG_MomentumSlope_v1_2,N/A,NQ,NQ JUN26,LONG,1,27884.5,27864.25,-409.36,-413.72,-82.7,LOSS,STOP_HIT,27864.25,405.0,TREND_COMPRESSION,BALANCE_STRUCTURE,TrendUp,END_FIRST_WINDOW,62,COMPRESSED_BALANCE_LOW_EDGE,0.0,TREND_COMPRESSION,0.43,-1.02,-1.02,2,-818.72,2026-05-04 22:22:41,OK
2026-05-04,2026-05-04 10:08:19,2026-05-04 10:10:39,V3C,SimMomo1,MomentumSlopeStrategy v1.2,OG_MomentumSlope_v1_2,N/A,NQ,NQ JUN26,SHORT,1,27854.75,27870.0,-309.36,-313.72,-62.7,LOSS,SLOPE_EXIT,27878.0,465.0,TREND_COMPRESSION,BALANCE_STRUCTURE,TrendUp,END_FIRST_WINDOW,62,COMPRESSED_BALANCE_LOW_EDGE,0.0,TREND_COMPRESSION,2.33,-0.67,-0.67,3,-1132.44,2026-05-04 22:22:41,OK
2026-05-04,2026-05-04 10:08:19,2026-05-04 10:08:19,V3C,SimMomo1,MomentumSlopeStrategy v1.2,NQ Expansion A,N/A,NQ,NQ JUN26,SHORT,1,27862.0,27850.5,230.0,230.0,46.0,WIN,TARGET_HIT,,,TREND_COMPRESSION,BALANCE_STRUCTURE,TrendUp,END_FIRST_WINDOW,62,COMPRESSED_BALANCE_LOW_EDGE,0.0,TREND_COMPRESSION,0.0,,,4,-902.44,2026-05-04 22:22:41,OK
2026-05-04,2026-05-04 10:08:19,2026-05-04 10:10:39,V3C,SimMomo1,MomentumSlopeStrategy v1.2,NQ Expansion A,N/A,NQ,NQ JUN26,SHORT,1,27854.75,27870.0,-305.0,-305.0,-61.0,LOSS,SLOPE_EXIT,,,TREND_COMPRESSION,BALANCE_STRUCTURE,TrendUp,END_FIRST_WINDOW,62,COMPRESSED_BALANCE_LOW_EDGE,0.0,TREND_COMPRESSION,2.33,,,5,-1207.44,2026-05-04 22:22:41,OK
2026-05-04,2026-05-04 10:08:19,2026-05-04 10:08:19,V3C,SimMomo1,MomentumSlopeStrategy v1.2,OG_MomentumSlope_v1_2,N/A,NQ,NQ JUN26,SHORT,1,27862.0,27850.5,225.64,221.28,44.3,WIN,TARGET_HIT,27886.0,480.0,TREND_COMPRESSION,BALANCE_STRUCTURE,TrendUp,END_FIRST_WINDOW,62,COMPRESSED_BALANCE_LOW_EDGE,0.0,TREND_COMPRESSION,0.0,0.46,0.46,6,-986.16,2026-05-04 22:22:41,OK
2026-05-04,2026-05-04 10:11:54,2026-05-04 10:12:42,V3C,SimMomo1,MomentumSlopeStrategy v1.2,OG_MomentumSlope_v1_2,N/A,NQ,NQ JUN26,LONG,1,27893.75,27909.5,310.64,306.28,61.3,WIN,TARGET_HIT,27870.75,460.0,TRANSITION,BRACKET_MACRO,TrendUp,PRE_IB_MATURATION,50,NO_CLEAR_STAGE_C_ALIGNMENT,0.0,TREND_COMPRESSION,0.8,0.67,0.67,7,-679.88,2026-05-04 22:22:41,OK
2026-05-04,2026-05-04 10:11:54,2026-05-04 10:12:42,V3C,SimMomo1,MomentumSlopeStrategy v1.2,NQ Expansion A,N/A,NQ,NQ JUN26,LONG,1,27893.75,27909.5,315.0,315.0,63.0,WIN,TARGET_HIT,,,TRANSITION,BRACKET_MACRO,TrendUp,PRE_IB_MATURATION,50,NO_CLEAR_STAGE_C_ALIGNMENT,0.0,TREND_COMPRESSION,0.8,,,8,-364.88,2026-05-04 22:22:41,OK
