trade_date,entry_time,exit_time,model_version,account,strategy_name,bot_name,exported_strategy_name,exported_bot_name,registry_strategy_name,registry_bot_name,registry_tab_name,registry_chart_location,ab_mode,symbol,instrument,direction,contracts,entry_price,exit_price,gross_pnl,net_pnl,ticks,win_loss,exit_reason,initial_stop_price,initial_stop_distance,entry_regime,entry_macro,entry_hmm,entry_phase,entry_confidence,entry_reason_code,broad_agree,v3c_regime_at_entry,trade_duration_min,r_multiple,risk_reward_actual,session_trade_rank,daily_pnl_running,export_timestamp,data_quality_flag
2026-05-05,2026-05-05 09:39:01,2026-05-05 09:39:01,V3D,APEX7678400000190,UNKNOWN,UNMAPPED,,NQ_Sniper_A,UNKNOWN,,,,N/A,ES,ES JUN26,LONG,1,7269.25,7269.25,0.0,0.0,0.0,SCRATCH,AI,,,TREND_COMPRESSION,TREND,TrendDown,OPENING_AUCTION,41,DIRECTIONAL_MODERATE,0,TRANSITION,0.0,,,1,0.0,2026-05-05 17:56:53,UNMAPPED_ACCOUNT;UNMAPPED_BOT
2026-05-05,2026-05-05 10:13:49,2026-05-05 10:13:49,V1A,APEX7678400000190,UNKNOWN,UNMAPPED,,15 Range Momentum V1A,UNKNOWN,,,,N/A,NQ,NQ JUN26,LONG,1,28072.5,28072.5,0.0,0.0,0.0,SCRATCH,AI,,,TREND_COMPRESSION,TREND,TrendUp,FIRST_ACCEPTANCE,49,DIRECTIONAL_MODERATE,1,TREND_COMPRESSION,0.0,,,2,0.0,2026-05-05 17:56:53,UNMAPPED_ACCOUNT;UNMAPPED_BOT;SHARED_EXPORTER_LABEL
2026-05-05,2026-05-05 10:14:11,2026-05-05 10:14:11,V1A,APEX7678400000190,UNKNOWN,UNMAPPED,,15 Range Momentum V1A,UNKNOWN,,,,N/A,NQ,NQ JUN26,LONG,1,28068.0,28068.0,0.0,0.0,0.0,SCRATCH,AI,,,TREND_COMPRESSION,TREND,TrendUp,FIRST_ACCEPTANCE,49,DIRECTIONAL_MODERATE,1,TREND_COMPRESSION,0.0,,,3,0.0,2026-05-05 17:56:53,UNMAPPED_ACCOUNT;UNMAPPED_BOT;SHARED_EXPORTER_LABEL
2026-05-05,2026-05-05 10:14:25,2026-05-05 10:14:25,V1A,APEX7678400000190,UNKNOWN,UNMAPPED,,15 Range Momentum V1A,UNKNOWN,,,,N/A,NQ,NQ JUN26,LONG,1,28056.75,28056.75,0.0,0.0,0.0,SCRATCH,AI,,,TREND_COMPRESSION,TREND,TrendUp,FIRST_ACCEPTANCE,49,DIRECTIONAL_MODERATE,1,TREND_COMPRESSION,0.0,,,4,0.0,2026-05-05 17:56:53,UNMAPPED_ACCOUNT;UNMAPPED_BOT;SHARED_EXPORTER_LABEL
2026-05-05,2026-05-05 10:31:53,2026-05-05 10:32:32,V1A,APEX7678400000190,UNKNOWN,UNMAPPED,,15 Range Momentum V1A,UNKNOWN,,,,N/A,NQ,NQ JUN26,LONG,1,28115.75,28126.25,210.0,210.0,42.0,WIN,SESSION_CLOSE,,,TREND_COMPRESSION,TREND,TrendUp,PRE_IB_MATURATION,44,DIRECTIONAL_MODERATE,0,ROTATION_ILLIQUID,0.65,,,5,210.0,2026-05-05 17:56:53,UNMAPPED_ACCOUNT;UNMAPPED_BOT;SHARED_EXPORTER_LABEL
2026-05-05,2026-05-05 10:41:00,2026-05-05 10:41:00,V1A,APEX7678400000190,UNKNOWN,UNMAPPED,,15 Range Momentum V1A,UNKNOWN,,,,N/A,NQ,NQ JUN26,LONG,2,28093.5,28093.5,0.0,0.0,0.0,SCRATCH,AI,,,TRANSITION,TREND,Balance,POST_IB_MACRO,0,HIGH_CONFLICT,0,TREND_COMPRESSION,0.0,,,6,210.0,2026-05-05 17:56:53,UNMAPPED_ACCOUNT;UNMAPPED_BOT;SHARED_EXPORTER_LABEL
2026-05-05,2026-05-05 10:41:51,2026-05-05 10:42:08,V1A,APEX7678400000190,UNKNOWN,UNMAPPED,,15 Range Momentum V1A,UNKNOWN,,,,N/A,NQ,NQ JUN26,LONG,1,28103.0,28105.0,40.0,40.0,8.0,WIN,STOP_HIT,,,TRANSITION,TREND,Balance,POST_IB_MACRO,0,HIGH_CONFLICT,0,TREND_COMPRESSION,0.28,,,7,250.0,2026-05-05 17:56:53,UNMAPPED_ACCOUNT;UNMAPPED_BOT;SHARED_EXPORTER_LABEL
2026-05-05,2026-05-05 10:42:20,2026-05-05 10:43:12,V1A,APEX7678400000190,UNKNOWN,UNMAPPED,,15 Range Momentum V1A,UNKNOWN,,,,N/A,NQ,NQ JUN26,LONG,1,28103.5,28108.75,105.0,105.0,21.0,WIN,STOP_HIT,,,TRANSITION,TREND,Balance,POST_IB_MACRO,0,HIGH_CONFLICT,0,TREND_COMPRESSION,0.87,,,8,355.0,2026-05-05 17:56:53,UNMAPPED_ACCOUNT;UNMAPPED_BOT;SHARED_EXPORTER_LABEL
2026-05-05,2026-05-05 10:43:12,2026-05-05 10:44:32,V1A,APEX7678400000190,UNKNOWN,UNMAPPED,,15 Range Momentum V1A,UNKNOWN,,,,N/A,NQ,NQ JUN26,LONG,2,28107.75,28097.25,-420.0,-420.0,-42.0,LOSS,UNKNOWN,,,TRANSITION,TREND,Balance,POST_IB_MACRO,0,HIGH_CONFLICT,0,TREND_COMPRESSION,1.33,,,9,-65.0,2026-05-05 17:56:53,UNMAPPED_ACCOUNT;MISSING_EXITREASON;UNMAPPED_BOT;SHARED_EXPORTER_LABEL
2026-05-05,2026-05-05 10:48:02,2026-05-05 10:49:21,V3D,APEX7678400000190,UNKNOWN,UNMAPPED,,NQ_Sniper_A,UNKNOWN,,,,N/A,ES,ES JUN26,LONG,2,7274.25,7277.75,350.0,350.0,14.0,WIN,SESSION_CLOSE,,,ROTATION_LIQUID,ROTATION,Balance,POST_IB_MACRO,80,HMM_BALANCE_ROTATION_CONFIRMED,0,TREND_COMPRESSION,1.32,,,10,285.0,2026-05-05 17:56:53,UNMAPPED_ACCOUNT;UNMAPPED_BOT
