Data Quality Report 20260501
Generated: 2026-05-01 17:50:50
Rows: 119

Flag counts:
  OK: 101
  UNMAPPED_BOT: 18

Non-OK rows:
  2026-05-01 | 2026-05-01 11:12:15 | SimADX1 | STANDALONE | NQ_Momo_5m_OG | UNMAPPED | UNMAPPED_BOT
  2026-05-01 | 2026-05-01 11:12:15 | SimADX1 | STANDALONE | NQ_Momo_5m_OG | UNMAPPED | UNMAPPED_BOT
  2026-05-01 | 2026-05-01 11:01:27 | SimMomo1 | STANDALONE | Momo_5M_OG | UNMAPPED | UNMAPPED_BOT
  2026-05-01 | 2026-05-01 11:01:27 | SimMomo1 | STANDALONE | Momo_5M_OG | UNMAPPED | UNMAPPED_BOT
  2026-05-01 | 2026-05-01 11:14:50 | SimMomo1 | STANDALONE | Momo_5M_OG | UNMAPPED | UNMAPPED_BOT
  2026-05-01 | 2026-05-01 11:14:50 | SimMomo1 | STANDALONE | Momo_5M_OG | UNMAPPED | UNMAPPED_BOT
  2026-05-01 | 2026-05-01 12:07:43 | SimMomo1 | STANDALONE | Momo_5M_OG | UNMAPPED | UNMAPPED_BOT
  2026-05-01 | 2026-05-01 12:07:43 | SimMomo1 | STANDALONE | Momo_5M_OG | UNMAPPED | UNMAPPED_BOT
  2026-05-01 | 2026-05-01 10:35:01 | SimV1A Kalman Fader 3 | V1B | KalmanPulse_Fader_V1B | UNMAPPED | UNMAPPED_BOT
  2026-05-01 | 2026-05-01 10:35:01 | SimV1A Kalman Fader 3 | V1B | KalmanPulse_Fader_V1B | UNMAPPED | UNMAPPED_BOT
  2026-05-01 | 2026-05-01 10:35:02 | SimV1A- Kalman Fader 1 | V1A | KalmanPulse_Fader | UNMAPPED | UNMAPPED_BOT
  2026-05-01 | 2026-05-01 10:35:02 | SimV1A- Kalman Fader 1 | V1A | KalmanPulse_Fader | UNMAPPED | UNMAPPED_BOT
  2026-05-01 | 2026-05-01 11:14:11 | SimV3C-NQ-5A | V3C | NQ.ADX.DI.5m.DefaultOG | UNMAPPED | UNMAPPED_BOT
  2026-05-01 | 2026-05-01 11:14:11 | SimV3C-NQ-5A | V3C | NQ.ADX.DI.5m.DefaultOG | UNMAPPED | UNMAPPED_BOT
  2026-05-01 | 2026-05-01 10:37:53 | SimV3D-NQ-5B | V3D | ADX_DI_V3D | UNMAPPED | UNMAPPED_BOT
  2026-05-01 | 2026-05-01 10:37:53 | SimV3D-NQ-5B | V3D | ADX_DI_V3D | UNMAPPED | UNMAPPED_BOT
  2026-05-01 | 2026-05-01 10:38:52 | SimV3D-NQ-5B | V3D | ADX_DI_V3D | UNMAPPED | UNMAPPED_BOT
  2026-05-01 | 2026-05-01 10:38:52 | SimV3D-NQ-5B | V3D | ADX_DI_V3D | UNMAPPED | UNMAPPED_BOT
