Data Quality Report 20260505
Generated: 2026-05-05 16:21:34
Rows: 105

Flag counts:
  OK: 69
  UNMAPPED_ACCOUNT: 35
  UNMAPPED_ACCOUNT;MISSING_EXITREASON: 1

Non-OK rows:
  2026-05-05 | 2026-05-05 09:39:01 | APEX7678400000190 | V3D | UNKNOWN | NQ_Sniper_A | UNMAPPED_ACCOUNT
  2026-05-05 | 2026-05-05 10:13:49 | APEX7678400000190 | V1A | UNKNOWN | 15 Range Momentum V1A | UNMAPPED_ACCOUNT
  2026-05-05 | 2026-05-05 10:14:11 | APEX7678400000190 | V1A | UNKNOWN | 15 Range Momentum V1A | UNMAPPED_ACCOUNT
  2026-05-05 | 2026-05-05 10:14:25 | APEX7678400000190 | V1A | UNKNOWN | 15 Range Momentum V1A | UNMAPPED_ACCOUNT
  2026-05-05 | 2026-05-05 10:31:53 | APEX7678400000190 | V1A | UNKNOWN | 15 Range Momentum V1A | UNMAPPED_ACCOUNT
  2026-05-05 | 2026-05-05 10:41:00 | APEX7678400000190 | V1A | UNKNOWN | 15 Range Momentum V1A | UNMAPPED_ACCOUNT
  2026-05-05 | 2026-05-05 10:41:51 | APEX7678400000190 | V1A | UNKNOWN | 15 Range Momentum V1A | UNMAPPED_ACCOUNT
  2026-05-05 | 2026-05-05 10:42:20 | APEX7678400000190 | V1A | UNKNOWN | 15 Range Momentum V1A | UNMAPPED_ACCOUNT
  2026-05-05 | 2026-05-05 10:43:12 | APEX7678400000190 | V1A | UNKNOWN | 15 Range Momentum V1A | UNMAPPED_ACCOUNT;MISSING_EXITREASON
  2026-05-05 | 2026-05-05 10:48:02 | APEX7678400000190 | V3D | UNKNOWN | NQ_Sniper_A | UNMAPPED_ACCOUNT
  2026-05-05 | 2026-05-05 10:54:05 | APEX7678400000190 | V1A | UNKNOWN | 15 Range Momentum V1A | UNMAPPED_ACCOUNT
  2026-05-05 | 2026-05-05 10:54:23 | APEX7678400000190 | V1A | UNKNOWN | 15 Range Momentum V1A | UNMAPPED_ACCOUNT
  2026-05-05 | 2026-05-05 10:55:33 | APEX7678400000190 | V1A | UNKNOWN | 15 Range Momentum V1A | UNMAPPED_ACCOUNT
  2026-05-05 | 2026-05-05 10:56:06 | APEX7678400000190 | V1A | UNKNOWN | 15 Range Momentum V1A | UNMAPPED_ACCOUNT
  2026-05-05 | 2026-05-05 11:04:22 | APEX7678400000190 | V1A | UNKNOWN | 15 Range Momentum V1A | UNMAPPED_ACCOUNT
  2026-05-05 | 2026-05-05 11:06:47 | APEX7678400000190 | V1A | UNKNOWN | 15 Range Momentum V1A | UNMAPPED_ACCOUNT
  2026-05-05 | 2026-05-05 11:07:16 | APEX7678400000190 | V1A | UNKNOWN | 15 Range Momentum V1A | UNMAPPED_ACCOUNT
  2026-05-05 | 2026-05-05 11:08:16 | APEX7678400000190 | V1A | UNKNOWN | 15 Range Momentum V1A | UNMAPPED_ACCOUNT
  2026-05-05 | 2026-05-05 11:11:55 | APEX7678400000190 | V1A | UNKNOWN | 15 Range Momentum V1A | UNMAPPED_ACCOUNT
  2026-05-05 | 2026-05-05 11:15:10 | APEX7678400000190 | V1A | UNKNOWN | 15 Range Momentum V1A | UNMAPPED_ACCOUNT
  2026-05-05 | 2026-05-05 11:15:50 | APEX7678400000190 | V1A | UNKNOWN | 15 Range Momentum V1A | UNMAPPED_ACCOUNT
  2026-05-05 | 2026-05-05 11:18:10 | APEX7678400000190 | V1A | UNKNOWN | 15 Range Momentum V1A | UNMAPPED_ACCOUNT
  2026-05-05 | 2026-05-05 11:20:34 | APEX7678400000190 | V1A | UNKNOWN | 15 Range Momentum V1A | UNMAPPED_ACCOUNT
  2026-05-05 | 2026-05-05 11:22:10 | APEX7678400000190 | V1A | UNKNOWN | 15 Range Momentum V1A | UNMAPPED_ACCOUNT
  2026-05-05 | 2026-05-05 11:26:00 | APEX7678400000190 | V1A | UNKNOWN | 15 Range Momentum V1A | UNMAPPED_ACCOUNT
  2026-05-05 | 2026-05-05 11:26:45 | APEX7678400000190 | V1A | UNKNOWN | 15 Range Momentum V1A | UNMAPPED_ACCOUNT
  2026-05-05 | 2026-05-05 11:30:46 | APEX7678400000190 | V3D | UNKNOWN | NQ_Sniper_A | UNMAPPED_ACCOUNT
  2026-05-05 | 2026-05-05 11:57:38 | APEX7678400000190 | V1A | UNKNOWN | 15 Range Momentum V1A | UNMAPPED_ACCOUNT
  2026-05-05 | 2026-05-05 11:59:53 | APEX7678400000190 | V1A | UNKNOWN | 15 Range Momentum V1A | UNMAPPED_ACCOUNT
  2026-05-05 | 2026-05-05 13:03:35 | APEX7678400000190 | V1A | UNKNOWN | 15 Range Momentum V1A | UNMAPPED_ACCOUNT
  2026-05-05 | 2026-05-05 14:41:01 | APEX7678400000190 | V1A | UNKNOWN | 15 Range Momentum V1A | UNMAPPED_ACCOUNT
  2026-05-05 | 2026-05-05 14:47:01 | APEX7678400000190 | V1A | UNKNOWN | 15 Range Momentum V1A | UNMAPPED_ACCOUNT
  2026-05-05 | 2026-05-05 15:38:59 | SimV3C-NQ-2D | V1A | UNKNOWN | 15 Range Momentum V1A | UNMAPPED_ACCOUNT
  2026-05-05 | 2026-05-05 12:48:00 | nan | V3C | UNKNOWN | V3_Compression_Sniper_V3C | UNMAPPED_ACCOUNT
  2026-05-05 | 2026-05-05 13:18:00 | nan | V3C | UNKNOWN | V3_Compression_Sniper_V3C | UNMAPPED_ACCOUNT
  2026-05-05 | 2026-05-05 15:39:00 | nan | V3C | UNKNOWN | V3_Compression_Sniper_V3C | UNMAPPED_ACCOUNT
