Data Quality Report 20260506
Generated: 2026-05-06 16:21:14
Rows: 148

Flag counts:
  SHARED_EXPORTER_LABEL: 79
  OK: 67
  UNMAPPED_ACCOUNT;UNMAPPED_BOT: 1
  UNMAPPED_ACCOUNT;MISSING_EXITREASON;UNMAPPED_BOT: 1

Non-OK rows:
  2026-05-06 | 2026-05-06 09:36:05 | APEX7678400000190 | V3D | UNKNOWN | UNMAPPED | NQ Fader B |  |  | UNMAPPED_ACCOUNT;UNMAPPED_BOT
  2026-05-06 | 2026-05-06 09:39:05 | APEX7678400000190 | V3D | UNKNOWN | UNMAPPED | NQ Fader B |  |  | UNMAPPED_ACCOUNT;MISSING_EXITREASON;UNMAPPED_BOT
  2026-05-06 | 2026-05-06 10:09:39 | SimMomo1 | V3C | NQ Momo OG 1m HA | OG_MomentumSlope_v1_2 | OG_MomentumSlope_v1_2 | Bottom Middle | Momo 1mHA OG | SHARED_EXPORTER_LABEL
  2026-05-06 | 2026-05-06 10:09:39 | SimMomo1 | V3C | MomentumSlopeStrategy v1.2 | Momo 1mHA OG | NQ_ADX_C | Bottom Middle | Momo 1mHA OG | SHARED_EXPORTER_LABEL
  2026-05-06 | 2026-05-06 10:11:00 | SimMomo1 | V3C | NQ Momo OG 1m HA | OG_MomentumSlope_v1_2 | OG_MomentumSlope_v1_2 | Bottom Middle | Momo 1mHA OG | SHARED_EXPORTER_LABEL
  2026-05-06 | 2026-05-06 10:17:38 | SimMomo1 | V3C | NQ Momo OG 1m HA | OG_MomentumSlope_v1_2 | OG_MomentumSlope_v1_2 | Bottom Middle | Momo 1mHA OG | SHARED_EXPORTER_LABEL
  2026-05-06 | 2026-05-06 10:19:00 | SimMomo1 | V3C | NQ Momo OG 1m HA | OG_MomentumSlope_v1_2 | OG_MomentumSlope_v1_2 | Bottom Middle | Momo 1mHA OG | SHARED_EXPORTER_LABEL
  2026-05-06 | 2026-05-06 10:25:16 | SimMomo1 | V3C | NQ Momo OG 1m HA | OG_MomentumSlope_v1_2 | OG_MomentumSlope_v1_2 | Bottom Middle | Momo 1mHA OG | SHARED_EXPORTER_LABEL
  2026-05-06 | 2026-05-06 10:25:16 | SimMomo1 | V3C | MomentumSlopeStrategy v1.2 | Momo 1mHA OG | NQ_ADX_C | Bottom Middle | Momo 1mHA OG | SHARED_EXPORTER_LABEL
  2026-05-06 | 2026-05-06 11:13:17 | SimMomo1 | V3C | NQ Momo OG 1m HA | OG_MomentumSlope_v1_2 | OG_MomentumSlope_v1_2 | Bottom Middle | Momo 1mHA OG | SHARED_EXPORTER_LABEL
  2026-05-06 | 2026-05-06 11:13:17 | SimMomo1 | V3C | MomentumSlopeStrategy v1.2 | Momo 1mHA OG | NQ_ADX_C | Bottom Middle | Momo 1mHA OG | SHARED_EXPORTER_LABEL
  2026-05-06 | 2026-05-06 11:13:34 | SimMomo1 | V3C | NQ Momo OG 1m HA | OG_MomentumSlope_v1_2 | OG_MomentumSlope_v1_2 | Bottom Middle | Momo 1mHA OG | SHARED_EXPORTER_LABEL
