Data Quality Report ALL
Generated: 2026-05-02 19:39:13
Rows: 119

Flag counts:
  OK: 94
  UNMAPPED_ACCOUNT: 24
  UNMAPPED_ACCOUNT;MISSING_EXITREASON: 1

Non-OK rows:
  2026-04-29 | 2026-04-29 10:46:09 | DEMO1419193 | V3D | UNKNOWN | NQ_ADX_B | UNMAPPED_ACCOUNT
  2026-04-29 | 2026-04-29 10:47:43 | DEMO1419193 | V3D | UNKNOWN | NQ_ADX_B | UNMAPPED_ACCOUNT
  2026-04-29 | 2026-04-29 10:48:18 | DEMO1419193 | V3D | UNKNOWN | NQ_ADX_B | UNMAPPED_ACCOUNT
  2026-04-29 | 2026-04-29 10:49:10 | DEMO1419193 | V3D | UNKNOWN | NQ_ADX_B | UNMAPPED_ACCOUNT
  2026-04-29 | 2026-04-29 10:57:19 | DEMO1419193 | V3D | UNKNOWN | NQ_ADX_B | UNMAPPED_ACCOUNT
  2026-04-30 | 2026-04-30 09:42:05 | DEMO1419193 | V3D | UNKNOWN | NQ_ADX_C | UNMAPPED_ACCOUNT
  2026-04-30 | 2026-04-30 09:42:44 | DEMO1419193 | V3D | UNKNOWN | NQ_ADX_C | UNMAPPED_ACCOUNT
  2026-04-30 | 2026-04-30 09:43:23 | DEMO1419193 | V3D | UNKNOWN | NQ_ADX_C | UNMAPPED_ACCOUNT
  2026-04-30 | 2026-04-30 09:43:25 | DEMO1419193 | V3D | UNKNOWN | NQ_ADX_C | UNMAPPED_ACCOUNT
  2026-04-30 | 2026-04-30 09:50:48 | DEMO1419193 | V3D | UNKNOWN | NQ_ADX_C | UNMAPPED_ACCOUNT
  2026-04-30 | 2026-04-30 09:52:05 | DEMO1419193 | V3D | UNKNOWN | NQ_ADX_C | UNMAPPED_ACCOUNT
  2026-04-30 | 2026-04-30 09:52:34 | DEMO1419193 | V3D | UNKNOWN | NQ_ADX_C | UNMAPPED_ACCOUNT
  2026-04-30 | 2026-04-30 09:53:11 | DEMO1419193 | V3D | UNKNOWN | NQ_ADX_C | UNMAPPED_ACCOUNT;MISSING_EXITREASON
  2026-04-30 | 2026-04-30 09:53:29 | DEMO1419193 | V3D | UNKNOWN | NQ_ADX_C | UNMAPPED_ACCOUNT
  2026-04-30 | 2026-04-30 09:54:59 | DEMO1419193 | V3D | UNKNOWN | NQ_ADX_C | UNMAPPED_ACCOUNT
  2026-04-30 | 2026-04-30 09:55:55 | DEMO1419193 | V3D | UNKNOWN | NQ_ADX_C | UNMAPPED_ACCOUNT
  2026-04-30 | 2026-04-30 09:56:02 | DEMO1419193 | V3D | UNKNOWN | NQ_ADX_C | UNMAPPED_ACCOUNT
  2026-04-30 | 2026-04-30 09:58:22 | DEMO1419193 | V3D | UNKNOWN | NQ_ADX_C | UNMAPPED_ACCOUNT
  2026-04-30 | 2026-04-30 09:58:54 | DEMO1419193 | V3D | UNKNOWN | NQ_ADX_C | UNMAPPED_ACCOUNT
  2026-04-30 | 2026-04-30 09:59:10 | DEMO1419193 | V3D | UNKNOWN | NQ_ADX_C | UNMAPPED_ACCOUNT
  2026-04-30 | 2026-04-30 09:59:21 | DEMO1419193 | V3D | UNKNOWN | NQ_ADX_C | UNMAPPED_ACCOUNT
  2026-04-30 | 2026-04-30 09:59:31 | DEMO1419193 | V3D | UNKNOWN | NQ_ADX_C | UNMAPPED_ACCOUNT
  2026-04-30 | 2026-04-30 10:13:50 | DEMO1419193 | V3D | UNKNOWN | NQ_ADX_C | UNMAPPED_ACCOUNT
  2026-04-30 | 2026-04-30 10:26:19 | DEMO1419193 | V3D | UNKNOWN | NQ_ADX_C | UNMAPPED_ACCOUNT
  2026-04-28 | 2026-04-28 13:33:02 | Sim1 | V3D | UNKNOWN | NQ Fader A | UNMAPPED_ACCOUNT
