account,trade_export_net_pnl,accounts_realized_pnl,delta_trade_minus_accounts
SimV1A - Kalman Fader 2,-1145.0,-665.0,-480.0
SimV1A Kalman Fader 3,-550.0,-475.0,-75.0
SimADX Pine,235.0,235.0,0.0
SimMomo2,-775.0,-775.0,0.0
SimV1A- Kalman Fader 1,-390.0,-390.0,0.0
SimPine1,90.64,90.64,0.0
SimV3C-NQ-2A,-15.0,-15.0,0.0
SimV3C-NQ-2B,-280.0,-280.0,0.0
SimV3D-NQ-3B,680.0,680.0,0.0
SimV3C-NQ-2C,-1165.0,-1165.0,0.0
SimV3C-NQ-4A,-220.0,-220.0,0.0
SimV3C-NQ-5A,-1125.0,-1125.0,0.0
Sim1,0.0,0.0,0.0
Live for HIM!,0.0,0.0,0.0
Sim101,0.0,0.0,0.0
SimADX Gu5,0.0,0.0,0.0
SimV1A - CompositeMomentum 1,0.0,0.0,0.0
SimADX1,0.0,0.0,0.0
SimADX2,0.0,0.0,0.0
SimMomo3,0.0,0.0,0.0
SimMomo4,0.0,0.0,0.0
SimMomov1.2,0.0,0.0,0.0
SimPine2,0.0,0.0,0.0
SimSimV3C-NQ-1C,0.0,0.0,0.0
SimV1A Vol Fader 3,0.0,0.0,0.0
SimV1A - CompositeMomentum 2,0.0,0.0,0.0
SimV1A - CompositeMomentum 3,0.0,0.0,0.0
SimV1A Vol Fader 2,0.0,0.0,0.0
SimV3C-NQ-1A,0.0,0.0,0.0
SimV1A-Vol Fader 1,0.0,0.0,0.0
SimV3C-NQ-1B,0.0,0.0,0.0
SimV3C-NQ-2D,0.0,0.0,0.0
SimV3D-NQ-3A,0.0,0.0,0.0
SimV3C-NQ-3A,0.0,0.0,0.0
SimV3C-NQ-3B,0.0,0.0,0.0
SimV3C-NQ-4B,0.0,0.0,0.0
SimV3C-NQ-5B,0.0,0.0,0.0
SimV3D-ES-1A,0.0,0.0,0.0
SimV3D-ES-2A,0.0,0.0,0.0
SimV3D-ES-2B,0.0,0.0,0.0
SimV3D-ES-3A,0.0,0.0,0.0
SimV3D-ES-4A,0.0,0.0,0.0
SimV3D-ES-5A,0.0,0.0,0.0
SimV3D-ES-5B,0.0,0.0,0.0
SimV3D-NQ-1A,0.0,0.0,0.0
SimV3D-NQ-1B,0.0,0.0,0.0
SimV3D-NQ-2A,0.0,0.0,0.0
SimV3D-NQ-2B,0.0,0.0,0.0
SimV3D-NQ-5B,0.0,0.0,0.0
SimV3D-NQ-4A,0.0,0.0,0.0
SimV3D-NQ-4B,0.0,0.0,0.0
SimV3D-NQ-5A,0.0,0.0,0.0
SimV3D-NQ-5C,0.0,0.0,0.0
SimMomo1,-305.4000000000002,-1072.96,767.5599999999998
