trade_date,entry_time,exit_time,model_version,account,strategy_name,bot_name,ab_mode,symbol,instrument,direction,contracts,entry_price,exit_price,gross_pnl,net_pnl,ticks,win_loss,exit_reason,entry_regime,entry_macro,entry_hmm,entry_phase,entry_confidence,entry_reason_code,broad_agree,v3c_regime_at_entry,trade_duration_min,risk_reward_actual,session_trade_rank,daily_pnl_running,export_timestamp,data_quality_flag
2026-05-01,2026-05-01 10:35:01,2026-05-01 10:35:01,V1A,SimV1A- Kalman Fader 1,KalmanPulse_Fader,Kalman Fader Mode A,A,NQ,NQ JUN26,SHORT,1,27811.0,27812.25,-25.0,-25.0,-5.0,LOSS,EnvelopeBreakExit,ROTATION_LIQUID,ROTATION,TrendDown,POST_IB_MACRO,70,TWO_SIDED_CONFIRMED,0,TREND_COMPRESSION,0.0,,1,-25.0,2026-05-01 17:50:50,OK
2026-05-01,2026-05-01 10:35:02,2026-05-01 10:35:02,V1A,SimV1A- Kalman Fader 1,KalmanPulse_Fader,NQ_ADX_C,A,NQ,NQ JUN26,SHORT,1,27812.0,27814.75,-55.0,-55.0,-11.0,LOSS,EnvelopeBreakExit,ROTATION_LIQUID,ROTATION,TrendDown,POST_IB_MACRO,70,TWO_SIDED_CONFIRMED,0,TREND_COMPRESSION,0.0,,2,-80.0,2026-05-01 17:50:50,OK
2026-05-01,2026-05-01 10:35:02,2026-05-01 10:35:02,V1A,SimV1A- Kalman Fader 1,KalmanPulse_Fader,UNMAPPED,A,NQ,NQ JUN26,SHORT,1,27812.0,27814.75,-55.0,-55.0,-11.0,LOSS,EnvelopeBreakExit,ROTATION_LIQUID,ROTATION,TrendDown,POST_IB_MACRO,70,TWO_SIDED_CONFIRMED,0,TREND_COMPRESSION,0.0,,3,-135.0,2026-05-01 17:50:50,UNMAPPED_BOT
2026-05-01,2026-05-01 10:35:02,2026-05-01 10:35:02,V1A,SimV1A- Kalman Fader 1,KalmanPulse_Fader,NQ Fader A,A,NQ,NQ JUN26,SHORT,1,27812.0,27814.75,-55.0,-55.0,-11.0,LOSS,EnvelopeBreakExit,ROTATION_LIQUID,ROTATION,TrendDown,POST_IB_MACRO,70,TWO_SIDED_CONFIRMED,0,TREND_COMPRESSION,0.0,,4,-190.0,2026-05-01 17:50:50,OK
2026-05-01,2026-05-01 10:35:02,2026-05-01 10:35:02,V1A,SimV1A- Kalman Fader 1,KalmanPulse_Fader,NQ Expansion A,A,NQ,NQ JUN26,SHORT,1,27812.0,27814.75,-55.0,-55.0,-11.0,LOSS,EnvelopeBreakExit,ROTATION_LIQUID,ROTATION,TrendDown,POST_IB_MACRO,70,TWO_SIDED_CONFIRMED,0,TREND_COMPRESSION,0.0,,5,-245.0,2026-05-01 17:50:50,OK
2026-05-01,2026-05-01 10:35:02,2026-05-01 10:35:02,V1A,SimV1A- Kalman Fader 1,KalmanPulse_Fader,NQ Fader B,A,NQ,NQ JUN26,SHORT,1,27812.0,27814.75,-55.0,-55.0,-11.0,LOSS,EnvelopeBreakExit,ROTATION_LIQUID,ROTATION,TrendDown,POST_IB_MACRO,70,TWO_SIDED_CONFIRMED,0,TREND_COMPRESSION,0.0,,6,-300.0,2026-05-01 17:50:50,OK
2026-05-01,2026-05-01 10:35:02,2026-05-01 10:35:02,V1A,SimV1A- Kalman Fader 1,KalmanPulse_Fader,NQ Expansion B,A,NQ,NQ JUN26,SHORT,1,27812.0,27814.75,-55.0,-55.0,-11.0,LOSS,EnvelopeBreakExit,ROTATION_LIQUID,ROTATION,TrendDown,POST_IB_MACRO,70,TWO_SIDED_CONFIRMED,0,TREND_COMPRESSION,0.0,,7,-355.0,2026-05-01 17:50:50,OK
2026-05-01,2026-05-01 10:35:02,2026-05-01 10:35:02,V1A,SimV1A- Kalman Fader 1,KalmanPulse_Fader,NQ Momentum A,A,NQ,NQ JUN26,SHORT,1,27812.0,27814.75,-55.0,-55.0,-11.0,LOSS,EnvelopeBreakExit,ROTATION_LIQUID,ROTATION,TrendDown,POST_IB_MACRO,70,TWO_SIDED_CONFIRMED,0,TREND_COMPRESSION,0.0,,8,-410.0,2026-05-01 17:50:50,OK
2026-05-01,2026-05-01 10:35:02,2026-05-01 10:35:02,V1A,SimV1A- Kalman Fader 1,KalmanPulse_Fader,NQ_ADX_B,A,NQ,NQ JUN26,SHORT,1,27812.0,27814.75,-55.0,-55.0,-11.0,LOSS,EnvelopeBreakExit,ROTATION_LIQUID,ROTATION,TrendDown,POST_IB_MACRO,70,TWO_SIDED_CONFIRMED,0,TREND_COMPRESSION,0.0,,9,-465.0,2026-05-01 17:50:50,OK
2026-05-01,2026-05-01 10:35:02,2026-05-01 10:35:02,V1A,SimV1A- Kalman Fader 1,KalmanPulse_Fader,NQ Momentum B,A,NQ,NQ JUN26,SHORT,1,27812.0,27814.75,-55.0,-55.0,-11.0,LOSS,EnvelopeBreakExit,ROTATION_LIQUID,ROTATION,TrendDown,POST_IB_MACRO,70,TWO_SIDED_CONFIRMED,0,TREND_COMPRESSION,0.0,,10,-520.0,2026-05-01 17:50:50,OK
