trade_date,entry_time,exit_time,model_version,account,strategy_name,bot_name,ab_mode,symbol,instrument,direction,contracts,entry_price,exit_price,gross_pnl,net_pnl,ticks,win_loss,exit_reason,initial_stop_price,initial_stop_distance,entry_regime,entry_macro,entry_hmm,entry_phase,entry_confidence,entry_reason_code,broad_agree,v3c_regime_at_entry,trade_duration_min,r_multiple,risk_reward_actual,session_trade_rank,daily_pnl_running,export_timestamp,data_quality_flag
2026-05-05,2026-05-05 10:13:49,2026-05-05 10:13:49,V1A,APEX7678400000190,UNKNOWN,15 Range Momentum V1A,N/A,NQ,NQ JUN26,LONG,1,28072.5,28072.5,0.0,0.0,0.0,SCRATCH,AI,,,TREND_COMPRESSION,TREND,TrendUp,FIRST_ACCEPTANCE,49,DIRECTIONAL_MODERATE,1,TREND_COMPRESSION,0.0,,,2,0.0,2026-05-05 16:38:01,UNMAPPED_ACCOUNT
2026-05-05,2026-05-05 10:14:11,2026-05-05 10:14:11,V1A,APEX7678400000190,UNKNOWN,15 Range Momentum V1A,N/A,NQ,NQ JUN26,LONG,1,28068.0,28068.0,0.0,0.0,0.0,SCRATCH,AI,,,TREND_COMPRESSION,TREND,TrendUp,FIRST_ACCEPTANCE,49,DIRECTIONAL_MODERATE,1,TREND_COMPRESSION,0.0,,,3,0.0,2026-05-05 16:38:01,UNMAPPED_ACCOUNT
2026-05-05,2026-05-05 10:14:25,2026-05-05 10:14:25,V1A,APEX7678400000190,UNKNOWN,15 Range Momentum V1A,N/A,NQ,NQ JUN26,LONG,1,28056.75,28056.75,0.0,0.0,0.0,SCRATCH,AI,,,TREND_COMPRESSION,TREND,TrendUp,FIRST_ACCEPTANCE,49,DIRECTIONAL_MODERATE,1,TREND_COMPRESSION,0.0,,,4,0.0,2026-05-05 16:38:01,UNMAPPED_ACCOUNT
2026-05-05,2026-05-05 10:31:53,2026-05-05 10:32:32,V1A,APEX7678400000190,UNKNOWN,15 Range Momentum V1A,N/A,NQ,NQ JUN26,LONG,1,28115.75,28126.25,210.0,210.0,42.0,WIN,SESSION_CLOSE,,,TREND_COMPRESSION,TREND,TrendUp,PRE_IB_MATURATION,44,DIRECTIONAL_MODERATE,0,ROTATION_ILLIQUID,0.65,,,5,210.0,2026-05-05 16:38:01,UNMAPPED_ACCOUNT
2026-05-05,2026-05-05 10:41:00,2026-05-05 10:41:00,V1A,APEX7678400000190,UNKNOWN,15 Range Momentum V1A,N/A,NQ,NQ JUN26,LONG,2,28093.5,28093.5,0.0,0.0,0.0,SCRATCH,AI,,,TRANSITION,TREND,Balance,POST_IB_MACRO,0,HIGH_CONFLICT,0,TREND_COMPRESSION,0.0,,,6,210.0,2026-05-05 16:38:01,UNMAPPED_ACCOUNT
2026-05-05,2026-05-05 10:41:51,2026-05-05 10:42:08,V1A,APEX7678400000190,UNKNOWN,15 Range Momentum V1A,N/A,NQ,NQ JUN26,LONG,1,28103.0,28105.0,40.0,40.0,8.0,WIN,STOP_HIT,,,TRANSITION,TREND,Balance,POST_IB_MACRO,0,HIGH_CONFLICT,0,TREND_COMPRESSION,0.28,,,7,250.0,2026-05-05 16:38:01,UNMAPPED_ACCOUNT
2026-05-05,2026-05-05 10:42:20,2026-05-05 10:43:12,V1A,APEX7678400000190,UNKNOWN,15 Range Momentum V1A,N/A,NQ,NQ JUN26,LONG,1,28103.5,28108.75,105.0,105.0,21.0,WIN,STOP_HIT,,,TRANSITION,TREND,Balance,POST_IB_MACRO,0,HIGH_CONFLICT,0,TREND_COMPRESSION,0.87,,,8,355.0,2026-05-05 16:38:01,UNMAPPED_ACCOUNT
2026-05-05,2026-05-05 10:43:12,2026-05-05 10:44:32,V1A,APEX7678400000190,UNKNOWN,15 Range Momentum V1A,N/A,NQ,NQ JUN26,LONG,2,28107.75,28097.25,-420.0,-420.0,-42.0,LOSS,UNKNOWN,,,TRANSITION,TREND,Balance,POST_IB_MACRO,0,HIGH_CONFLICT,0,TREND_COMPRESSION,1.33,,,9,-65.0,2026-05-05 16:38:01,UNMAPPED_ACCOUNT;MISSING_EXITREASON
2026-05-05,2026-05-05 10:54:05,2026-05-05 10:54:15,V1A,APEX7678400000190,UNKNOWN,15 Range Momentum V1A,N/A,NQ,NQ JUN26,LONG,1,28094.0,28096.5,50.0,50.0,10.0,WIN,STOP_HIT,,,TRANSITION,TREND,Transition,POST_IB_MACRO,0,HMM_TRANSITION_TREND_BLOCKED,0,TREND_COMPRESSION,0.17,,,11,335.0,2026-05-05 16:38:01,UNMAPPED_ACCOUNT
2026-05-05,2026-05-05 10:54:23,2026-05-05 10:54:25,V1A,APEX7678400000190,UNKNOWN,15 Range Momentum V1A,N/A,NQ,NQ JUN26,LONG,1,28094.5,28096.25,35.0,35.0,7.0,WIN,STOP_HIT,,,TRANSITION,TREND,Transition,POST_IB_MACRO,0,HMM_TRANSITION_TREND_BLOCKED,0,TREND_COMPRESSION,0.03,,,12,370.0,2026-05-05 16:38:01,UNMAPPED_ACCOUNT
2026-05-05,2026-05-05 10:55:33,2026-05-05 10:55:58,V1A,APEX7678400000190,UNKNOWN,15 Range Momentum V1A,N/A,NQ,NQ JUN26,LONG,1,28107.5,28104.25,-65.0,-65.0,-13.0,LOSS,STOP_HIT,,,TRANSITION,TREND,Balance,MID_MORNING_DISCOVERY,0,HIGH_CONFLICT,1,TRANSITION,0.42,,,13,305.0,2026-05-05 16:38:01,UNMAPPED_ACCOUNT
