trade_date,entry_time,exit_time,model_version,account,strategy_name,bot_name,exported_strategy_name,exported_bot_name,registry_strategy_name,registry_bot_name,registry_tab_name,registry_chart_location,source_file,ab_mode,symbol,instrument,direction,contracts,entry_price,exit_price,gross_pnl,net_pnl,ticks,win_loss,exit_reason,initial_stop_price,initial_stop_distance,entry_regime,entry_macro,entry_hmm,entry_phase,entry_confidence,entry_reason_code,broad_agree,v3c_regime_at_entry,trade_duration_min,r_multiple,risk_reward_actual,session_trade_rank,daily_pnl_running,export_timestamp,data_quality_flag
2026-05-06,2026-05-06 10:35:33,2026-05-06 10:35:33,V1A,SimV1A - Kalman Fader 2,KalmanPulse_Fader,Kalman Fade Mode A+,,NQ_ADX_C,KalmanPulse_Fader,,Kalman Fade Mode A+,Middle 3,C:\Users\Valued Customer\NT8_Regimes\V3D\TradeLog\V3D_TradeLog.csv,A+,NQ,NQ JUN26,SHORT,1,28487.5,28488.25,-15.0,-15.0,-3.0,LOSS,ENVELOPE_BREAK_EXIT,,,ROTATION_LIQUID,ROTATION,Transition,POST_IB_MACRO,70,TWO_SIDED_CONFIRMED,0,TRANSITION,0.0,,,1,-15.0,2026-05-06 16:21:14,SHARED_EXPORTER_LABEL
2026-05-06,2026-05-06 10:35:33,2026-05-06 10:35:34,V1A,SimV1A - Kalman Fader 2,KalmanPulse Fader Mode A+,KalmanPulse_Fader_B,KalmanPulse Fader Mode A+,KalmanPulse_Fader_B,KalmanPulse_Fader,,Kalman Fade Mode A+,Middle 3,C:\Users\Valued Customer\NT8_Regimes\V1B\TradeLog\KalmanPulse_Fader_B_TradeLog.csv,B,NQ,NQ JUN26,SHORT,2,28487.25,28488.5,-45.0,-45.0,-9.0,LOSS,ENVELOPE_BREAK_EXIT,28490.75,140.0,ROTATION_LIQUID,ROTATION,Transition,POST_IB_MACRO,70,TWO_SIDED_CONFIRMED,0,TRANSITION,0.02,-0.32,-0.32,2,-60.0,2026-05-06 16:21:14,SHARED_EXPORTER_LABEL
2026-05-06,2026-05-06 10:38:00,2026-05-06 10:40:00,V1A,SimV1A - Kalman Fader 2,KalmanPulse Fader Mode A+,KalmanPulse_Fader_B,KalmanPulse Fader Mode A+,KalmanPulse_Fader_B,KalmanPulse_Fader,,Kalman Fade Mode A+,Middle 3,C:\Users\Valued Customer\NT8_Regimes\V1B\TradeLog\KalmanPulse_Fader_B_TradeLog.csv,B,NQ,NQ JUN26,SHORT,2,28488.5,28492.5,-160.0,-160.0,-32.0,LOSS,ENVELOPE_BREAK_EXIT,28535.75,1890.0,ROTATION_LIQUID,ROTATION,Transition,POST_IB_MACRO,70,TWO_SIDED_CONFIRMED,0,TRANSITION,2.0,-0.08,-0.08,3,-220.0,2026-05-06 16:21:14,SHARED_EXPORTER_LABEL
2026-05-06,2026-05-06 10:56:26,2026-05-06 10:57:00,V1A,SimV1A - Kalman Fader 2,KalmanPulse_Fader,Kalman Fade Mode A+,,NQ_ADX_C,KalmanPulse_Fader,,Kalman Fade Mode A+,Middle 3,C:\Users\Valued Customer\NT8_Regimes\V3D\TradeLog\V3D_TradeLog.csv,A+,NQ,NQ JUN26,SHORT,1,28535.25,28537.5,-45.0,-45.0,-9.0,LOSS,ENVELOPE_BREAK_EXIT,,,TRANSITION,TREND,Balance,MID_MORNING_DISCOVERY,0,HIGH_CONFLICT,0,TREND_COMPRESSION,0.57,,,4,-265.0,2026-05-06 16:21:14,SHARED_EXPORTER_LABEL
2026-05-06,2026-05-06 10:56:26,2026-05-06 10:57:00,V1A,SimV1A - Kalman Fader 2,KalmanPulse Fader Mode A+,KalmanPulse_Fader_B,KalmanPulse Fader Mode A+,KalmanPulse_Fader_B,KalmanPulse_Fader,,Kalman Fade Mode A+,Middle 3,C:\Users\Valued Customer\NT8_Regimes\V1B\TradeLog\KalmanPulse_Fader_B_TradeLog.csv,B,NQ,NQ JUN26,SHORT,2,28535.25,28537.75,-95.0,-95.0,-19.0,LOSS,ENVELOPE_BREAK_EXIT,28564.5,1170.0,TRANSITION,TREND,Balance,MID_MORNING_DISCOVERY,0,HIGH_CONFLICT,0,TREND_COMPRESSION,0.57,-0.08,-0.08,5,-360.0,2026-05-06 16:21:14,SHARED_EXPORTER_LABEL
2026-05-06,2026-05-06 12:24:02,2026-05-06 12:24:06,V1A,SimV1A - Kalman Fader 2,KalmanPulse_Fader,Kalman Fade Mode A+,,NQ_ADX_C,KalmanPulse_Fader,,Kalman Fade Mode A+,Middle 3,C:\Users\Valued Customer\NT8_Regimes\V3D\TradeLog\V3D_TradeLog.csv,A+,NQ,NQ JUN26,LONG,1,28576.5,28574.5,-40.0,-40.0,-8.0,LOSS,STOP_HIT,,,ROTATION_LIQUID,ROTATION,Transition,LUNCH_AUCTION,70,TWO_SIDED_CONFIRMED,0,TREND_COMPRESSION,0.07,,,6,-400.0,2026-05-06 16:21:14,SHARED_EXPORTER_LABEL
2026-05-06,2026-05-06 12:24:02,2026-05-06 12:24:06,V1A,SimV1A - Kalman Fader 2,KalmanPulse Fader Mode A+,KalmanPulse_Fader_B,KalmanPulse Fader Mode A+,KalmanPulse_Fader_B,KalmanPulse_Fader,,Kalman Fade Mode A+,Middle 3,C:\Users\Valued Customer\NT8_Regimes\V1B\TradeLog\KalmanPulse_Fader_B_TradeLog.csv,B,NQ,NQ JUN26,LONG,2,28576.5,28574.5,-80.0,-80.0,-16.0,LOSS,STOP_HIT,28574.5,80.0,ROTATION_LIQUID,ROTATION,Transition,LUNCH_AUCTION,70,TWO_SIDED_CONFIRMED,0,TREND_COMPRESSION,0.07,-1.0,-1.0,7,-480.0,2026-05-06 16:21:14,SHARED_EXPORTER_LABEL
2026-05-06,2026-05-06 12:39:00,2026-05-06 12:41:00,V1A,SimV1A - Kalman Fader 2,KalmanPulse Fader Mode A+,KalmanPulse_Fader_B,KalmanPulse Fader Mode A+,KalmanPulse_Fader_B,KalmanPulse_Fader,,Kalman Fade Mode A+,Middle 3,C:\Users\Valued Customer\NT8_Regimes\V1B\TradeLog\KalmanPulse_Fader_B_TradeLog.csv,B,NQ,NQ JUN26,LONG,2,28563.25,28576.25,430.0,430.0,86.0,WIN,TARGET_HIT,28554.75,340.0,TREND_EMERGING,TREND,TrendUp,LUNCH_AUCTION,33,EMERGING_SIGNAL,0,TREND_COMPRESSION,2.0,1.26,1.26,8,-50.0,2026-05-06 16:21:14,SHARED_EXPORTER_LABEL
2026-05-06,2026-05-06 12:52:00,2026-05-06 12:52:00,V1A,SimV1A - Kalman Fader 2,KalmanPulse Fader Mode A+,KalmanPulse_Fader_B,KalmanPulse Fader Mode A+,KalmanPulse_Fader_B,KalmanPulse_Fader,,Kalman Fade Mode A+,Middle 3,C:\Users\Valued Customer\NT8_Regimes\V1B\TradeLog\KalmanPulse_Fader_B_TradeLog.csv,B,NQ,NQ JUN26,LONG,2,28553.5,28544.5,-360.0,-360.0,-72.0,LOSS,STOP_HIT,28544.5,360.0,TREND_EMERGING,TREND,TrendUp,LUNCH_AUCTION,33,EMERGING_SIGNAL,0,TREND_COMPRESSION,0.0,-1.0,-1.0,9,-410.0,2026-05-06 16:21:14,SHARED_EXPORTER_LABEL
2026-05-06,2026-05-06 10:35:33,2026-05-06 10:35:34,V1A,SimV1A- Kalman Fader 1,KalmanPulse_Fader_V2,Kalman Fader Mode A,,Kalman Fader Mode A,KalmanPulse_Fader_V2,,Kalman Fader Mode A,Middle 3,C:\Users\Valued Customer\NT8_Regimes\V1A\TradeLog\V1A_TradeLog.csv,A,NQ,NQ JUN26,SHORT,1,28487.5,28487.25,5.0,5.0,1.0,WIN,ENVELOPE_BREAK_EXIT,,,ROTATION_LIQUID,ROTATION,Transition,POST_IB_MACRO,70,TWO_SIDED_CONFIRMED,0,TRANSITION,0.02,,,1,5.0,2026-05-06 16:21:14,OK
2026-05-06,2026-05-06 10:36:11,2026-05-06 10:36:11,V1A,SimV1A- Kalman Fader 1,KalmanPulse_Fader_V2,Kalman Fader Mode A,,Kalman Fader Mode A,KalmanPulse_Fader_V2,,Kalman Fader Mode A,Middle 3,C:\Users\Valued Customer\NT8_Regimes\V1A\TradeLog\V1A_TradeLog.csv,A,NQ,NQ JUN26,SHORT,1,28491.75,28492.5,-15.0,-15.0,-3.0,LOSS,ENVELOPE_BREAK_EXIT,,,ROTATION_LIQUID,ROTATION,Transition,POST_IB_MACRO,70,TWO_SIDED_CONFIRMED,0,TRANSITION,0.0,,,2,-10.0,2026-05-06 16:21:14,OK
