trade_date,entry_time,exit_time,model_version,account,strategy_name,bot_name,ab_mode,symbol,instrument,direction,contracts,entry_price,exit_price,gross_pnl,net_pnl,ticks,win_loss,exit_reason,initial_stop_price,initial_stop_distance,export_timestamp
2026-05-01,2026-05-01 10:35:39,2026-05-01 10:35:57,V1A,SimV1A- Kalman Fader 1,KalmanPulse_Fader,KalmanPulse_Fader_A,A,NQ,NQ JUN26,SHORT,12,27815.25,27806.75,1560.00,1560.00,312.0,WIN,TARGET_HIT,27821.50,1500.00,2026-05-04 09:21:10
2026-05-01,2026-05-01 10:38:11,2026-05-01 10:38:23,V1A,SimV1A- Kalman Fader 1,KalmanPulse_Fader,KalmanPulse_Fader_A,A,NQ,NQ JUN26,SHORT,12,27765.75,27768.50,-660.00,-660.00,-132.0,LOSS,ENVELOPE_BREAK_EXIT,27772.00,1500.00,2026-05-04 09:21:10
2026-05-01,2026-05-01 10:38:24,2026-05-01 10:38:29,V1A,SimV1A- Kalman Fader 1,KalmanPulse_Fader,KalmanPulse_Fader_A,A,NQ,NQ JUN26,SHORT,12,27766.00,27769.25,-780.00,-780.00,-156.0,LOSS,ENVELOPE_BREAK_EXIT,27772.25,1500.00,2026-05-04 09:21:10
2026-05-01,2026-05-01 10:41:00,2026-05-01 10:41:19,V1A,SimV1A- Kalman Fader 1,KalmanPulse_Fader,KalmanPulse_Fader_A,A,NQ,NQ JUN26,SHORT,12,27796.50,27790.25,1050.00,1050.00,210.0,WIN,TARGET_HIT,27802.75,1500.00,2026-05-04 09:21:10
2026-05-01,2026-05-01 10:42:01,2026-05-01 10:42:05,V1A,SimV1A- Kalman Fader 1,KalmanPulse_Fader,KalmanPulse_Fader_A,A,NQ,NQ JUN26,LONG,12,27786.25,27782.75,-840.00,-840.00,-168.0,LOSS,ENVELOPE_BREAK_EXIT,27780.00,1500.00,2026-05-04 09:21:10
2026-05-01,2026-05-01 10:45:56,2026-05-01 10:46:00,V1A,SimV1A- Kalman Fader 1,KalmanPulse_Fader,KalmanPulse_Fader_A,A,NQ,NQ JUN26,SHORT,12,27820.75,27823.50,-660.00,-660.00,-132.0,LOSS,ENVELOPE_BREAK_EXIT,27827.00,1500.00,2026-05-04 09:21:10
2026-05-01,2026-05-01 10:47:26,2026-05-01 10:47:30,V1A,SimV1A- Kalman Fader 1,KalmanPulse_Fader,KalmanPulse_Fader_A,A,NQ,NQ JUN26,SHORT,12,27833.50,27836.00,-600.00,-600.00,-120.0,LOSS,ENVELOPE_BREAK_EXIT,27839.75,1500.00,2026-05-04 09:21:10
2026-05-01,2026-05-01 10:47:33,2026-05-01 10:47:42,V1A,SimV1A- Kalman Fader 1,KalmanPulse_Fader,KalmanPulse_Fader_A,A,NQ,NQ JUN26,SHORT,12,27833.25,27832.25,660.00,660.00,132.0,WIN,STOP_HIT,27839.50,1500.00,2026-05-04 09:21:10
2026-05-01,2026-05-01 10:48:14,2026-05-01 10:48:15,V1A,SimV1A- Kalman Fader 1,KalmanPulse_Fader,KalmanPulse_Fader_A,A,NQ,NQ JUN26,SHORT,12,27832.25,27834.50,-540.00,-540.00,-108.0,LOSS,ENVELOPE_BREAK_EXIT,27838.50,1500.00,2026-05-04 09:21:10
2026-05-01,2026-05-01 10:48:17,2026-05-01 10:48:26,V1A,SimV1A- Kalman Fader 1,KalmanPulse_Fader,KalmanPulse_Fader_A,A,NQ,NQ JUN26,SHORT,12,27832.00,27821.75,1920.00,1920.00,384.0,WIN,TARGET_HIT,27838.25,1500.00,2026-05-04 09:21:10
2026-05-01,2026-05-01 10:48:36,2026-05-01 10:48:59,V1A,SimV1A- Kalman Fader 1,KalmanPulse_Fader,KalmanPulse_Fader_A,A,NQ,NQ JUN26,LONG,12,27820.50,27830.25,1830.00,1830.00,366.0,WIN,TARGET_HIT,27814.25,1500.00,2026-05-04 09:21:10
2026-05-01,2026-05-01 10:51:27,2026-05-01 10:51:41,V1A,SimV1A- Kalman Fader 1,KalmanPulse_Fader,KalmanPulse_Fader_A,A,NQ,NQ JUN26,SHORT,12,27804.75,27806.25,-360.00,-360.00,-72.0,LOSS,ENVELOPE_BREAK_EXIT,27811.00,1500.00,2026-05-04 09:21:10
2026-05-01,2026-05-01 10:52:56,2026-05-01 10:53:07,V1A,SimV1A- Kalman Fader 1,KalmanPulse_Fader,KalmanPulse_Fader_A,A,NQ,NQ JUN26,SHORT,12,27830.25,27829.25,660.00,660.00,132.0,WIN,STOP_HIT,27836.50,1500.00,2026-05-04 09:21:10
