trade_date,entry_time,exit_time,symbol,bot_name,model_version,direction,contracts,entry_price,exit_price,gross_pnl,net_pnl,ticks,win_loss,exit_reason,entry_regime,entry_macro,entry_hmm,entry_direction,entry_confidence,entry_conflict,entry_phase,entry_state_age,exit_regime,exit_macro,exit_hmm,exit_confidence,entry_size_pct,entry_velocity,entry_reason_code,account,instrument,notes
2026-05-01,2026-05-01 10:35:01,2026-05-01 10:35:01,NQ,Kalman Fader Mode A,V1A,SHORT,1,27811.00,27812.25,-25.00,-25.00,-5.0,LOSS,EnvelopeBreakExit,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,0,0,UNAVAILABLE,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,0,0,0,UNAVAILABLE,SimV1A- Kalman Fader 1,NQ JUN26,fade
2026-05-01,2026-05-01 10:35:02,2026-05-01 10:35:02,NQ,Kalman Fader Mode A,V1A,SHORT,1,27812.00,27814.75,-55.00,-55.00,-11.0,LOSS,EnvelopeBreakExit,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,0,0,UNAVAILABLE,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,0,0,0,UNAVAILABLE,SimV1A- Kalman Fader 1,NQ JUN26,fade
2026-05-04,2026-05-04 10:35:01,2026-05-04 10:35:01,NQ,Kalman Fader Mode A,V1A,LONG,7,27889.75,27888.75,-140.00,-140.00,-4.0,LOSS,EnvelopeBreakExit,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,0,0,UNAVAILABLE,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,0,0,0,UNAVAILABLE,SimV1A- Kalman Fader 1,NQ JUN26,fade
2026-05-04,2026-05-04 10:35:14,2026-05-04 10:35:14,NQ,Kalman Fader Mode A,V1A,SHORT,14,27894.75,27896.50,-490.00,-490.00,-7.0,LOSS,EnvelopeBreakExit,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,0,0,UNAVAILABLE,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,0,0,0,UNAVAILABLE,SimV1A- Kalman Fader 1,NQ JUN26,fade
2026-05-04,2026-05-04 10:35:18,2026-05-04 10:35:23,NQ,Kalman Fader Mode A,V1A,SHORT,12,27894.50,27892.75,420.00,420.00,7.0,WIN,TARGET_HIT,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,0,0,UNAVAILABLE,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,0,0,0,UNAVAILABLE,SimV1A- Kalman Fader 1,NQ JUN26,fade
2026-05-04,2026-05-04 10:35:29,2026-05-04 10:35:35,NQ,Kalman Fader Mode A,V1A,SHORT,9,27894.75,27892.50,405.00,405.00,9.0,WIN,TARGET_HIT,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,0,0,UNAVAILABLE,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,0,0,0,UNAVAILABLE,SimV1A- Kalman Fader 1,NQ JUN26,fade
2026-05-04,2026-05-04 10:35:42,2026-05-04 10:35:43,NQ,Kalman Fader Mode A,V1A,LONG,5,27889.50,27887.50,-200.00,-200.00,-8.0,LOSS,EnvelopeBreakExit,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,0,0,UNAVAILABLE,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,0,0,0,UNAVAILABLE,SimV1A- Kalman Fader 1,NQ JUN26,fade
2026-05-04,2026-05-04 10:35:46,2026-05-04 10:35:57,NQ,Kalman Fader Mode A,V1A,LONG,6,27888.75,27888.00,-90.00,-90.00,-3.0,LOSS,EnvelopeBreakExit,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,0,0,UNAVAILABLE,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,0,0,0,UNAVAILABLE,SimV1A- Kalman Fader 1,NQ JUN26,fade
2026-05-04,2026-05-04 10:36:07,2026-05-04 10:36:15,NQ,Kalman Fader Mode A,V1A,LONG,7,27888.50,27886.25,-315.00,-315.00,-9.0,LOSS,EnvelopeBreakExit,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,0,0,UNAVAILABLE,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,0,0,0,UNAVAILABLE,SimV1A- Kalman Fader 1,NQ JUN26,fade
2026-05-04,2026-05-04 10:36:44,2026-05-04 10:36:45,NQ,Kalman Fader Mode A,V1A,LONG,6,27885.25,27885.00,-30.00,-30.00,-1.0,LOSS,EnvelopeBreakExit,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,0,0,UNAVAILABLE,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,0,0,0,UNAVAILABLE,SimV1A- Kalman Fader 1,NQ JUN26,fade
