trade_date,entry_time,exit_time,model_version,account,strategy_name,bot_name,exported_strategy_name,exported_bot_name,registry_strategy_name,registry_bot_name,registry_tab_name,registry_chart_location,source_file,ab_mode,symbol,instrument,direction,contracts,entry_price,exit_price,gross_pnl,net_pnl,ticks,win_loss,exit_reason,initial_stop_price,initial_stop_distance,entry_regime,entry_macro,entry_hmm,entry_phase,entry_confidence,entry_reason_code,broad_agree,v3c_regime_at_entry,trade_duration_min,r_multiple,risk_reward_actual,session_trade_rank,daily_pnl_running,export_timestamp,data_quality_flag
2026-05-07,2026-05-07 11:06:00,2026-05-07 11:06:00,V3C,SimMomo1,NQ Momo OG 1m HA 20,OG_MomentumSlope_v1_2,NQ Momo OG 1m HA 20,OG_MomentumSlope_v1_2,MomentumSlopeStrategy v1.2,,Momo 1mHA OG,Bottom Middle,C:\Users\Valued Customer\NT8_Regimes\OG\TradeLog\OG_MomentumSlope_v1_2_TradeLog.csv,OG,NQ,NQ JUN26,SHORT,1,28902.0,28888.25,270.64,266.28,53.3,WIN,TARGET_HIT,28913.75,235.0,TREND_COMPRESSION,BRACKET_MACRO,TrendUp,POST_IB_MACRO,74.0,DEVELOPING_INITIATIVE_PHASE_AWARE,0.0,TREND_COMPRESSION,0.0,1.13,1.13,1,266.28,2026-05-07 16:22:27,OK
2026-05-07,2026-05-07 11:06:00,2026-05-07 11:06:00,V3C,SimMomo1,NQ Momo OG 1m HA 20,OG_MomentumSlope_v1_2,NQ Momo OG 1m HA 20,OG_MomentumSlope_v1_2,MomentumSlopeStrategy v1.2,,Momo 1mHA OG,Bottom Middle,C:\Users\Valued Customer\NT8_Regimes\OG\TradeLog\OG_MomentumSlope_v1_2_TradeLog.csv,OG,NQ,NQ JUN26,SHORT,1,28903.75,28888.75,295.64,291.28,58.3,WIN,TARGET_HIT,28917.25,270.0,TREND_COMPRESSION,BRACKET_MACRO,TrendUp,POST_IB_MACRO,74.0,DEVELOPING_INITIATIVE_PHASE_AWARE,0.0,TREND_COMPRESSION,0.0,1.08,1.08,2,557.56,2026-05-07 16:22:27,OK
2026-05-07,2026-05-07 11:34:00,2026-05-07 11:38:00,V3C,SimMomo1,NQ Momo OG 1m HA 20,OG_MomentumSlope_v1_2,NQ Momo OG 1m HA 20,OG_MomentumSlope_v1_2,MomentumSlopeStrategy v1.2,,Momo 1mHA OG,Bottom Middle,C:\Users\Valued Customer\NT8_Regimes\OG\TradeLog\OG_MomentumSlope_v1_2_TradeLog.csv,OG,NQ,NQ JUN26,LONG,1,28877.75,28882.75,95.64,91.28,18.3,WIN,SLOPE_EXIT,28867.5,205.0,TREND_COMPRESSION,BRACKET_MACRO,TrendUp,MID_MORNING_DISCOVERY,66.0,MICRO_TREND_INSIDE_MACRO_STRUCTURE,0.0,TREND_COMPRESSION,4.0,0.45,0.45,3,648.84,2026-05-07 16:22:27,OK
2026-05-07,2026-05-07 11:35:00,2026-05-07 11:39:00,V3C,SimMomo1,NQ Momo OG 1m HA 20,OG_MomentumSlope_v1_2,NQ Momo OG 1m HA 20,OG_MomentumSlope_v1_2,MomentumSlopeStrategy v1.2,,Momo 1mHA OG,Bottom Middle,C:\Users\Valued Customer\NT8_Regimes\OG\TradeLog\OG_MomentumSlope_v1_2_TradeLog.csv,OG,NQ,NQ JUN26,LONG,1,28879.75,28884.75,95.64,91.28,18.3,WIN,SLOPE_EXIT,28866.5,265.0,TREND_COMPRESSION,BRACKET_MACRO,TrendUp,MID_MORNING_DISCOVERY,66.0,MICRO_TREND_INSIDE_MACRO_STRUCTURE,0.0,TREND_COMPRESSION,4.0,0.34,0.34,4,740.12,2026-05-07 16:22:27,OK
2026-05-07,2026-05-07 12:34:00,2026-05-07 12:38:00,V3C,SimMomo1,NQ Momo OG 1m HA 20,OG_MomentumSlope_v1_2,NQ Momo OG 1m HA 20,OG_MomentumSlope_v1_2,MomentumSlopeStrategy v1.2,,Momo 1mHA OG,Bottom Middle,C:\Users\Valued Customer\NT8_Regimes\OG\TradeLog\OG_MomentumSlope_v1_2_TradeLog.csv,OG,NQ,NQ JUN26,LONG,1,28750.5,28756.75,120.64,116.28,23.3,WIN,SLOPE_EXIT,28739.5,220.0,TRANSITION,BRACKET_MACRO,TrendUp,LUNCH_AUCTION,55.0,HIGH_CONFLICT_STAGE_A_B_OR_PRICE_ACTION,0.0,TRANSITION,4.0,0.53,0.53,5,856.4,2026-05-07 16:22:27,OK
2026-05-07,2026-05-07 12:34:00,2026-05-07 12:34:00,V3C,SimMomo1,NQ Momo OG 1m HA 20,OG_MomentumSlope_v1_2,NQ Momo OG 1m HA 20,OG_MomentumSlope_v1_2,MomentumSlopeStrategy v1.2,,Momo 1mHA OG,Bottom Middle,C:\Users\Valued Customer\NT8_Regimes\OG\TradeLog\OG_MomentumSlope_v1_2_TradeLog.csv,OG,NQ,NQ JUN26,LONG,1,28745.5,28769.25,470.64,466.28,93.3,WIN,TARGET_HIT,28728.25,345.0,TRANSITION,BRACKET_MACRO,TrendUp,LUNCH_AUCTION,55.0,HIGH_CONFLICT_STAGE_A_B_OR_PRICE_ACTION,0.0,TRANSITION,0.0,1.35,1.35,6,1322.68,2026-05-07 16:22:27,OK
2026-05-07,2026-05-07 12:40:00,2026-05-07 12:40:00,V3C,SimMomo1,NQ Momo OG 1m HA 20,OG_MomentumSlope_v1_2,NQ Momo OG 1m HA 20,OG_MomentumSlope_v1_2,MomentumSlopeStrategy v1.2,,Momo 1mHA OG,Bottom Middle,C:\Users\Valued Customer\NT8_Regimes\OG\TradeLog\OG_MomentumSlope_v1_2_TradeLog.csv,OG,NQ,NQ JUN26,SHORT,1,28743.0,28716.75,520.64,516.28,103.3,WIN,TARGET_HIT,28751.5,170.0,TRANSITION,MEAN_REVERSION_MACRO,TrendDown,LUNCH_AUCTION,55.0,HIGH_CONFLICT_STAGE_A_B_OR_PRICE_ACTION,0.0,TRANSITION,0.0,3.04,3.04,7,1838.96,2026-05-07 16:22:27,OK
2026-05-07,2026-05-07 12:40:00,2026-05-07 12:40:00,V3C,SimMomo1,NQ Momo OG 1m HA 20,OG_MomentumSlope_v1_2,NQ Momo OG 1m HA 20,OG_MomentumSlope_v1_2,MomentumSlopeStrategy v1.2,,Momo 1mHA OG,Bottom Middle,C:\Users\Valued Customer\NT8_Regimes\OG\TradeLog\OG_MomentumSlope_v1_2_TradeLog.csv,OG,NQ,NQ JUN26,SHORT,1,28748.25,28725.0,460.64,456.28,91.3,WIN,TARGET_HIT,28763.25,300.0,TRANSITION,MEAN_REVERSION_MACRO,TrendDown,LUNCH_AUCTION,55.0,HIGH_CONFLICT_STAGE_A_B_OR_PRICE_ACTION,0.0,TRANSITION,0.0,1.52,1.52,8,2295.24,2026-05-07 16:22:27,OK
2026-05-07,2026-05-07 13:39:00,2026-05-07 13:43:00,V3C,SimMomo1,NQ Momo OG 1m HA 20,OG_MomentumSlope_v1_2,NQ Momo OG 1m HA 20,OG_MomentumSlope_v1_2,MomentumSlopeStrategy v1.2,,Momo 1mHA OG,Bottom Middle,C:\Users\Valued Customer\NT8_Regimes\OG\TradeLog\OG_MomentumSlope_v1_2_TradeLog.csv,OG,NQ,NQ JUN26,LONG,1,28658.25,28670.5,240.64,236.28,47.3,WIN,SLOPE_EXIT,28639.75,370.0,TREND_COMPRESSION,BRACKET_MACRO,TrendDown,POST_LUNCH_ROTATION,77.0,BRACKET_MACRO_WITH_INITIATIVE_EVIDENCE,0.0,TREND_COMPRESSION,4.0,0.64,0.64,9,2531.52,2026-05-07 16:22:27,OK
2026-05-07,2026-05-07 13:40:00,2026-05-07 13:44:00,V3C,SimMomo1,NQ Momo OG 1m HA 20,OG_MomentumSlope_v1_2,NQ Momo OG 1m HA 20,OG_MomentumSlope_v1_2,MomentumSlopeStrategy v1.2,,Momo 1mHA OG,Bottom Middle,C:\Users\Valued Customer\NT8_Regimes\OG\TradeLog\OG_MomentumSlope_v1_2_TradeLog.csv,OG,NQ,NQ JUN26,LONG,1,28659.25,28667.75,165.64,161.28,32.3,WIN,SLOPE_EXIT,28634.75,490.0,TREND_COMPRESSION,BRACKET_MACRO,TrendDown,POST_LUNCH_ROTATION,77.0,BRACKET_MACRO_WITH_INITIATIVE_EVIDENCE,0.0,TREND_COMPRESSION,4.0,0.33,0.33,10,2692.8,2026-05-07 16:22:27,OK
2026-05-07,2026-05-07 13:43:03,2026-05-07 13:45:00,V3C,SimMomo1,NQ Momo OG 1m HA 20,OG_MomentumSlope_v1_2,NQ Momo OG 1m HA 20,OG_MomentumSlope_v1_2,MomentumSlopeStrategy v1.2,,Momo 1mHA OG,Bottom Middle,C:\Users\Valued Customer\NT8_Regimes\OG\TradeLog\OG_MomentumSlope_v1_2_TradeLog.csv,OG,NQ,NQ JUN26,SHORT,1,28649.25,28644.5,90.64,86.28,17.3,WIN,SLOPE_EXIT,28674.25,500.0,TREND_COMPRESSION,BRACKET_MACRO,TrendDown,POST_LUNCH_ROTATION,77.0,BRACKET_MACRO_WITH_INITIATIVE_EVIDENCE,0.0,TREND_COMPRESSION,1.95,0.17,0.17,11,2779.08,2026-05-07 16:22:27,OK
