trade_date,entry_time,exit_time,model_version,account,strategy_name,bot_name,ab_mode,symbol,instrument,direction,contracts,entry_price,exit_price,gross_pnl,net_pnl,ticks,win_loss,exit_reason,initial_stop_price,initial_stop_distance,export_timestamp
2026-05-04,2026-05-04 10:05:00,2026-05-04 10:11:00,V3C,SimV3C-NQ-1A,V3_Expansion_Rider_V3C,V3_Expansion_Rider_V3C,N/A,NQ,NQ JUN26,SHORT,1,27884.5000,27854.5000,600.00,600.00,120.0,WIN,Wobble Eject,27911.7500,545.00,2026-05-07 07:28:07
2026-05-04,2026-05-04 10:29:42,2026-05-04 10:32:32,V3C,SimV3C-NQ-1A,V3_Expansion_Rider_V3C,V3_Expansion_Rider_V3C,N/A,NQ,NQ JUN26,SHORT,1,27894.5000,27874.5000,400.00,400.00,80.0,WIN,Wobble Eject,27922.2500,555.00,2026-05-07 07:28:07
2026-05-04,2026-05-04 10:56:37,2026-05-04 11:00:04,V3C,SimV3C-NQ-1A,V3_Expansion_Rider_V3C,V3_Expansion_Rider_V3C,N/A,NQ,NQ JUN26,SHORT,1,27924.5000,27857.0000,1350.00,1350.00,270.0,WIN,Profit target,27952.0000,550.00,2026-05-07 07:28:07
2026-05-04,2026-05-04 11:09:03,2026-05-04 11:17:26,V3C,SimV3C-NQ-1A,V3_Expansion_Rider_V3C,V3_Expansion_Rider_V3C,N/A,NQ,NQ JUN26,SHORT,1,27894.5000,27826.2500,1365.00,1365.00,273.0,WIN,Profit target,27922.7500,565.00,2026-05-07 07:28:07
2026-05-04,2026-05-04 11:24:57,2026-05-04 11:26:22,V3C,SimV3C-NQ-1A,V3_Expansion_Rider_V3C,V3_Expansion_Rider_V3C,N/A,NQ,NQ JUN26,SHORT,1,27744.5000,27734.5000,200.00,200.00,40.0,WIN,Wobble Eject,27772.0000,550.00,2026-05-07 07:28:07
2026-05-04,2026-05-04 11:31:14,2026-05-04 11:33:58,V3C,SimV3C-NQ-1A,V3_Expansion_Rider_V3C,V3_Expansion_Rider_V3C,N/A,NQ,NQ JUN26,SHORT,1,27774.5000,27734.5000,800.00,800.00,160.0,WIN,Wobble Eject,27802.2500,555.00,2026-05-07 07:28:07
2026-05-04,2026-05-04 11:40:40,2026-05-04 11:41:58,V3C,SimV3C-NQ-1A,V3_Expansion_Rider_V3C,V3_Expansion_Rider_V3C,N/A,NQ,NQ JUN26,SHORT,1,27724.5000,27714.5000,200.00,200.00,40.0,WIN,Wobble Eject,27752.5000,560.00,2026-05-07 07:28:07
2026-05-04,2026-05-04 11:48:02,2026-05-04 11:52:32,V3C,SimV3C-NQ-1A,V3_Expansion_Rider_V3C,V3_Expansion_Rider_V3C,N/A,NQ,NQ JUN26,SHORT,1,27754.5000,27714.5000,800.00,800.00,160.0,WIN,Wobble Eject,27782.7500,565.00,2026-05-07 07:28:07
2026-05-04,2026-05-04 12:07:52,2026-05-04 12:08:00,V3C,SimV3C-NQ-1A,V3_Expansion_Rider_V3C,V3_Expansion_Rider_V3C,N/A,NQ,NQ JUN26,SHORT,1,27704.5000,27636.2500,1365.00,1365.00,273.0,WIN,Profit target,27732.7500,565.00,2026-05-07 07:28:07
2026-05-04,2026-05-04 12:09:08,2026-05-04 12:09:44,V3C,SimV3C-NQ-1A,V3_Expansion_Rider_V3C,V3_Expansion_Rider_V3C,N/A,NQ,NQ JUN26,SHORT,1,27654.5000,27644.5000,200.00,200.00,40.0,WIN,Wobble Eject,27681.0000,530.00,2026-05-07 07:28:07
