trade_date,entry_time,exit_time,model_version,account,strategy_name,bot_name,ab_mode,symbol,instrument,direction,contracts,entry_price,exit_price,gross_pnl,net_pnl,ticks,win_loss,exit_reason,initial_stop_price,initial_stop_distance,export_timestamp
2026-05-05,2026-05-05 12:00:06,2026-05-05 12:00:06,V3C,SimV3C-NQ-2B,NQ V3C Compression Clean B,NQ V3C Compression Clean B,N/A,NQ,NQ JUN26,LONG,1,28132.2500,28122.7500,-190.00,-190.00,-38.0,LOSS,Stop loss,28122.7500,190.00,2026-05-05 12:01:11
2026-05-05,2026-05-05 12:28:53,2026-05-05 12:31:30,V3C,SimV3C-NQ-2B,NQ V3C Compression Clean B,NQ V3C Compression Clean B,N/A,NQ,NQ JUN26,LONG,1,28113.7500,28104.2500,-190.00,-190.00,-38.0,LOSS,Stop loss,28104.2500,190.00,2026-05-05 12:31:30
2026-05-05,2026-05-05 12:32:50,2026-05-05 12:35:53,V3C,SimV3C-NQ-2B,NQ V3C Compression Clean B,NQ V3C Compression Clean B,N/A,NQ,NQ JUN26,LONG,1,28112.7500,28122.2500,190.00,190.00,38.0,WIN,Profit target,,,2026-05-05 12:35:54
2026-05-05,2026-05-05 12:45:33,2026-05-05 12:47:12,V3C,SimV3C-NQ-2B,NQ V3C Compression Clean B,NQ V3C Compression Clean B,N/A,NQ,NQ JUN26,LONG,1,28113.0000,28122.5000,190.00,190.00,38.0,WIN,Profit target,,,2026-05-05 12:47:28
2026-05-05,2026-05-05 13:12:11,2026-05-05 13:15:29,V3C,SimV3C-NQ-2B,NQ V3C Compression Clean B,NQ V3C Compression Clean B,N/A,NQ,NQ JUN26,LONG,1,28121.5000,28131.2500,195.00,195.00,39.0,WIN,Profit target,,,2026-05-05 13:18:18
2026-05-01,2026-05-01 09:46:01,2026-05-01 09:46:01,V3C,SimV3C-NQ-2B,NQ V3C Compression Clean B,NQ V3C Compression Clean B,N/A,NQ,NQ JUN26,LONG,1,27764.0000,27773.7500,195.00,195.00,39.0,WIN,Profit target,,,2026-05-06 10:03:06
2026-05-01,2026-05-01 09:47:09,2026-05-01 09:47:09,V3C,SimV3C-NQ-2B,NQ V3C Compression Clean B,NQ V3C Compression Clean B,N/A,NQ,NQ JUN26,LONG,1,27768.0000,27778.0000,200.00,200.00,40.0,WIN,Profit target,,,2026-05-06 10:03:06
2026-05-01,2026-05-01 09:48:03,2026-05-01 09:48:03,V3C,SimV3C-NQ-2B,NQ V3C Compression Clean B,NQ V3C Compression Clean B,N/A,NQ,NQ JUN26,LONG,1,27760.0000,27769.7500,195.00,195.00,39.0,WIN,Profit target,,,2026-05-06 10:03:06
2026-05-01,2026-05-01 09:50:40,2026-05-01 09:50:40,V3C,SimV3C-NQ-2B,NQ V3C Compression Clean B,NQ V3C Compression Clean B,N/A,NQ,NQ JUN26,LONG,1,27768.0000,27777.7500,195.00,195.00,39.0,WIN,Profit target,,,2026-05-06 10:03:06
2026-05-01,2026-05-01 09:50:40,2026-05-01 09:50:40,V3C,SimV3C-NQ-2B,NQ V3C Compression Clean B,NQ V3C Compression Clean B,N/A,NQ,NQ JUN26,LONG,1,27772.0000,27781.7500,195.00,195.00,39.0,WIN,Profit target,,,2026-05-06 10:03:06
2026-05-01,2026-05-01 09:52:15,2026-05-01 09:52:15,V3C,SimV3C-NQ-2B,NQ V3C Compression Clean B,NQ V3C Compression Clean B,N/A,NQ,NQ JUN26,LONG,1,27784.0000,27793.5000,190.00,190.00,38.0,WIN,Profit target,,,2026-05-06 10:03:06
2026-05-01,2026-05-01 09:54:15,2026-05-01 09:54:15,V3C,SimV3C-NQ-2B,NQ V3C Compression Clean B,NQ V3C Compression Clean B,N/A,NQ,NQ JUN26,LONG,1,27784.0000,27793.5000,190.00,190.00,38.0,WIN,Profit target,,,2026-05-06 10:03:06
2026-05-01,2026-05-01 09:55:16,2026-05-01 09:55:16,V3C,SimV3C-NQ-2B,NQ V3C Compression Clean B,NQ V3C Compression Clean B,N/A,NQ,NQ JUN26,LONG,1,27796.0000,27805.7500,195.00,195.00,39.0,WIN,Profit target,,,2026-05-06 10:03:06
2026-05-01,2026-05-01 10:00:30,2026-05-01 10:00:30,V3C,SimV3C-NQ-2B,NQ V3C Compression Clean B,NQ V3C Compression Clean B,N/A,NQ,NQ JUN26,LONG,1,27860.0000,27869.5000,190.00,190.00,38.0,WIN,Profit target,,,2026-05-06 10:03:06
2026-05-01,2026-05-01 10:06:20,2026-05-01 10:06:20,V3C,SimV3C-NQ-2B,NQ V3C Compression Clean B,NQ V3C Compression Clean B,N/A,NQ,NQ JUN26,LONG,1,27868.0000,27877.7500,195.00,195.00,39.0,WIN,Profit target,,,2026-05-06 10:03:06
2026-05-01,2026-05-01 10:09:51,2026-05-01 10:09:51,V3C,SimV3C-NQ-2B,NQ V3C Compression Clean B,NQ V3C Compression Clean B,N/A,NQ,NQ JUN26,LONG,1,27876.0000,27886.0000,200.00,200.00,40.0,WIN,Profit target,,,2026-05-06 10:03:06
2026-05-01,2026-05-01 10:11:43,2026-05-01 10:11:43,V3C,SimV3C-NQ-2B,NQ V3C Compression Clean B,NQ V3C Compression Clean B,N/A,NQ,NQ JUN26,LONG,1,27872.0000,27882.0000,200.00,200.00,40.0,WIN,Profit target,,,2026-05-06 10:03:06
2026-05-01,2026-05-01 10:12:23,2026-05-01 10:12:23,V3C,SimV3C-NQ-2B,NQ V3C Compression Clean B,NQ V3C Compression Clean B,N/A,NQ,NQ JUN26,LONG,1,27876.0000,27885.7500,195.00,195.00,39.0,WIN,Profit target,,,2026-05-06 10:03:06
2026-05-01,2026-05-01 10:16:39,2026-05-01 10:18:00,V3C,SimV3C-NQ-2B,NQ V3C Compression Clean B,NQ V3C Compression Clean B,N/A,NQ,NQ JUN26,LONG,1,27880.0000,27870.7500,-185.00,-185.00,-37.0,LOSS,Stop loss,,,2026-05-06 10:03:06
2026-05-01,2026-05-01 10:19:26,2026-05-01 10:19:26,V3C,SimV3C-NQ-2B,NQ V3C Compression Clean B,NQ V3C Compression Clean B,N/A,NQ,NQ JUN26,LONG,1,27868.0000,27877.2500,185.00,185.00,37.0,WIN,Profit target,,,2026-05-06 10:03:06
2026-05-01,2026-05-01 10:25:40,2026-05-01 10:29:28,V3C,SimV3C-NQ-2B,NQ V3C Compression Clean B,NQ V3C Compression Clean B,N/A,NQ,NQ JUN26,LONG,1,27880.0000,27870.5000,-190.00,-190.00,-38.0,LOSS,Stop loss,,,2026-05-06 10:03:06
2026-05-01,2026-05-01 10:32:03,2026-05-01 10:32:12,V3C,SimV3C-NQ-2B,NQ V3C Compression Clean B,NQ V3C Compression Clean B,N/A,NQ,NQ JUN26,LONG,1,27848.0000,27838.5000,-190.00,-190.00,-38.0,LOSS,Stop loss,,,2026-05-06 10:03:06
2026-05-01,2026-05-01 10:33:31,2026-05-01 10:33:31,V3C,SimV3C-NQ-2B,NQ V3C Compression Clean B,NQ V3C Compression Clean B,N/A,NQ,NQ JUN26,LONG,1,27836.0000,27845.2500,185.00,185.00,37.0,WIN,Profit target,,,2026-05-06 10:03:06
2026-05-01,2026-05-01 10:38:30,2026-05-01 10:38:30,V3C,SimV3C-NQ-2B,NQ V3C Compression Clean B,NQ V3C Compression Clean B,N/A,NQ,NQ JUN26,LONG,1,27764.0000,27773.2500,185.00,185.00,37.0,WIN,Profit target,,,2026-05-06 10:03:06
2026-05-01,2026-05-01 10:40:36,2026-05-01 10:40:36,V3C,SimV3C-NQ-2B,NQ V3C Compression Clean B,NQ V3C Compression Clean B,N/A,NQ,NQ JUN26,LONG,1,27788.0000,27797.2500,185.00,185.00,37.0,WIN,Profit target,,,2026-05-06 10:03:06
2026-05-01,2026-05-01 10:42:32,2026-05-01 10:42:32,V3C,SimV3C-NQ-2B,NQ V3C Compression Clean B,NQ V3C Compression Clean B,N/A,NQ,NQ JUN26,LONG,1,27784.0000,27793.2500,185.00,185.00,37.0,WIN,Profit target,,,2026-05-06 10:03:06
2026-05-01,2026-05-01 10:51:45,2026-05-01 10:51:45,V3C,SimV3C-NQ-2B,NQ V3C Compression Clean B,NQ V3C Compression Clean B,N/A,NQ,NQ JUN26,LONG,1,27804.0000,27813.5000,190.00,190.00,38.0,WIN,Profit target,,,2026-05-06 10:03:06
2026-05-01,2026-05-01 10:55:08,2026-05-01 10:55:08,V3C,SimV3C-NQ-2B,NQ V3C Compression Clean B,NQ V3C Compression Clean B,N/A,NQ,NQ JUN26,LONG,1,27820.0000,27829.5000,190.00,190.00,38.0,WIN,Profit target,,,2026-05-06 10:03:06
2026-05-01,2026-05-01 10:59:15,2026-05-01 10:59:15,V3C,SimV3C-NQ-2B,NQ V3C Compression Clean B,NQ V3C Compression Clean B,N/A,NQ,NQ JUN26,LONG,1,27820.0000,27829.5000,190.00,190.00,38.0,WIN,Profit target,,,2026-05-06 10:03:06
2026-05-01,2026-05-01 11:03:05,2026-05-01 11:03:05,V3C,SimV3C-NQ-2B,NQ V3C Compression Clean B,NQ V3C Compression Clean B,N/A,NQ,NQ JUN26,LONG,1,27784.0000,27793.5000,190.00,190.00,38.0,WIN,Profit target,,,2026-05-06 10:03:06
2026-05-01,2026-05-01 11:04:32,2026-05-01 11:04:32,V3C,SimV3C-NQ-2B,NQ V3C Compression Clean B,NQ V3C Compression Clean B,N/A,NQ,NQ JUN26,LONG,1,27784.0000,27793.5000,190.00,190.00,38.0,WIN,Profit target,,,2026-05-06 10:03:06
2026-05-01,2026-05-01 11:05:53,2026-05-01 11:05:53,V3C,SimV3C-NQ-2B,NQ V3C Compression Clean B,NQ V3C Compression Clean B,N/A,NQ,NQ JUN26,LONG,1,27788.0000,27797.5000,190.00,190.00,38.0,WIN,Profit target,,,2026-05-06 10:03:06
2026-05-01,2026-05-01 11:08:10,2026-05-01 11:08:10,V3C,SimV3C-NQ-2B,NQ V3C Compression Clean B,NQ V3C Compression Clean B,N/A,NQ,NQ JUN26,LONG,1,27788.0000,27797.7500,195.00,195.00,39.0,WIN,Profit target,,,2026-05-06 10:03:06
2026-05-01,2026-05-01 11:11:10,2026-05-01 11:11:10,V3C,SimV3C-NQ-2B,NQ V3C Compression Clean B,NQ V3C Compression Clean B,N/A,NQ,NQ JUN26,LONG,1,27796.0000,27805.7500,195.00,195.00,39.0,WIN,Profit target,,,2026-05-06 10:03:06
2026-05-01,2026-05-01 11:50:32,2026-05-01 11:50:32,V3C,SimV3C-NQ-2B,NQ V3C Compression Clean B,NQ V3C Compression Clean B,N/A,NQ,NQ JUN26,LONG,1,27880.0000,27889.5000,190.00,190.00,38.0,WIN,Profit target,,,2026-05-06 10:03:06
2026-05-01,2026-05-01 11:50:43,2026-05-01 11:50:43,V3C,SimV3C-NQ-2B,NQ V3C Compression Clean B,NQ V3C Compression Clean B,N/A,NQ,NQ JUN26,LONG,1,27852.0000,27861.5000,190.00,190.00,38.0,WIN,Profit target,,,2026-05-06 10:03:06
2026-05-01,2026-05-01 11:50:49,2026-05-01 11:50:49,V3C,SimV3C-NQ-2B,NQ V3C Compression Clean B,NQ V3C Compression Clean B,N/A,NQ,NQ JUN26,LONG,1,27856.0000,27865.7500,195.00,195.00,39.0,WIN,Profit target,,,2026-05-06 10:03:06
2026-05-01,2026-05-01 11:52:37,2026-05-01 11:54:29,V3C,SimV3C-NQ-2B,NQ V3C Compression Clean B,NQ V3C Compression Clean B,N/A,NQ,NQ JUN26,LONG,1,27872.0000,27881.7500,195.00,195.00,39.0,WIN,Profit target,,,2026-05-06 10:03:06
