trade_date,entry_time,exit_time,model_version,account,strategy_name,bot_name,ab_mode,symbol,instrument,direction,contracts,entry_price,exit_price,gross_pnl,net_pnl,ticks,win_loss,exit_reason,initial_stop_price,initial_stop_distance,export_timestamp
2026-05-05,2026-05-05 12:36:29,2026-05-05 12:36:29,V3C,SimV3C-NQ-2C,NQ V3C Compression Sniper C 20-40-60,NQ V3C Compression Sniper C 20-40-60,N/A,NQ,NQ JUN26,LONG,1,28128.7500,28099.5000,-585.00,-585.00,-117.0,LOSS,Stop loss,28099.5000,585.00,2026-05-05 12:39:46
2026-05-05,2026-05-05 12:47:55,2026-05-05 13:51:40,V3C,SimV3C-NQ-2C,NQ V3C Compression Sniper C 20-40-60,NQ V3C Compression Sniper C 20-40-60,N/A,NQ,NQ JUN26,LONG,1,28129.0000,28161.5000,650.00,650.00,130.0,WIN,Profit target,,,2026-05-05 13:51:40
2026-05-01,2026-05-01 10:39:00,2026-05-01 10:39:29,V3C,SimV3C-NQ-2C,NQ V3C Compression Sniper C 20-40-60,NQ V3C Compression Sniper C 20-40-60,N/A,NQ,NQ JUN26,LONG,1,27772.0000,27802.7500,615.00,615.00,123.0,WIN,Profit target,,,2026-05-06 10:03:07
2026-05-01,2026-05-01 10:52:02,2026-05-01 10:56:04,V3C,SimV3C-NQ-2C,NQ V3C Compression Sniper C 20-40-60,NQ V3C Compression Sniper C 20-40-60,N/A,NQ,NQ JUN26,LONG,1,27812.0000,27843.5000,630.00,630.00,126.0,WIN,Profit target,,,2026-05-06 10:03:07
2026-05-01,2026-05-01 11:04:52,2026-05-01 11:11:59,V3C,SimV3C-NQ-2C,NQ V3C Compression Sniper C 20-40-60,NQ V3C Compression Sniper C 20-40-60,N/A,NQ,NQ JUN26,LONG,1,27782.0000,27813.2500,625.00,625.00,125.0,WIN,Profit target,,,2026-05-06 10:03:07
2026-05-01,2026-05-01 11:50:59,2026-05-01 11:51:39,V3C,SimV3C-NQ-2C,NQ V3C Compression Sniper C 20-40-60,NQ V3C Compression Sniper C 20-40-60,N/A,NQ,NQ JUN26,LONG,1,27852.0000,27883.0000,620.00,620.00,124.0,WIN,Profit target,,,2026-05-06 10:03:07
2026-05-01,2026-05-01 12:20:31,2026-05-01 12:23:50,V3C,SimV3C-NQ-2C,NQ V3C Compression Sniper C 20-40-60,NQ V3C Compression Sniper C 20-40-60,N/A,NQ,NQ JUN26,LONG,1,27852.0000,27824.2500,-555.00,-555.00,-111.0,LOSS,Stop loss,,,2026-05-06 10:03:07
2026-05-01,2026-05-01 12:39:31,2026-05-01 12:55:12,V3C,SimV3C-NQ-2C,NQ V3C Compression Sniper C 20-40-60,NQ V3C Compression Sniper C 20-40-60,N/A,NQ,NQ JUN26,LONG,1,27822.0000,27854.0000,640.00,640.00,128.0,WIN,Profit target,,,2026-05-06 10:03:07
2026-05-01,2026-05-01 15:01:29,2026-05-01 15:05:16,V3C,SimV3C-NQ-2C,NQ V3C Compression Sniper C 20-40-60,NQ V3C Compression Sniper C 20-40-60,N/A,NQ,NQ JUN26,LONG,1,27812.0000,27844.2500,645.00,645.00,129.0,WIN,Profit target,,,2026-05-06 10:03:07
2026-05-04,2026-05-04 09:30:00,2026-05-04 09:30:03,V3C,SimV3C-NQ-2C,NQ V3C Compression Sniper C 20-40-60,NQ V3C Compression Sniper C 20-40-60,N/A,NQ,NQ JUN26,LONG,1,27874.5000,27843.7500,-615.00,-615.00,-123.0,LOSS,Stop loss,,,2026-05-06 10:03:07
2026-05-04,2026-05-04 09:33:55,2026-05-04 09:41:05,V3C,SimV3C-NQ-2C,NQ V3C Compression Sniper C 20-40-60,NQ V3C Compression Sniper C 20-40-60,N/A,NQ,NQ JUN26,LONG,1,27824.5000,27858.2500,675.00,675.00,135.0,WIN,Profit target,,,2026-05-06 10:03:07
2026-05-04,2026-05-04 09:57:01,2026-05-04 09:59:24,V3C,SimV3C-NQ-2C,NQ V3C Compression Sniper C 20-40-60,NQ V3C Compression Sniper C 20-40-60,N/A,NQ,NQ JUN26,LONG,1,27854.5000,27887.5000,660.00,660.00,132.0,WIN,Profit target,,,2026-05-06 10:03:07
2026-05-04,2026-05-04 10:11:00,2026-05-04 10:11:32,V3C,SimV3C-NQ-2C,NQ V3C Compression Sniper C 20-40-60,NQ V3C Compression Sniper C 20-40-60,N/A,NQ,NQ JUN26,LONG,1,27854.5000,27887.2500,655.00,655.00,131.0,WIN,Profit target,,,2026-05-06 10:03:07
2026-05-04,2026-05-04 10:32:32,2026-05-04 10:38:11,V3C,SimV3C-NQ-2C,NQ V3C Compression Sniper C 20-40-60,NQ V3C Compression Sniper C 20-40-60,N/A,NQ,NQ JUN26,LONG,1,27874.5000,27906.7500,645.00,645.00,129.0,WIN,Profit target,,,2026-05-06 10:03:07
2026-05-04,2026-05-04 11:00:46,2026-05-04 11:00:56,V3C,SimV3C-NQ-2C,NQ V3C Compression Sniper C 20-40-60,NQ V3C Compression Sniper C 20-40-60,N/A,NQ,NQ JUN26,LONG,1,27864.5000,27896.5000,640.00,640.00,128.0,WIN,Profit target,,,2026-05-06 10:03:07
2026-05-04,2026-05-04 11:22:36,2026-05-04 11:26:23,V3C,SimV3C-NQ-2C,NQ V3C Compression Sniper C 20-40-60,NQ V3C Compression Sniper C 20-40-60,N/A,NQ,NQ JUN26,LONG,1,27734.5000,27765.5000,620.00,620.00,124.0,WIN,Profit target,,,2026-05-06 10:03:07
2026-05-04,2026-05-04 11:33:58,2026-05-04 11:34:19,V3C,SimV3C-NQ-2C,NQ V3C Compression Sniper C 20-40-60,NQ V3C Compression Sniper C 20-40-60,N/A,NQ,NQ JUN26,LONG,1,27734.5000,27766.0000,630.00,630.00,126.0,WIN,Profit target,,,2026-05-06 10:03:07
2026-05-04,2026-05-04 11:36:42,2026-05-04 11:38:05,V3C,SimV3C-NQ-2C,NQ V3C Compression Sniper C 20-40-60,NQ V3C Compression Sniper C 20-40-60,N/A,NQ,NQ JUN26,LONG,1,27734.5000,27766.5000,640.00,640.00,128.0,WIN,Profit target,,,2026-05-06 10:03:07
2026-05-04,2026-05-04 11:41:58,2026-05-04 11:42:42,V3C,SimV3C-NQ-2C,NQ V3C Compression Sniper C 20-40-60,NQ V3C Compression Sniper C 20-40-60,N/A,NQ,NQ JUN26,LONG,1,27714.5000,27746.7500,645.00,645.00,129.0,WIN,Profit target,,,2026-05-06 10:03:07
2026-05-04,2026-05-04 11:52:32,2026-05-04 11:52:34,V3C,SimV3C-NQ-2C,NQ V3C Compression Sniper C 20-40-60,NQ V3C Compression Sniper C 20-40-60,N/A,NQ,NQ JUN26,LONG,1,27714.5000,27746.2500,635.00,635.00,127.0,WIN,Profit target,,,2026-05-06 10:03:07
2026-05-04,2026-05-04 12:08:13,2026-05-04 12:09:44,V3C,SimV3C-NQ-2C,NQ V3C Compression Sniper C 20-40-60,NQ V3C Compression Sniper C 20-40-60,N/A,NQ,NQ JUN26,LONG,1,27634.5000,27665.7500,625.00,625.00,125.0,WIN,Profit target,,,2026-05-06 10:03:07
2026-05-04,2026-05-04 12:16:53,2026-05-04 12:17:29,V3C,SimV3C-NQ-2C,NQ V3C Compression Sniper C 20-40-60,NQ V3C Compression Sniper C 20-40-60,N/A,NQ,NQ JUN26,LONG,1,27644.5000,27676.2500,635.00,635.00,127.0,WIN,Profit target,,,2026-05-06 10:03:07
2026-05-04,2026-05-04 12:43:29,2026-05-04 13:01:40,V3C,SimV3C-NQ-2C,NQ V3C Compression Sniper C 20-40-60,NQ V3C Compression Sniper C 20-40-60,N/A,NQ,NQ JUN26,LONG,1,27704.5000,27736.7500,645.00,645.00,129.0,WIN,Profit target,,,2026-05-06 10:03:07
2026-05-04,2026-05-04 14:29:15,2026-05-04 14:29:50,V3C,SimV3C-NQ-2C,NQ V3C Compression Sniper C 20-40-60,NQ V3C Compression Sniper C 20-40-60,N/A,NQ,NQ JUN26,LONG,1,27744.5000,27776.0000,630.00,630.00,126.0,WIN,Profit target,,,2026-05-06 10:03:07
2026-05-04,2026-05-04 14:52:01,2026-05-04 14:59:42,V3C,SimV3C-NQ-2C,NQ V3C Compression Sniper C 20-40-60,NQ V3C Compression Sniper C 20-40-60,N/A,NQ,NQ JUN26,LONG,1,27734.5000,27766.0000,630.00,630.00,126.0,WIN,Profit target,,,2026-05-06 10:03:07
2026-05-04,2026-05-04 15:28:37,2026-05-04 16:59:59,V3C,SimV3C-NQ-2C,NQ V3C Compression Sniper C 20-40-60,NQ V3C Compression Sniper C 20-40-60,N/A,NQ,NQ JUN26,LONG,1,27764.5000,27743.0000,-430.00,-430.00,-86.0,LOSS,Exit on session close,,,2026-05-06 10:03:07
2026-05-05,2026-05-05 09:30:00,2026-05-05 09:30:05,V3C,SimV3C-NQ-2C,NQ V3C Compression Sniper C 20-40-60,NQ V3C Compression Sniper C 20-40-60,N/A,NQ,NQ JUN26,LONG,1,27968.5000,28016.5000,960.00,960.00,192.0,WIN,Profit target,,,2026-05-06 10:03:07
2026-05-05,2026-05-05 10:22:10,2026-05-05 10:22:44,V3C,SimV3C-NQ-2C,NQ V3C Compression Sniper C 20-40-60,NQ V3C Compression Sniper C 20-40-60,N/A,NQ,NQ JUN26,LONG,1,28048.5000,28082.5000,680.00,680.00,136.0,WIN,Profit target,,,2026-05-06 10:03:07
2026-05-05,2026-05-05 10:55:00,2026-05-05 11:04:47,V3C,SimV3C-NQ-2C,NQ V3C Compression Sniper C 20-40-60,NQ V3C Compression Sniper C 20-40-60,N/A,NQ,NQ JUN26,LONG,1,28088.5000,28120.7500,645.00,645.00,129.0,WIN,Profit target,,,2026-05-06 10:03:07
2026-05-05,2026-05-05 12:36:29,2026-05-05 13:18:33,V3C,SimV3C-NQ-2C,NQ V3C Compression Sniper C 20-40-60,NQ V3C Compression Sniper C 20-40-60,N/A,NQ,NQ JUN26,LONG,1,28108.5000,28141.0000,650.00,650.00,130.0,WIN,Profit target,,,2026-05-06 10:03:07
2026-05-05,2026-05-05 16:05:09,2026-05-05 16:18:06,V3C,SimV3C-NQ-2C,NQ V3C Compression Sniper C 20-40-60,NQ V3C Compression Sniper C 20-40-60,N/A,NQ,NQ JUN26,LONG,1,28128.5000,28161.0000,650.00,650.00,130.0,WIN,Profit target,,,2026-05-06 10:03:07
2026-05-06,2026-05-06 09:52:00,2026-05-06 09:52:08,V3C,SimV3C-NQ-2C,NQ V3C Compression Sniper C 20-40-60,NQ V3C Compression Sniper C 20-40-60,N/A,NQ,NQ JUN26,LONG,1,28439.5000,28472.5000,660.00,660.00,132.0,WIN,Profit target,,,2026-05-06 10:03:07
2026-05-06,2026-05-06 10:07:44,2026-05-06 10:09:31,V3C,SimV3C-NQ-2C,NQ V3C Compression Sniper C 20-40-60,NQ V3C Compression Sniper C 20-40-60,N/A,NQ,NQ JUN26,LONG,1,28429.7500,28461.2500,630.00,630.00,126.0,WIN,Profit target,,,2026-05-06 10:09:32
2026-05-06,2026-05-06 10:21:17,2026-05-06 10:21:17,V3C,SimV3C-NQ-2C,NQ V3C Compression Sniper C 20-40-60,NQ V3C Compression Sniper C 20-40-60,N/A,NQ,NQ JUN26,LONG,1,28439.7500,28411.7500,-560.00,-560.00,-112.0,LOSS,Stop loss,28411.5000,565.00,2026-05-06 10:23:05
