trade_date,entry_time,exit_time,model_version,account,strategy_name,bot_name,ab_mode,symbol,instrument,direction,contracts,entry_price,exit_price,gross_pnl,net_pnl,ticks,win_loss,exit_reason,initial_stop_price,initial_stop_distance,export_timestamp
2026-05-01,2026-05-01 11:57:00,2026-05-01 12:06:00,V3C,SimV3C-NQ-2D,V3_Compression_Sniper_V3C D,V3_Compression_Sniper_V3C D,N/A,NQ,NQ JUN26,LONG,1,27900.0000,27872.7500,-545.00,-545.00,-109.0,LOSS,Stop loss,,,2026-05-06 10:03:18
2026-05-01,2026-05-01 12:57:00,2026-05-01 13:18:00,V3C,SimV3C-NQ-2D,V3_Compression_Sniper_V3C D,V3_Compression_Sniper_V3C D,N/A,NQ,NQ JUN26,LONG,1,27844.7500,27870.0000,505.00,505.00,101.0,WIN,Profit target,,,2026-05-06 10:03:18
2026-05-01,2026-05-01 14:30:00,2026-05-01 14:30:00,V3C,SimV3C-NQ-2D,V3_Compression_Sniper_V3C D,V3_Compression_Sniper_V3C D,N/A,NQ,NQ JUN26,LONG,1,27867.5000,27852.2500,-305.00,-305.00,-61.0,LOSS,Stop loss,,,2026-05-06 10:03:18
2026-05-01,2026-05-01 15:03:00,2026-05-01 15:09:00,V3C,SimV3C-NQ-2D,V3_Compression_Sniper_V3C D,V3_Compression_Sniper_V3C D,N/A,NQ,NQ JUN26,LONG,1,27837.5000,27856.5000,380.00,380.00,76.0,WIN,Profit target,,,2026-05-06 10:03:18
2026-05-04,2026-05-04 09:33:00,2026-05-04 09:33:00,V3C,SimV3C-NQ-2D,V3_Compression_Sniper_V3C D,V3_Compression_Sniper_V3C D,N/A,NQ,NQ JUN26,LONG,1,27824.5000,27844.5000,400.00,400.00,80.0,WIN,Profit target,,,2026-05-06 10:03:18
2026-05-04,2026-05-04 12:21:00,2026-05-04 13:15:00,V3C,SimV3C-NQ-2D,V3_Compression_Sniper_V3C D,V3_Compression_Sniper_V3C D,N/A,NQ,NQ JUN26,LONG,1,27721.2500,27768.5000,945.00,945.00,189.0,WIN,Profit target,,,2026-05-06 10:03:18
2026-05-04,2026-05-04 14:57:00,2026-05-04 15:06:00,V3C,SimV3C-NQ-2D,V3_Compression_Sniper_V3C D,V3_Compression_Sniper_V3C D,N/A,NQ,NQ JUN26,LONG,1,27754.2500,27775.5000,425.00,425.00,85.0,WIN,Profit target,,,2026-05-06 10:03:18
2026-05-04,2026-05-04 15:48:00,2026-05-04 15:48:00,V3C,SimV3C-NQ-2D,V3_Compression_Sniper_V3C D,V3_Compression_Sniper_V3C D,N/A,NQ,NQ JUN26,LONG,1,27781.0000,27764.7500,-325.00,-325.00,-65.0,LOSS,Stop loss,,,2026-05-06 10:03:18
2026-05-04,2026-05-04 16:00:00,2026-05-04 16:00:00,V3C,SimV3C-NQ-2D,V3_Compression_Sniper_V3C D,V3_Compression_Sniper_V3C D,N/A,NQ,NQ JUN26,LONG,1,27780.2500,27762.7500,-350.00,-350.00,-70.0,LOSS,Stop loss,,,2026-05-06 10:03:18
2026-05-04,2026-05-04 16:27:00,2026-05-04 16:45:00,V3C,SimV3C-NQ-2D,V3_Compression_Sniper_V3C D,V3_Compression_Sniper_V3C D,N/A,NQ,NQ JUN26,LONG,1,27759.7500,27744.0000,-315.00,-315.00,-63.0,LOSS,Stop loss,,,2026-05-06 10:03:18
2026-05-05,2026-05-05 09:33:00,2026-05-05 09:33:00,V3C,SimV3C-NQ-2D,V3_Compression_Sniper_V3C D,V3_Compression_Sniper_V3C D,N/A,NQ,NQ JUN26,LONG,1,28006.5000,28037.0000,610.00,610.00,122.0,WIN,Profit target,,,2026-05-06 10:03:18
2026-05-05,2026-05-05 12:48:00,2026-05-05 13:09:00,V3C,SimV3C-NQ-2D,V3_Compression_Sniper_V3C D,V3_Compression_Sniper_V3C D,N/A,NQ,NQ JUN26,LONG,1,28126.7500,28110.2500,-330.00,-330.00,-66.0,LOSS,Stop loss,,,2026-05-06 10:03:18
2026-05-05,2026-05-05 13:18:00,2026-05-05 13:27:00,V3C,SimV3C-NQ-2D,V3_Compression_Sniper_V3C D,V3_Compression_Sniper_V3C D,N/A,NQ,NQ JUN26,LONG,1,28128.5000,28143.2500,295.00,295.00,59.0,WIN,Profit target,,,2026-05-06 10:03:18
2026-05-05,2026-05-05 15:39:00,2026-05-05 15:39:00,V3C,SimV3C-NQ-2D,V3_Compression_Sniper_V3C D,V3_Compression_Sniper_V3C D,N/A,NQ,NQ JUN26,LONG,1,28166.7500,28156.5000,-205.00,-205.00,-41.0,LOSS,Stop loss,,,2026-05-06 10:03:18
2026-05-05,2026-05-05 16:09:00,2026-05-05 16:15:00,V3C,SimV3C-NQ-2D,V3_Compression_Sniper_V3C D,V3_Compression_Sniper_V3C D,N/A,NQ,NQ JUN26,LONG,1,28147.5000,28135.2500,-245.00,-245.00,-49.0,LOSS,Stop loss,,,2026-05-06 10:03:18
