trade_date,entry_time,exit_time,model_version,account,strategy_name,bot_name,ab_mode,symbol,instrument,direction,contracts,entry_price,exit_price,gross_pnl,net_pnl,ticks,win_loss,exit_reason,initial_stop_price,initial_stop_distance,export_timestamp
2026-05-05,2026-05-05 12:48:00,2026-05-05 13:09:00,V3C,,V3_Compression_Sniper_V3C,V3_Compression_Sniper_V3C,N/A,NQ,NQ JUN26,LONG,1,28127.5000,28111.0000,-330.00,-330.00,-66.0,LOSS,Stop loss,28111.0000,330.00,2026-05-05 13:10:11
2026-05-05,2026-05-05 13:18:00,2026-05-05 13:27:00,V3C,,V3_Compression_Sniper_V3C,V3_Compression_Sniper_V3C,N/A,NQ,NQ JUN26,LONG,1,28128.5000,28143.2500,295.00,295.00,59.0,WIN,Profit target,,,2026-05-05 13:28:57
2026-05-05,2026-05-05 15:39:00,2026-05-05 15:39:00,V3C,,V3_Compression_Sniper_V3C,V3_Compression_Sniper_V3C,N/A,NQ,NQ JUN26,LONG,1,28167.0000,28156.7500,-205.00,-205.00,-41.0,LOSS,Stop loss,28156.7500,205.00,2026-05-05 15:41:50
2026-05-03,2026-05-03 20:17:52,2026-05-03 20:28:19,V3C,,V3_Expansion_Rider_V3C,V3_Expansion_Rider_V3C,N/A,NQ,NQ JUN26,SHORT,1,27850.0000,27820.0000,600.00,600.00,120.0,WIN,Wobble Eject,27876.5000,530.00,2026-05-07 07:28:12
2026-05-03,2026-05-03 21:10:57,2026-05-03 21:17:39,V3C,,V3_Expansion_Rider_V3C,V3_Expansion_Rider_V3C,N/A,NQ,NQ JUN26,SHORT,1,27880.0000,27870.0000,200.00,200.00,40.0,WIN,Wobble Eject,27906.7500,535.00,2026-05-07 07:28:12
2026-05-03,2026-05-03 22:26:03,2026-05-03 22:40:05,V3C,,V3_Expansion_Rider_V3C,V3_Expansion_Rider_V3C,N/A,NQ,NQ JUN26,SHORT,1,27910.0000,27890.0000,400.00,400.00,80.0,WIN,Wobble Eject,27936.7500,535.00,2026-05-07 07:28:12
2026-05-04,2026-05-04 02:01:00,2026-05-04 02:38:37,V3C,,V3_Expansion_Rider_V3C,V3_Expansion_Rider_V3C,N/A,NQ,NQ JUN26,SHORT,1,27950.0000,27883.2500,1335.00,1335.00,267.0,WIN,Profit target,27976.7500,535.00,2026-05-07 07:28:12
2026-05-04,2026-05-04 03:53:35,2026-05-04 04:05:00,V3C,,V3_Expansion_Rider_V3C,V3_Expansion_Rider_V3C,N/A,NQ,NQ JUN26,SHORT,1,27940.0000,27873.5000,1330.00,1330.00,266.0,WIN,Profit target,27966.5000,530.00,2026-05-07 07:28:12
2026-05-04,2026-05-04 05:59:58,2026-05-04 06:02:41,V3C,,V3_Expansion_Rider_V3C,V3_Expansion_Rider_V3C,N/A,NQ,NQ JUN26,SHORT,1,27910.0000,27842.5000,1350.00,1350.00,270.0,WIN,Profit target,27937.5000,550.00,2026-05-07 07:28:12
2026-05-04,2026-05-04 06:04:39,2026-05-04 06:05:40,V3C,,V3_Expansion_Rider_V3C,V3_Expansion_Rider_V3C,N/A,NQ,NQ JUN26,SHORT,1,27790.0000,27723.7500,1325.00,1325.00,265.0,WIN,Profit target,27816.2500,525.00,2026-05-07 07:28:12
2026-05-04,2026-05-04 06:08:07,2026-05-04 06:09:55,V3C,,V3_Expansion_Rider_V3C,V3_Expansion_Rider_V3C,N/A,NQ,NQ JUN26,SHORT,1,27700.0000,27680.0000,400.00,400.00,80.0,WIN,Wobble Eject,27726.0000,520.00,2026-05-07 07:28:12
2026-05-04,2026-05-04 06:11:55,2026-05-04 06:13:09,V3C,,V3_Expansion_Rider_V3C,V3_Expansion_Rider_V3C,N/A,NQ,NQ JUN26,SHORT,1,27720.0000,27680.0000,800.00,800.00,160.0,WIN,Wobble Eject,27746.7500,535.00,2026-05-07 07:28:12
2026-05-04,2026-05-04 06:32:28,2026-05-04 06:34:29,V3C,,V3_Expansion_Rider_V3C,V3_Expansion_Rider_V3C,N/A,NQ,NQ JUN26,SHORT,1,27840.0000,27810.0000,600.00,600.00,120.0,WIN,Wobble Eject,27866.5000,530.00,2026-05-07 07:28:12
2026-05-04,2026-05-04 08:15:50,2026-05-04 08:16:23,V3C,,V3_Expansion_Rider_V3C,V3_Expansion_Rider_V3C,N/A,NQ,NQ JUN26,SHORT,1,27850.0000,27840.0000,200.00,200.00,40.0,WIN,Wobble Eject,27878.5000,570.00,2026-05-07 07:28:12
2026-05-04,2026-05-04 08:31:33,2026-05-04 09:00:37,V3C,,V3_Expansion_Rider_V3C,V3_Expansion_Rider_V3C,N/A,NQ,NQ JUN26,SHORT,1,27870.0000,27802.2500,1355.00,1355.00,271.0,WIN,Profit target,27897.7500,555.00,2026-05-07 07:28:12
2026-05-04,2026-05-04 09:10:16,2026-05-04 09:36:46,V3C,,V3_Expansion_Rider_V3C,V3_Expansion_Rider_V3C,N/A,NQ,NQ JUN26,SHORT,1,27870.0000,27820.0000,1000.00,1000.00,200.0,WIN,Wobble Eject,27896.5000,530.00,2026-05-07 07:28:12
2026-05-04,2026-05-04 10:08:18,2026-05-04 10:11:01,V3C,,V3_Expansion_Rider_V3C,V3_Expansion_Rider_V3C,N/A,NQ,NQ JUN26,SHORT,1,27880.0000,27860.0000,400.00,400.00,80.0,WIN,Wobble Eject,27910.5000,610.00,2026-05-07 07:28:12
2026-05-04,2026-05-04 10:18:26,2026-05-04 10:20:17,V3C,,V3_Expansion_Rider_V3C,V3_Expansion_Rider_V3C,N/A,NQ,NQ JUN26,SHORT,1,27900.0000,27890.0000,200.00,200.00,40.0,WIN,Wobble Eject,27929.2500,585.00,2026-05-07 07:28:12
2026-05-04,2026-05-04 10:56:33,2026-05-04 11:00:03,V3C,,V3_Expansion_Rider_V3C,V3_Expansion_Rider_V3C,N/A,NQ,NQ JUN26,SHORT,1,27930.0000,27862.0000,1360.00,1360.00,272.0,WIN,Profit target,27958.0000,560.00,2026-05-07 07:28:12
2026-05-04,2026-05-04 11:08:10,2026-05-04 11:14:21,V3C,,V3_Expansion_Rider_V3C,V3_Expansion_Rider_V3C,N/A,NQ,NQ JUN26,SHORT,1,27900.0000,27833.0000,1340.00,1340.00,268.0,WIN,Profit target,27927.0000,540.00,2026-05-07 07:28:12
2026-05-04,2026-05-04 11:24:15,2026-05-04 11:26:22,V3C,,V3_Expansion_Rider_V3C,V3_Expansion_Rider_V3C,N/A,NQ,NQ JUN26,SHORT,1,27750.0000,27740.0000,200.00,200.00,40.0,WIN,Wobble Eject,27777.0000,540.00,2026-05-07 07:28:12
2026-05-04,2026-05-04 11:30:34,2026-05-04 11:34:18,V3C,,V3_Expansion_Rider_V3C,V3_Expansion_Rider_V3C,N/A,NQ,NQ JUN26,SHORT,1,27780.0000,27740.0000,800.00,800.00,160.0,WIN,Wobble Eject,27807.5000,550.00,2026-05-07 07:28:12
