trade_date,entry_time,exit_time,model_version,account,strategy_name,bot_name,ab_mode,symbol,instrument,direction,contracts,entry_price,exit_price,gross_pnl,net_pnl,ticks,win_loss,exit_reason,entry_regime,entry_macro,entry_hmm,entry_phase,entry_confidence,entry_reason_code,broad_agree,v3c_regime_at_entry,trade_duration_min,risk_reward_actual,session_trade_rank,daily_pnl_running,export_timestamp,data_quality_flag
2026-05-01,2026-05-01 10:37:53,2026-05-01 10:38:52,V3D,SimV3D-NQ-5B,ADX_DI_V3D,NQ Fader A,N/A,NQ,NQ JUN26,SHORT,1,27752.0,27786.75,-695.0,-695.0,-139.0,LOSS,STOP_HIT,ROTATION_LIQUID,ROTATION,TrendDown,POST_IB_MACRO,70,TWO_SIDED_CONFIRMED,0,TREND_COMPRESSION,0.98,,1,-695.0,2026-05-01 17:50:50,OK
2026-05-01,2026-05-01 10:37:53,2026-05-01 10:38:52,V3D,SimV3D-NQ-5B,ADX_DI_V3D,NQ Expansion A,N/A,NQ,NQ JUN26,SHORT,1,27752.0,27786.75,-695.0,-695.0,-139.0,LOSS,STOP_HIT,ROTATION_LIQUID,ROTATION,TrendDown,POST_IB_MACRO,70,TWO_SIDED_CONFIRMED,0,TREND_COMPRESSION,0.98,,2,-1390.0,2026-05-01 17:50:50,OK
2026-05-01,2026-05-01 10:37:53,2026-05-01 10:38:52,V3D,SimV3D-NQ-5B,ADX_DI_V3D,NQ_ADX_A,N/A,NQ,NQ JUN26,SHORT,1,27752.0,27786.75,-695.0,-695.0,-139.0,LOSS,STOP_HIT,ROTATION_LIQUID,ROTATION,TrendDown,POST_IB_MACRO,70,TWO_SIDED_CONFIRMED,0,TREND_COMPRESSION,0.98,,3,-2085.0,2026-05-01 17:50:50,OK
2026-05-01,2026-05-01 10:37:53,2026-05-01 10:38:52,V3D,SimV3D-NQ-5B,ADX_DI_V3D,NQ Fader B,N/A,NQ,NQ JUN26,SHORT,1,27752.0,27786.75,-695.0,-695.0,-139.0,LOSS,STOP_HIT,ROTATION_LIQUID,ROTATION,TrendDown,POST_IB_MACRO,70,TWO_SIDED_CONFIRMED,0,TREND_COMPRESSION,0.98,,4,-2780.0,2026-05-01 17:50:50,OK
2026-05-01,2026-05-01 10:37:53,2026-05-01 10:38:52,V3D,SimV3D-NQ-5B,ADX_DI_V3D,NQ Expansion B,N/A,NQ,NQ JUN26,SHORT,1,27752.0,27786.75,-695.0,-695.0,-139.0,LOSS,STOP_HIT,ROTATION_LIQUID,ROTATION,TrendDown,POST_IB_MACRO,70,TWO_SIDED_CONFIRMED,0,TREND_COMPRESSION,0.98,,5,-3475.0,2026-05-01 17:50:50,OK
2026-05-01,2026-05-01 10:37:53,2026-05-01 10:38:52,V3D,SimV3D-NQ-5B,ADX_DI_V3D,NQ_ADX_C,N/A,NQ,NQ JUN26,SHORT,1,27752.0,27786.75,-695.0,-695.0,-139.0,LOSS,STOP_HIT,ROTATION_LIQUID,ROTATION,TrendDown,POST_IB_MACRO,70,TWO_SIDED_CONFIRMED,0,TREND_COMPRESSION,0.98,,6,-4170.0,2026-05-01 17:50:50,OK
2026-05-01,2026-05-01 10:37:53,2026-05-01 10:38:52,V3D,SimV3D-NQ-5B,ADX_DI_V3D,UNMAPPED,N/A,NQ,NQ JUN26,SHORT,1,27752.0,27786.75,-695.0,-695.0,-139.0,LOSS,STOP_HIT,ROTATION_LIQUID,ROTATION,TrendDown,POST_IB_MACRO,70,TWO_SIDED_CONFIRMED,0,TREND_COMPRESSION,0.98,,7,-4865.0,2026-05-01 17:50:50,UNMAPPED_BOT
2026-05-01,2026-05-01 10:37:53,2026-05-01 10:38:52,V3D,SimV3D-NQ-5B,ADX_DI_V3D,NQ_ADX_B,N/A,NQ,NQ JUN26,SHORT,1,27752.0,27786.75,-695.0,-695.0,-139.0,LOSS,STOP_HIT,ROTATION_LIQUID,ROTATION,TrendDown,POST_IB_MACRO,70,TWO_SIDED_CONFIRMED,0,TREND_COMPRESSION,0.98,,8,-5560.0,2026-05-01 17:50:50,OK
2026-05-01,2026-05-01 10:37:53,2026-05-01 10:38:52,V3D,SimV3D-NQ-5B,ADX_DI_V3D,NQ Momentum B,N/A,NQ,NQ JUN26,SHORT,1,27752.0,27786.75,-695.0,-695.0,-139.0,LOSS,STOP_HIT,ROTATION_LIQUID,ROTATION,TrendDown,POST_IB_MACRO,70,TWO_SIDED_CONFIRMED,0,TREND_COMPRESSION,0.98,,9,-6255.0,2026-05-01 17:50:50,OK
2026-05-01,2026-05-01 10:37:53,2026-05-01 10:38:52,V3D,SimV3D-NQ-5B,ADX_DI_V3D,NQ_Sniper_B,N/A,NQ,NQ JUN26,SHORT,1,27752.0,27786.75,-695.0,-695.0,-139.0,LOSS,STOP_HIT,ROTATION_LIQUID,ROTATION,TrendDown,POST_IB_MACRO,70,TWO_SIDED_CONFIRMED,0,TREND_COMPRESSION,0.98,,10,-6950.0,2026-05-01 17:50:50,OK
